"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P27","No sabe",0.045,0.029,0.034,0.064,0.033,0.018,0.1,0.27,0.556
"P28","Wado de Pedro por el Frente de Todos",0.684,0.028,0.041,0.056,0.721,0.026,0.428,0.265,0.441
"P28","Patricia Bullrich por Juntos por el Cambio",0.047,0.864,0.106,0.061,0.063,0.39,0.03,0.091,0.034
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.12,0.038,0.683,0.051,0.029,0.016,0.043,0.007,0.042
"P28","Javier Milei por la Libertad Avanza",0.03,0.031,0.078,0.706,0.031,0.521,0.012,0.036,0.032
"P28","Al candidato del Frente de Izquierda",0.011,0.008,0.032,0.028,0.017,0.008,0.37,0.032,0.032
"P28","En blanco",0.02,0.009,0.011,0.028,0.046,0.019,0.038,0.384,0.07
"P28","No sabe",0.088,0.022,0.049,0.07,0.093,0.02,0.079,0.185,0.349
"P29","Axel Kicillof por el Frente de Todos",0.699,0.039,0.038,0.058,0.759,0.022,0.418,0.324,0.442
"P29","Patricia Bullrich por Juntos por el Cambio",0.049,0.867,0.12,0.04,0.062,0.391,0.01,0.03,0.046
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.133,0.032,0.701,0.057,0.043,0.016,0.034,0.013,0.064
"P29","Javier Milei por la Libertad Avanza",0.016,0.027,0.071,0.738,0.029,0.546,0.04,0.048,0.031
"P29","Al candidato del Frente de Izquierda",0.01,0.004,0.009,0.023,0.024,0.003,0.401,0.02,0.013
"P29","En blanco",0.022,0.012,0.032,0.02,0.026,0.012,0.031,0.364,0.055
"P29","No sabe",0.071,0.019,0.029,0.064,0.057,0.01,0.066,0.201,0.349
"P30","Sergio Massa  por el Frente de Todos",0.778,0.037,0.069,0.053,0.79,0.032,0.177,0.111,0.286
