"var","categoria","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P34","Javier Milei por la Libertad Avanza",0.081,0.038,0.109,0.272,0.127,0.886,0.05,0.096,0.058
"P34","Al candidato del Frente de Izquierda",0.043,0.069,0.005,0.006,0.021,0.011,0.732,0.071,0.037
"P34","En blanco",0.071,0.082,0.03,0.1,0.036,0.014,0.077,0.713,0.08
"P34","No sabe",0.132,0.165,0.035,0.174,0.037,0.016,0.015,0.081,0.613
"P35","Daniel Scioli por el Frente de Todos",0.58,0.635,0.697,0.028,0.055,0.024,0.066,0.039,0.108
"P35","Patricia Bullrich por Juntos por el Cambio",0.083,0.038,0.156,0.839,0.538,0.09,0.066,0.057,0.069
"P35","Javier Milei por la Libertad Avanza",0.041,0.026,0.068,0.093,0.152,0.847,0.005,0.091,0.077
"P35","Al candidato del Frente de Izquierda",0.081,0.072,0.006,0.002,0.022,0.007,0.789,0.018,0.027
"P35","En blanco",0.073,0.087,0.021,0.016,0.103,0.009,0.029,0.688,0.072
"P35","No sabe",0.142,0.142,0.052,0.022,0.13,0.023,0.045,0.107,0.647
"P36","Axel Kicillof por el Frente de Todos",0.667,0.839,0.526,0.018,0.052,0.03,0.123,0.153,0.109
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.085,0.036,0.111,0.431,0.773,0.052,0.005,0.036,0.107
"P36","Javier Milei por la Libertad Avanza",0.062,0.029,0.132,0.286,0.133,0.899,0.038,0.109,0.076
"P36","Al candidato del Frente de Izquierda",0.034,0.016,0.029,0.01,0.003,0.004,0.744,0.011,0.028
"P36","En blanco",0.055,0.024,0.102,0.088,0.02,0.007,0.035,0.637,0.059
"P36","No sabe",0.097,0.056,0.1,0.167,0.019,0.008,0.055,0.054,0.621
"P37","Axel Kicillof por el Frente de Todos",0.685,0.852,0.527,0.021,0.054,0.03,0.143,0.135,0.189
"P37","Patricia Bullrich por Juntos por el Cambio",0.085,0.044,0.134,0.837,0.503,0.097,0.041,0.031,0.062
"P37","Javier Milei por la Libertad Avanza",0.066,0.023,0.123,0.09,0.168,0.854,0.031,0.124,0.068
"P37","Al candidato del Frente de Izquierda",0.025,0.02,0.045,0.003,0.041,0.004,0.696,0.011,0.041
"P37","En blanco",0.057,0.015,0.065,0.016,0.123,0.006,0.04,0.665,0.093
"P37","No sabe",0.082,0.046,0.106,0.033,0.111,0.009,0.049,0.034,0.547
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.078,0.042,0.143,0.547,0.808,0.29,0.086,0.089,0.152
"P38","Sergio Massa por el Frente de Todos",0.824,0.762,0.481,0.056,0.079,0.075,0.223,0.053,0.217
"P38","En blanco",0.059,0.065,0.161,0.152,0.038,0.388,0.575,0.581,0.11
