"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P66","Muy mala",0.532,0.021,0.305,0.598,0.318,0.217
"P66","No sabe",0.011,0.007,0.002,0.002,0.008,0.076
"P67","Muy buena",0.022,0.094,0.565,0.095,0.034,0.008
"P67","Buena",0.038,0.211,0.236,0.009,0.049,0.111
"P67","Ni buena ni mala",0.08,0.332,0.126,0.063,0.212,0.313
"P67","Mala",0.125,0.169,0.03,0.089,0.202,0.152
"P67","Muy mala",0.726,0.173,0.041,0.741,0.464,0.317
"P67","No sabe",0.009,0.021,0.002,0.003,0.039,0.099
"P68","Muy buena",0.037,0.061,0.095,0.075,0.062,0.036
"P68","Buena",0.043,0.133,0.098,0.026,0.033,0.075
"P68","Ni buena ni mala",0.222,0.37,0.289,0.164,0.272,0.279
"P68","Mala",0.238,0.187,0.169,0.246,0.184,0.148
"P68","Muy mala",0.434,0.195,0.302,0.462,0.402,0.3
"P68","No sabe",0.026,0.054,0.047,0.027,0.047,0.162
"P69","Muy buena",0.018,0.137,0.162,0.064,0.103,0.063
"P69","Buena",0.041,0.356,0.273,0.011,0.142,0.163
"P69","Ni buena ni mala",0.13,0.316,0.319,0.07,0.281,0.276
"P69","Mala",0.202,0.081,0.091,0.121,0.096,0.106
"P69","Muy mala",0.58,0.081,0.133,0.706,0.319,0.266
"P69","No sabe",0.029,0.029,0.022,0.028,0.059,0.126
"P70","Si",0.572,0.514,0.542,0.592,0.577,0.505
"P70","No",0.428,0.486,0.458,0.408,0.423,0.495
