"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P65","Reducir el gasto público",0.068,0.393,0.368,0.132,0.102,0.136,0.302
"P65","Estimular la inversión extranjera",0.043,0.042,0.031,0.029,0.019,0.169,0.03
"P65","Aumentar los subsidios a los servicios públicos",0.019,0.01,0.007,0.008,0.085,0,0.005
"P66","Fomentar la competencia entre proveedores",0.25,0.408,0.487,0.336,0.318,0.39,0.215
"P66","Incrementar la inversión en infraestructura",0.213,0.261,0.164,0.166,0.194,0.142,0.245
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.231,0.082,0.086,0.161,0.177,0.169,0.219
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.306,0.249,0.263,0.337,0.311,0.299,0.321
"P67","Muy positiva",0.389,0.141,0.154,0.178,0.131,0.052,0.104
"P67","Positiva",0.291,0.114,0.172,0.191,0.303,0.245,0.221
"P67","Neutral",0.169,0.317,0.303,0.382,0.344,0.369,0.222
"P67","Algo negativa",0.063,0.142,0.129,0.126,0.066,0.136,0.138
"P67","Negativa",0.02,0.175,0.164,0.043,0.089,0.096,0.016
"P67","No sabe",0.068,0.111,0.078,0.08,0.067,0.102,0.299
"P68","Muy positivo",0.309,0.047,0.087,0.137,0.085,0.108,0.093
"P68","Positivo",0.337,0.113,0.149,0.244,0.296,0.26,0.121
"P68","Neutral",0.206,0.383,0.332,0.368,0.328,0.253,0.317
"P68","Algo negativo",0.041,0.147,0.14,0.084,0.024,0.121,0.076
"P68","Negativo",0.022,0.191,0.18,0.082,0.119,0.142,0.036
"P68","No sabe",0.085,0.119,0.112,0.085,0.148,0.116,0.357
"P69","Muy positivo",0.212,0.047,0.047,0.059,0.051,0.087,0.129
"P69","Positivo",0.266,0.077,0.132,0.192,0.205,0.12,0.056
"P69","Neutral",0.336,0.503,0.455,0.546,0.537,0.439,0.245
"P69","Algo negativo",0.046,0.122,0.103,0.069,0.035,0.054,0.059
"P69","Negativo",0.019,0.128,0.142,0.051,0.043,0.118,0.048
"P69","No sabe",0.121,0.123,0.121,0.083,0.129,0.182,0.463
"P70","Muy positiva",0.589,0.125,0.168,0.371,0.35,0.291,0.292
"P70","Positiva",0.229,0.181,0.231,0.198,0.285,0.052,0.147
"P70","Neutral",0.114,0.331,0.301,0.29,0.297,0.369,0.202
"P70","Algo negativa",0.024,0.144,0.1,0.066,0.029,0.084,0.104
"P70","Negativa",0.023,0.167,0.153,0.043,0.039,0.177,0.049
"P70","No sabe",0.021,0.052,0.047,0.032,0,0.027,0.206
"P71","Muy positivo",0.593,0.13,0.171,0.356,0.218,0.282,0.193
"P71","Positivo",0.241,0.156,0.265,0.21,0.443,0.12,0.152
"P71","Neutral",0.092,0.327,0.255,0.292,0.164,0.365,0.294
"P71","Algo negativo",0.029,0.162,0.112,0.044,0.015,0.05,0.016
"P71","Negativo",0.027,0.18,0.162,0.073,0.043,0.16,0.086
"P71","No sabe",0.018,0.045,0.035,0.025,0.117,0.023,0.259
"P72","Muy positivo",0.547,0.123,0.17,0.246,0.202,0.251,0.234
"P72","Positivo",0.253,0.183,0.266,0.274,0.27,0.218,0.226
"P72","Neutral",0.129,0.409,0.327,0.251,0.437,0.39,0.245
"P72","Algo negativo",0.019,0.102,0.064,0.056,0,0,0.034
"P72","Negativo",0.029,0.148,0.136,0.102,0.091,0.122,0.026
"P72","No sabe",0.023,0.035,0.037,0.071,0,0.019,0.235
"P73","Muy positiva",0.411,0.067,0.126,0.215,0.142,0.138,0.074
"P73","Positiva",0.336,0.129,0.194,0.31,0.291,0.249,0.11
"P73","Neutral",0.128,0.331,0.298,0.207,0.431,0.295,0.241
"P73","Algo negativa",0.037,0.171,0.099,0.068,0.037,0.072,0.102
"P73","Negativa",0.031,0.227,0.216,0.094,0.071,0.176,0.116
"P73","No sabe",0.057,0.075,0.067,0.106,0.028,0.07,0.357
"P74","Muy positivo",0.379,0.054,0.09,0.214,0.148,0.068,0.081
"P74","Positivo",0.348,0.103,0.182,0.269,0.274,0.207,0.097
"P74","Neutral",0.158,0.349,0.278,0.204,0.409,0.452,0.302
"P74","Algo negativo",0.034,0.179,0.145,0.09,0.049,0.103,0.086
"P74","Negativo",0.028,0.242,0.232,0.08,0.086,0.103,0.13
"P74","No sabe",0.053,0.073,0.073,0.143,0.034,0.067,0.304
"P75","Muy positivo",0.318,0.049,0.078,0.182,0.065,0.07,0.035
"P75","Positivo",0.311,0.086,0.167,0.257,0.375,0.129,0.139
"P75","Neutral",0.252,0.421,0.361,0.374,0.429,0.519,0.444
"P75","Algo negativo",0.033,0.153,0.11,0.037,0.036,0.084,0.014
"P75","Negativo",0.028,0.204,0.196,0.068,0.057,0.098,0.12
"P75","No sabe",0.058,0.087,0.088,0.082,0.038,0.1,0.248
"P76","Muy positiva",0.576,0.162,0.28,0.252,0.366,0.277,0.196
"P76","Positiva",0.203,0.188,0.229,0.405,0.344,0.261,0.227
"P76","Neutral",0.126,0.257,0.235,0.225,0.166,0.214,0.185
"P76","Algo negativa",0.029,0.118,0.068,0.034,0.058,0.163,0.111
"P76","Negativa",0.03,0.209,0.138,0.041,0.046,0.033,0.096
"P76","No sabe",0.036,0.066,0.05,0.043,0.02,0.052,0.185
"P77","Muy positivo",0.573,0.151,0.284,0.276,0.275,0.312,0.203
"P77","Positivo",0.234,0.194,0.25,0.267,0.249,0.213,0.295
"P77","Neutral",0.1,0.247,0.206,0.277,0.211,0.241,0.18
"P77","Algo negativo",0.032,0.147,0.096,0.084,0.075,0.132,0.025
"P77","Negativo",0.03,0.207,0.13,0.046,0.059,0.067,0.014
"P77","No sabe",0.031,0.054,0.034,0.05,0.131,0.035,0.283
"P78","Muy positivo",0.494,0.137,0.248,0.234,0.201,0.297,0.186
"P78","Positivo",0.208,0.177,0.25,0.115,0.244,0.155,0.3
"P78","Neutral",0.214,0.349,0.289,0.551,0.354,0.297,0.233
"P78","Algo negativo",0.027,0.099,0.065,0.022,0.046,0.121,0.058
"P78","Negativo",0.019,0.169,0.112,0.037,0.032,0.028,0.009
"P78","No sabe",0.038,0.069,0.036,0.041,0.123,0.102,0.214
"P79","Si",0.591,0.513,0.531,0.379,0.429,0.649,0.524
"P79","No",0.409,0.487,0.469,0.621,0.571,0.351,0.476
