"var","categoria","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P44","Nunca lo votaría",0.799,0.206,0.615,0.702,0.648,0.513
"P44","No sabe",0.043,0.028,0.047,0.056,0.018,0.142
"P45","Lo votaría",0.44,0.096,0.065,0.124,0.138,0.17
"P45","Puede que lo vote",0.238,0.109,0.091,0.265,0.176,0.223
"P45","Nunca lo votaría",0.288,0.775,0.808,0.465,0.669,0.433
"P45","No sabe",0.034,0.02,0.036,0.146,0.017,0.174
"P46","Lo votaría",0.504,0.039,0.049,0.142,0.067,0.064
"P46","Puede que lo vote",0.291,0.029,0.035,0.223,0.165,0.276
"P46","Nunca lo votaría",0.165,0.906,0.871,0.497,0.757,0.491
"P46","No sabe",0.04,0.026,0.045,0.138,0.011,0.169
"P47","Lo votaría",0.128,0.12,0.055,0.179,0.152,0.067
"P47","Puede que lo vote",0.248,0.31,0.168,0.268,0.136,0.191
"P47","Nunca lo votaría",0.528,0.511,0.703,0.465,0.662,0.551
"P47","No sabe",0.096,0.059,0.074,0.088,0.05,0.191
"P48","Lo votaría",0.757,0.039,0.066,0.23,0.087,0.196
"P48","Puede que lo vote",0.102,0.041,0.069,0.225,0.134,0.214
"P48","Nunca lo votaría",0.127,0.903,0.828,0.472,0.75,0.483
"P48","No sabe",0.014,0.017,0.037,0.073,0.029,0.107
"P49","Si",0.661,0.579,0.543,0.588,0.582,0.526
"P49","No",0.339,0.421,0.457,0.412,0.418,0.474
