"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.899,0.012,0.008,0.26,0.283,0.335
"P27","Mauricio Macri por Juntos por el Cambio",0.021,0.724,0.08,0.015,0.085,0.099
"P27","Javier Milei por los liberales libertarios",0.011,0.105,0.858,0.037,0.019,0.042
"P27","Nicolás del Caño por la izquierda",0.006,0.003,0.01,0.503,0.019,0.028
"P27","Otro candidato",0.034,0.09,0.016,0.096,0.446,0.073
"P27","Aún no lo tengo decidido",0.029,0.066,0.028,0.089,0.148,0.423
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.101,0.545,0.068,0.098,0.213,0.133
"P29","Wado de Pedro por el Frente de Todos",0.785,0.077,0.011,0.043,0.081,0.101
"P29","Javier Milei por los liberales libertarios",0.022,0.174,0.881,0.053,0.03,0.046
"P29","Nicolás del Caño por la izquierda",0.005,0.004,0,0.607,0.012,0.019
"P29","Otro candidato",0.045,0.119,0.01,0.103,0.494,0.097
"P29","Aún no lo tengo decidido",0.042,0.081,0.03,0.096,0.17,0.604
"P31","Sergio Massa por el Frente de Todos",0.717,0.043,0.03,0.215,0.251,0.171
"P31","Patricia Bullrich por Juntos por el Cambio",0.049,0.853,0.05,0.05,0.102,0.107
"P31","Javier Milei por los liberales libertarios",0.013,0.047,0.872,0.049,0.027,0.038
"P31","Nicolás del Caño por la izquierda",0.031,0.002,0.009,0.604,0.021,0.013
"P31","Otro candidato",0.116,0.035,0.004,0.068,0.465,0.09
"P31","Aún no lo tengo decidido",0.074,0.02,0.035,0.014,0.134,0.581
"P33","Sergio Massa por el Frente de Todos",0.652,0.078,0.025,0.21,0.221,0.162
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.113,0.585,0.068,0.088,0.23,0.116
"P33","Javier Milei por los liberales libertarios",0.01,0.173,0.871,0.008,0.012,0.032
"P33","Nicolás del Caño por la izquierda",0.035,0.008,0,0.632,0.018,0.014
"P33","Otro candidato",0.131,0.096,0.016,0.034,0.407,0.12
"P33","Aún no lo tengo decidido",0.059,0.06,0.02,0.028,0.112,0.556
