"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ","En blanco","No sabe"
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.01,0.032,0.727,0,0.051,0.03
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.012,0.031,0.056,0.715,0.041,0.023
"P20","En blanco",0.008,0.028,0.04,0.191,0.575,0.043
"P20","No sabe",0.023,0.059,0.055,0,0.094,0.77
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.891,0.021,0.113,0.092,0.136,0.11
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.057,0.789,0.141,0.174,0.181,0.122
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0,0.049,0.669,0,0.06,0.035
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.009,0.04,0.007,0.553,0.037,0.054
"P21","En blanco",0.022,0.033,0.049,0.181,0.562,0.008
"P21","No sabe",0.021,0.068,0.021,0,0.024,0.671
"P22","Lo votaría",0.477,0.244,0.186,0.146,0.514,0.228
"P22","Puede que lo vote",0.365,0.198,0.137,0.457,0.206,0.215
"P22","Nunca lo votaría",0.126,0.393,0.554,0.133,0.245,0.234
"P22","No sabe",0.032,0.165,0.123,0.264,0.035,0.323
"P23","Lo votaría",0.662,0.142,0.136,0.174,0.079,0.143
"P23","Puede que lo vote",0.228,0.203,0.201,0.116,0.132,0.217
"P23","Nunca lo votaría",0.054,0.535,0.478,0.405,0.712,0.251
"P23","No sabe",0.056,0.12,0.185,0.305,0.077,0.389
"P24","La votaría",0.205,0.451,0.136,0,0.137,0.022
"P24","Puede que la vote",0.159,0.261,0.276,0.233,0.169,0.212
"P24","Nunca la votaría",0.569,0.194,0.414,0.462,0.65,0.387
"P24","No sabe",0.067,0.094,0.174,0.305,0.044,0.379
"P25","Lo votaría",0.202,0.459,0.107,0,0.106,0.113
"P25","Puede que lo vote",0.142,0.241,0.272,0,0.19,0.261
"P25","Nunca lo votaría",0.557,0.235,0.454,0.769,0.679,0.371
"P25","No sabe",0.099,0.065,0.167,0.231,0.025,0.255
"P26","Lo votaría",0.122,0.165,0.447,0,0.053,0.048
"P26","Puede que lo vote",0.164,0.188,0.188,0,0.245,0.2
"P26","Nunca lo votaría",0.592,0.495,0.179,0.67,0.676,0.468
"P26","No sabe",0.122,0.152,0.186,0.33,0.026,0.284
"P27","Lo votaría",0.148,0.076,0.122,0.097,0,0.016
"P27","Puede que lo vote",0.135,0.147,0.185,0.189,0.184,0.231
"P27","Nunca lo votaría",0.562,0.64,0.495,0.462,0.74,0.543
"P27","No sabe",0.155,0.137,0.198,0.252,0.076,0.21
"P28","Lo votaría",0.786,0.114,0.093,0.305,0.496,0.217
"P28","Puede que lo vote",0.091,0.118,0.157,0.152,0.175,0.182
"P28","Nunca lo votaría",0.082,0.736,0.743,0.243,0.303,0.355
"P28","No sabe",0.041,0.032,0.007,0.3,0.026,0.246
"P29","La votaría",0.341,0.107,0.076,0.104,0.219,0.105
"P29","Puede que la vote",0.37,0.113,0.199,0.049,0.455,0.123
"P29","Nunca la votaría",0.249,0.716,0.709,0.477,0.288,0.326
"P29","No sabe",0.04,0.064,0.016,0.37,0.038,0.446
"P30","Lo votaría",0.188,0.522,0.146,0.149,0.084,0.09
"P30","Puede que lo vote",0.123,0.145,0.332,0.065,0.183,0.067
"P30","Nunca lo votaría",0.633,0.247,0.417,0.581,0.59,0.412
"P30","No sabe",0.056,0.086,0.105,0.205,0.143,0.431
"P31","Lo votaría",0.137,0.624,0.193,0.235,0.138,0.145
"P31","Puede que lo vote",0.13,0.234,0.401,0.016,0.168,0.155
"P31","Nunca lo votaría",0.69,0.103,0.39,0.442,0.584,0.467
"P31","No sabe",0.043,0.039,0.016,0.307,0.11,0.233
"P32","La votaría",0.125,0.174,0.449,0.15,0.118,0.064
"P32","Puede que la vote",0.094,0.198,0.203,0.016,0.149,0.033
"P32","Nunca la votaría",0.675,0.503,0.246,0.544,0.666,0.524
"P32","No sabe",0.106,0.125,0.102,0.29,0.067,0.379
"P33","Lo votaría",0.378,0.109,0.225,0.376,0.245,0.106
"P33","Puede que lo vote",0.375,0.12,0.186,0.188,0.222,0.18
"P33","Nunca lo votaría",0.205,0.732,0.576,0.231,0.312,0.46
"P33","No sabe",0.042,0.039,0.013,0.205,0.221,0.254
"P34","Lo votaría",0.677,0.12,0.089,0.254,0.205,0.163
"P34","Puede que lo vote",0.19,0.112,0.215,0.122,0.257,0.108
