"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P32","No sabe",0.087,0.17,0.08,0.934
"P33","Lo votaría",0.238,0.172,0.282,0
"P33","Puede que lo vote",0.132,0.314,0.257,0.37
"P33","Nunca lo votaría",0.587,0.404,0.427,0.199
"P33","No sabe",0.043,0.11,0.034,0.431
"P34","Lo votaría",0.171,0.281,0.462,0
"P34","Puede que lo vote",0.127,0.249,0.154,0.178
"P34","Nunca lo votaría",0.677,0.397,0.362,0.241
"P34","No sabe",0.025,0.073,0.022,0.581
"P35","Lo votaría",0.195,0.225,0.167,0.12
"P35","Puede que lo vote",0.182,0.41,0.323,0.305
"P35","Nunca lo votaría",0.516,0.336,0.479,0.13
"P35","No sabe",0.107,0.029,0.031,0.445
"P36","La votaría",0.763,0.395,0.149,0.076
"P36","Puede que la vote",0.089,0.472,0.077,0.203
"P36","Nunca la votaría",0.133,0.128,0.766,0.006
"P36","No sabe",0.015,0.005,0.008,0.715
"P38","Lo votaría",0.359,0.288,0.15,0.16
"P38","Puede que lo vote",0.269,0.46,0.08,0.037
"P38","Nunca lo votaría",0.282,0.204,0.759,0.121
"P38","No sabe",0.09,0.048,0.011,0.682
"P39","Si",0.359,0.337,0.445,0.316
"P39","No",0.641,0.663,0.555,0.684
