"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertario","Al candidato del Frente de Izquierda","No sabe"
"P57","Mala",0.104,0.022,0.086,0.17,0.063,0.087,0.109,0.108,0.154
"P57","Muy mala",0.129,0.076,0.249,0.568,0.792,0.671,0.221,0.293,0.489
"P57","No sabe",0.002,0,0.001,0.029,0.001,0.008,0.011,0,0.108
"P58","Muy buena",0.076,0.136,0.191,0.035,0.002,0.049,0.553,0.681,0.031
"P58","Buena",0.174,0.238,0.208,0.034,0.018,0.008,0.22,0.156,0.014
"P58","Ni buena ni mala",0.294,0.364,0.29,0.126,0.029,0.103,0.083,0.061,0.198
"P58","Mala",0.282,0.143,0.119,0.136,0.069,0.144,0.051,0.013,0.149
"P58","Muy mala",0.161,0.101,0.184,0.633,0.878,0.656,0.088,0.089,0.505
"P58","No sabe",0.013,0.018,0.008,0.036,0.004,0.04,0.005,0,0.103
"P59","Muy buena",0.024,0.023,0.025,0.15,0.58,0.275,0.087,0.164,0.037
"P59","Buena",0.041,0.04,0.098,0.301,0.239,0.298,0.051,0.044,0.069
"P59","Ni buena ni mala",0.198,0.141,0.192,0.276,0.046,0.208,0.146,0.173,0.193
"P59","Mala",0.239,0.149,0.195,0.075,0.019,0.07,0.169,0.117,0.105
"P59","Muy mala",0.441,0.606,0.458,0.131,0.113,0.093,0.456,0.427,0.418
"P59","No sabe",0.057,0.041,0.032,0.067,0.003,0.056,0.091,0.075,0.178
"P60","Muy buena",0.012,0.009,0.019,0.154,0.194,0.482,0.029,0.016,0.041
"P60","Buena",0.051,0.008,0.029,0.376,0.387,0.341,0.051,0.013,0.099
"P60","Ni buena ni mala",0.15,0.079,0.127,0.33,0.312,0.127,0.124,0.159,0.202
"P60","Mala",0.251,0.171,0.22,0.061,0.058,0.033,0.167,0.182,0.164
"P60","Muy mala",0.509,0.721,0.597,0.046,0.048,0.009,0.618,0.615,0.405
"P60","No sabe",0.027,0.012,0.008,0.033,0.001,0.008,0.011,0.015,0.089
"P61","Muy buena",0.359,0.297,0.167,0.045,0.035,0.077,0.066,0.057,0.093
"P61","Buena",0.276,0.324,0.284,0.05,0.044,0.069,0.15,0.103,0.079
"P61","Ni buena ni mala",0.189,0.212,0.226,0.13,0.056,0.069,0.286,0.244,0.145
"P61","Mala",0.072,0.071,0.132,0.179,0.1,0.17,0.161,0.171,0.163
"P61","Muy mala",0.1,0.092,0.188,0.569,0.761,0.604,0.33,0.412,0.441
"P61","No sabe",0.004,0.004,0.003,0.027,0.004,0.011,0.007,0.013,0.079
"P62","Muy buena",0.201,0.117,0.303,0.078,0.029,0.049,0.068,0.063,0.029
"P62","Buena",0.29,0.228,0.22,0.094,0.063,0.077,0.147,0.101,0.09
"P62","Ni buena ni mala",0.347,0.351,0.286,0.396,0.306,0.342,0.35,0.371,0.273
"P62","Mala",0.064,0.137,0.105,0.158,0.274,0.246,0.128,0.155,0.087
"P62","Muy mala",0.061,0.14,0.068,0.182,0.301,0.238,0.243,0.248,0.333
"P62","No sabe",0.037,0.027,0.018,0.092,0.027,0.048,0.064,0.062,0.188
"P63","Siempre",0.364,0.331,0.313,0.281,0.311,0.36,0.239,0.206,0.268
"P63","Casi siempre",0.388,0.42,0.33,0.444,0.354,0.38,0.401,0.32,0.369
"P63","Casi nunca",0.186,0.186,0.27,0.174,0.24,0.185,0.234,0.289,0.216
"P63","Nunca, pero esta es una excepción",0.062,0.063,0.087,0.101,0.095,0.075,0.126,0.185,0.147
"P64","Si",0.647,0.678,0.592,0.661,0.591,0.687,0.576,0.561,0.487
"P64","No",0.353,0.322,0.408,0.339,0.409,0.313,0.424,0.439,0.513
