"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bulrich por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P25","Al candidato del Frente de Izquierda",0.012,0.013,0.017,0.021,0.456,0.172,0.039
"P25","No sabe",0.015,0.01,0.144,0.018,0.012,0.175,0.38
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.796,0.027,0.037,0.008,0.01,0.079,0.03
"P27","Patricia Bullrich por Juntos por el Cambio",0.138,0.899,0.026,0.006,0.045,0.027,0.023
"P27","Wado de Pedro por el Frente de Todos",0.014,0.009,0.407,0.342,0.014,0.193,0.178
"P27","Sergio Massa por el Frente de Todos",0.002,0.026,0.287,0.608,0.013,0.047,0.057
"P27","Javier Milei por los liberales libertarios",0.027,0.024,0.027,0.017,0.901,0.046,0.102
"P27","Al candidato del Frente de Izquierda",0.002,0.004,0.011,0.006,0.006,0.559,0.019
"P27","No sabe",0.021,0.011,0.205,0.013,0.011,0.049,0.591
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.757,0.033,0.042,0.019,0.015,0.101,0.026
"P28","Patricia Bullrich por Juntos por el Cambio",0.174,0.874,0.036,0.011,0.052,0.024,0.038
"P28","Wado de Pedro por el Frente de Todos",0.013,0.016,0.277,0.451,0.018,0.231,0.193
"P28","Daniel Scioli por el Frente de Todos",0.005,0.016,0.382,0.369,0.017,0.108,0.12
"P28","Javier Milei por los liberales libertarios",0.018,0.033,0.039,0.038,0.878,0.055,0.112
"P28","Al candidato del Frente de Izquierda",0.003,0.003,0.013,0.019,0.007,0.455,0.03
"P28","No sabe",0.03,0.025,0.211,0.093,0.013,0.026,0.481
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.691,0.161,0.043,0.011,0.023,0.1,0.067
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.197,0.708,0.021,0.009,0.049,0.033,0.032
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.027,0.029,0.304,0.424,0.019,0.099,0.056
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.021,0.016,0.36,0.447,0.03,0.263,0.203
"P29","Javier Milei presidente y su candidato a vice",0.014,0.043,0.062,0.027,0.853,0.057,0.121
"P29","A los candidatos de la izquierda",0.003,0,0.016,0.009,0.006,0.368,0.032
"P29","No sabe",0.047,0.043,0.194,0.073,0.02,0.08,0.489
"P30","Alberto Fernández por el Frente de Todos",0.057,0.04,0.835,0.638,0.027,0.166,0.156
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.772,0.461,0.03,0.051,0.041,0.109,0.082
"P30","Javier Milei por los liberales libertarios",0.05,0.241,0.067,0.038,0.848,0.075,0.146
"P30","Al candidato del Frente de Izquierda",0.03,0.011,0.024,0.059,0.014,0.499,0.039
"P30","No sabe",0.091,0.247,0.044,0.214,0.07,0.151,0.577
"P31","Sergio Massa por el Frente de Todos",0.051,0.035,0.574,0.834,0.036,0.177,0.168
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.828,0.505,0.051,0.032,0.032,0.093,0.073
"P31","Javier Milei por los liberales libertarios",0.055,0.256,0.07,0.023,0.877,0.103,0.159
"P31","Al candidato del Frente de Izquierda",0.007,0.011,0.066,0.028,0.011,0.536,0.042
"P31","No sabe",0.059,0.193,0.239,0.083,0.044,0.091,0.558
"P32","Wado de Pedro por el Frente de Todos",0.04,0.025,0.533,0.755,0.038,0.394,0.262
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.848,0.518,0.051,0.038,0.042,0.102,0.081
"P32","Javier Milei por los liberales libertarios",0.045,0.262,0.095,0.03,0.878,0.038,0.141
"P32","Al candidato del Frente de Izquierda",0.007,0.008,0.031,0.029,0.005,0.394,0.028
"P32","No sabe",0.06,0.187,0.29,0.148,0.037,0.072,0.488
"P33","Daniel Scioli por el Frente de Todos",0.04,0.034,0.575,0.758,0.038,0.308,0.23
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.856,0.539,0.043,0.042,0.033,0.105,0.077
"P33","Javier Milei por los liberales libertarios",0.053,0.251,0.066,0.028,0.888,0.042,0.14
"P33","Al candidato del Frente de Izquierda",0.006,0.012,0.048,0.03,0.002,0.484,0.033
"P33","No sabe",0.045,0.164,0.268,0.142,0.039,0.061,0.52
"P34","Sergio Massa por el Frente de Todos",0.058,0.032,0.579,0.874,0.034,0.222,0.169
"P34","Patricia Bullrich por Juntos por el Cambio",0.68,0.882,0.054,0.025,0.078,0.09,0.074
"P34","Javier Milei por los liberales libertarios",0.071,0.051,0.055,0.011,0.855,0.075,0.145
"P34","Al candidato del Frente de Izquierda",0.035,0.001,0.059,0.03,0.002,0.529,0.038
"P34","No sabe",0.156,0.034,0.253,0.06,0.031,0.084,0.574
"P35","Alberto Fernández por el Frente de Todos",0.05,0.029,0.818,0.735,0.028,0.245,0.168
"P35","Patricia Bullrich por Juntos por el Cambio",0.665,0.896,0.026,0.018,0.084,0.062,0.067
"P35","Javier Milei por los liberales libertarios",0.082,0.044,0.043,0.035,0.855,0.102,0.155
"P35","Al candidato del Frente de Izquierda",0.05,0.004,0.012,0.075,0.003,0.521,0.046
"P35","No sabe",0.153,0.027,0.101,0.137,0.03,0.07,0.564
"P36","Wado de Pedro por el Frente de Todos",0.042,0.03,0.527,0.752,0.033,0.428,0.279
"P36","Patricia Bullrich por Juntos por el Cambio",0.663,0.9,0.028,0.023,0.076,0.093,0.071
"P36","Javier Milei por los liberales libertarios",0.071,0.046,0.073,0.04,0.856,0.087,0.154
"P36","Al candidato del Frente de Izquierda",0.064,0.002,0.046,0.026,0.011,0.357,0.023
"P36","No sabe",0.16,0.022,0.326,0.159,0.024,0.035,0.473
"P37","Daniel Scioli por el Frente de Todos",0.054,0.025,0.617,0.797,0.037,0.296,0.25
"P37","Patricia Bullrich por Juntos por el Cambio",0.66,0.905,0.047,0.021,0.079,0.114,0.087
"P37","Javier Milei por los liberales libertarios",0.087,0.048,0.073,0.031,0.85,0.077,0.137
"P37","Al candidato del Frente de Izquierda",0.048,0.001,0.037,0.028,0.004,0.473,0.039
"P37","No sabe",0.151,0.021,0.226,0.123,0.03,0.04,0.487
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.735,0.399,0.111,0.09,0.044,0.187,0.106
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.124,0.165,0.503,0.729,0.032,0.144,0.169
"P38","Javier Milei presidente y su candidato a vice",0.046,0.225,0.08,0.032,0.881,0.061,0.149
"P38","A los candidatos de la izquierda",0.017,0.011,0.062,0.038,0.004,0.54,0.035
"P38","No sabe",0.078,0.2,0.244,0.111,0.039,0.068,0.541
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.673,0.796,0.075,0.017,0.074,0.096,0.077
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.083,0.064,0.54,0.803,0.028,0.171,0.147
"P39","Javier Milei presidente y su candidato a vice",0.058,0.075,0.069,0.024,0.86,0.078,0.142
"P39","A los candidatos de la izquierda",0.027,0.003,0.045,0.039,0.007,0.543,0.047
"P39","No sabe",0.159,0.062,0.271,0.117,0.031,0.112,0.587
"P40","Sergio Massa por el Frente de Todos",0.029,0.059,0.693,0.925,0.066,0.421,0.257
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.889,0.701,0.05,0.028,0.278,0.116,0.167
"P40","No sabe",0.082,0.24,0.257,0.047,0.656,0.463,0.576
"P41","Alberto Fernández por el Frente de Todos",0.033,0.042,0.829,0.792,0.062,0.415,0.256
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.916,0.734,0.026,0.04,0.331,0.154,0.195
"P41","No sabe",0.051,0.224,0.145,0.168,0.607,0.431,0.549
"P42","Sergio Massa por el Frente de Todos",0.038,0.023,0.698,0.929,0.06,0.469,0.282
"P42","Patricia Bullrich por Juntos por el Cambio",0.786,0.94,0.06,0.017,0.565,0.089,0.201
"P42","No sabe",0.176,0.037,0.242,0.054,0.375,0.442,0.517
"P43","Alberto Fernández por el Frente de Todos",0.043,0.028,0.846,0.818,0.055,0.446,0.272
"P43","Patricia Bullrich por Juntos por el Cambio",0.748,0.949,0.025,0.014,0.598,0.105,0.224
"P43","No sabe",0.209,0.023,0.129,0.168,0.347,0.449,0.504
"P44","Wado de Pedro por el Frente de Todos",0.021,0.031,0.627,0.813,0.058,0.53,0.313
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.915,0.76,0.066,0.037,0.366,0.192,0.195
"P44","No sabe",0.064,0.209,0.307,0.15,0.576,0.278,0.492
"P45","Daniel Scioli por el Frente de Todos",0.021,0.038,0.74,0.828,0.082,0.445,0.32
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.926,0.753,0.032,0.038,0.34,0.14,0.175
"P45","No sabe",0.053,0.209,0.228,0.134,0.578,0.415,0.505
"P46","Wado de Pedro por el Frente de Todos",0.046,0.028,0.608,0.842,0.06,0.569,0.313
"P46","Patricia Bullrich por Juntos por el Cambio",0.797,0.926,0.047,0.011,0.585,0.12,0.192
"P46","No sabe",0.157,0.046,0.345,0.147,0.355,0.311,0.495
"P47","Daniel Scioli por el Frente de Todos",0.045,0.025,0.725,0.864,0.053,0.415,0.357
"P47","Patricia Bullrich por Juntos por el Cambio",0.784,0.95,0.028,0.016,0.608,0.128,0.206
"P47","No sabe",0.171,0.025,0.247,0.12,0.339,0.457,0.437
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.778,0.487,0.209,0.247,0.054,0.217,0.14
"P48","Javier Milei por los liberales libertarios",0.15,0.362,0.086,0.055,0.816,0.073,0.207
"P48","No sabe",0.072,0.151,0.705,0.698,0.13,0.71,0.653
"P49","Patricia Bullrich por Juntos por el Cambio",0.747,0.848,0.091,0.067,0.066,0.156,0.126
"P49","Javier Milei por los liberales libertarios",0.108,0.099,0.087,0.077,0.833,0.077,0.184
"P49","No sabe",0.145,0.053,0.822,0.856,0.101,0.767,0.69
"P50","Alberto Fernández por el Frente de Todos",0.127,0.137,0.764,0.727,0.04,0.503,0.287
"P50","Javier Milei por los liberales libertarios",0.402,0.49,0.066,0.043,0.869,0.097,0.22
"P50","No sabe",0.471,0.373,0.17,0.23,0.091,0.4,0.493
"P51","Sergio Massa por el Frente de Todos",0.085,0.048,0.714,0.907,0.042,0.503,0.285
"P51","Javier Milei por los liberales libertarios",0.468,0.575,0.09,0.02,0.884,0.089,0.221
"P51","No sabe",0.447,0.377,0.196,0.073,0.074,0.408,0.494
"P52","Muy buena",0.018,0.022,0.347,0.139,0.01,0.153,0.048
"P52","Buena",0.065,0.076,0.397,0.284,0.114,0.115,0.076
"P52","Ni buena ni mala",0.091,0.065,0.168,0.373,0.072,0.221,0.274
"P52","Mala",0.144,0.075,0.031,0.149,0.047,0.199,0.203
"P52","Muy mala",0.674,0.758,0.039,0.052,0.754,0.307,0.37
"P52","No sabe",0.008,0.004,0.018,0.003,0.003,0.005,0.029
"P53","Muy buena",0.014,0.017,0.584,0.628,0.038,0.39,0.338
"P53","Buena",0.015,0.022,0.166,0.173,0.031,0.111,0.056
"P53","Ni buena ni mala",0.025,0.017,0.125,0.106,0.045,0.105,0.098
"P53","Mala",0.086,0.047,0.07,0.053,0.046,0.105,0.051
"P53","Muy mala",0.852,0.894,0.055,0.036,0.836,0.287,0.424
"P53","No sabe",0.008,0.003,0,0.004,0.004,0.002,0.033
"P54","Muy buena",0.235,0.416,0.116,0.071,0.067,0.158,0.068
"P54","Buena",0.281,0.282,0.051,0.017,0.159,0.045,0.049
"P54","Ni buena ni mala",0.195,0.135,0.086,0.037,0.325,0.07,0.115
"P54","Mala",0.097,0.049,0.219,0.149,0.161,0.081,0.162
"P54","Muy mala",0.173,0.116,0.527,0.724,0.287,0.637,0.576
"P54","No sabe",0.019,0.002,0.001,0.002,0.001,0.009,0.03
"P55","Muy buena",0.431,0.179,0.033,0.019,0.031,0.089,0.067
"P55","Buena",0.385,0.378,0.027,0.03,0.11,0.05,0.073
"P55","Ni buena ni mala",0.138,0.266,0.202,0.102,0.278,0.127,0.19
"P55","Mala",0.029,0.086,0.227,0.247,0.21,0.176,0.133
"P55","Muy mala",0.017,0.089,0.488,0.591,0.362,0.545,0.496
"P55","No sabe",0,0.002,0.023,0.011,0.009,0.013,0.041
"P56","Muy buena",0.048,0.031,0.163,0.201,0.013,0.064,0.048
"P56","Buena",0.099,0.059,0.26,0.436,0.044,0.111,0.087
"P56","Ni buena ni mala",0.127,0.08,0.356,0.248,0.116,0.314,0.264
"P56","Mala",0.193,0.121,0.115,0.061,0.141,0.216,0.191
"P56","Muy mala",0.53,0.707,0.073,0.051,0.68,0.295,0.356
"P56","No sabe",0.003,0.002,0.033,0.003,0.006,0,0.054
"P57","Muy buena",0.233,0.639,0.074,0.038,0.187,0.102,0.052
"P57","Buena",0.253,0.186,0.05,0.054,0.238,0.04,0.076
"P57","Ni buena ni mala",0.219,0.045,0.21,0.065,0.26,0.119,0.145
"P57","Mala",0.126,0.019,0.109,0.112,0.102,0.101,0.125
"P57","Muy mala",0.168,0.11,0.531,0.718,0.207,0.634,0.555
"P57","No sabe",0.001,0.001,0.026,0.013,0.006,0.004,0.047
"P58","Muy buena",0.092,0.129,0.062,0.023,0.652,0.095,0.122
"P58","Buena",0.18,0.247,0.016,0.019,0.191,0.028,0.072
"P58","Ni buena ni mala",0.287,0.361,0.148,0.064,0.078,0.095,0.115
"P58","Mala",0.221,0.14,0.135,0.096,0.014,0.116,0.173
"P58","Muy mala",0.209,0.111,0.555,0.78,0.062,0.662,0.477
"P58","No sabe",0.011,0.012,0.084,0.018,0.003,0.004,0.041
"P59","Muy buena",0.017,0.029,0.288,0.36,0.122,0.256,0.184
"P59","Buena",0.049,0.049,0.173,0.307,0.046,0.183,0.15
"P59","Ni buena ni mala",0.188,0.145,0.216,0.162,0.165,0.138,0.15
"P59","Mala",0.229,0.153,0.089,0.03,0.129,0.113,0.148
"P59","Muy mala",0.467,0.59,0.112,0.112,0.455,0.283,0.274
"P59","No sabe",0.05,0.034,0.122,0.029,0.083,0.027,0.094
"P60","Muy buena",0.013,0.013,0.289,0.251,0.023,0.183,0.082
"P60","Buena",0.036,0.022,0.323,0.399,0.03,0.106,0.191
"P60","Ni buena ni mala",0.116,0.071,0.251,0.283,0.139,0.254,0.22
"P60","Mala",0.279,0.172,0.056,0.032,0.154,0.207,0.147
"P60","Muy mala",0.54,0.711,0.046,0.025,0.637,0.242,0.321
"P60","No sabe",0.016,0.011,0.035,0.01,0.017,0.008,0.039
"P61","Muy buena",0.342,0.259,0.075,0.042,0.061,0.138,0.066
"P61","Buena",0.288,0.324,0.109,0.043,0.134,0.057,0.074
"P61","Ni buena ni mala",0.171,0.212,0.155,0.074,0.288,0.072,0.145
"P61","Mala",0.104,0.077,0.133,0.152,0.17,0.127,0.14
"P61","Muy mala",0.092,0.126,0.517,0.677,0.336,0.602,0.525
"P61","No sabe",0.003,0.002,0.011,0.012,0.011,0.004,0.05
"P62","Muy buena",0.243,0.113,0.055,0.06,0.067,0.141,0.089
"P62","Buena",0.262,0.233,0.068,0.08,0.131,0.089,0.105
"P62","Ni buena ni mala",0.337,0.348,0.414,0.344,0.353,0.244,0.286
"P62","Mala",0.071,0.138,0.177,0.221,0.145,0.207,0.159
"P62","Muy mala",0.041,0.142,0.214,0.243,0.242,0.302,0.253
"P62","No sabe",0.046,0.026,0.072,0.052,0.062,0.017,0.108
"P63","Siempre",0.323,0.317,0.349,0.301,0.246,0.333,0.271
"P63","Casi siempre",0.404,0.417,0.318,0.421,0.352,0.333,0.355
"P63","Casi nunca",0.218,0.189,0.229,0.187,0.25,0.283,0.242
"P63","Nunca, pero esta es una excepción",0.055,0.077,0.104,0.091,0.152,0.051,0.132
"P64","Si",0.684,0.64,0.59,0.653,0.606,0.61,0.503
"P64","No",0.316,0.36,0.41,0.347,0.394,0.39,0.497
