"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P54","Buena",0.306,0.29,0.085,0.036,0.015,0.027,0.008,0.164,0.06,0.066
"P54","Ni buena ni mala",0.203,0.124,0.263,0.114,0.069,0.01,0.043,0.332,0.022,0.148
"P54","Mala",0.088,0.055,0.187,0.179,0.206,0.066,0.167,0.17,0.08,0.185
"P54","Muy mala",0.172,0.102,0.351,0.492,0.631,0.798,0.683,0.278,0.745,0.496
"P54","No sabe",0.02,0.002,0.002,0,0.003,0.002,0.003,0.003,0.015,0.048
"P55","Muy buena",0.434,0.191,0.204,0.093,0.009,0.021,0.023,0.032,0.02,0.061
"P55","Buena",0.366,0.376,0.247,0.032,0.051,0.023,0.027,0.107,0.042,0.1
"P55","Ni buena ni mala",0.147,0.267,0.276,0.203,0.174,0.051,0.085,0.284,0.04,0.24
"P55","Mala",0.044,0.087,0.086,0.19,0.294,0.153,0.246,0.207,0.245,0.177
"P55","Muy mala",0.009,0.076,0.179,0.43,0.469,0.75,0.611,0.362,0.638,0.356
"P55","No sabe",0,0.003,0.008,0.052,0.003,0.002,0.008,0.008,0.015,0.066
"P56","Muy buena",0.048,0.03,0.074,0.208,0.373,0.064,0.105,0.015,0.057,0.016
"P56","Buena",0.097,0.049,0.113,0.253,0.341,0.286,0.473,0.036,0.071,0.109
"P56","Ni buena ni mala",0.12,0.072,0.205,0.293,0.162,0.37,0.262,0.115,0.158,0.326
"P56","Mala",0.203,0.12,0.162,0.106,0.064,0.164,0.063,0.144,0.254,0.151
"P56","Muy mala",0.532,0.726,0.439,0.115,0.06,0.116,0.097,0.679,0.46,0.299
"P56","No sabe",0,0.003,0.007,0.025,0,0,0,0.011,0,0.099
"P57","Muy buena",0.2,0.652,0.121,0.089,0.084,0.039,0.027,0.18,0.103,0.064
"P57","Buena",0.262,0.182,0.18,0.019,0.081,0.043,0.043,0.252,0.007,0.073
"P57","Ni buena ni mala",0.265,0.037,0.221,0.155,0.102,0.072,0.088,0.273,0.097,0.171
"P57","Mala",0.141,0.021,0.14,0.136,0.164,0.047,0.102,0.1,0.053,0.165
"P57","Muy mala",0.13,0.107,0.336,0.538,0.567,0.795,0.732,0.189,0.74,0.446
"P57","No sabe",0.002,0.001,0.002,0.063,0.002,0.004,0.008,0.006,0,0.081
"P58","Muy buena",0.066,0.155,0.116,0.142,0.017,0.03,0.021,0.689,0.06,0.026
"P58","Buena",0.151,0.256,0.11,0.012,0.042,0.004,0.012,0.218,0.016,0.031
"P58","Ni buena ni mala",0.281,0.353,0.296,0.165,0.07,0.019,0.111,0.063,0.065,0.213
"P58","Mala",0.3,0.13,0.138,0.145,0.184,0.068,0.133,0.007,0.029,0.159
"P58","Muy mala",0.164,0.097,0.333,0.456,0.676,0.87,0.714,0.02,0.83,0.469
"P58","No sabe",0.038,0.009,0.007,0.08,0.011,0.009,0.009,0.003,0,0.102
"P59","Muy buena",0.025,0.017,0.053,0.172,0.165,0.651,0.227,0.13,0.097,0.041
"P59","Buena",0.037,0.049,0.072,0.207,0.315,0.185,0.384,0.045,0.172,0.106
"P59","Ni buena ni mala",0.164,0.136,0.202,0.249,0.23,0.034,0.211,0.166,0.184,0.272
"P59","Mala",0.228,0.153,0.26,0.114,0.093,0.005,0.052,0.143,0.114,0.088
"P59","Muy mala",0.459,0.608,0.376,0.11,0.167,0.124,0.11,0.427,0.412,0.334
"P59","No sabe",0.087,0.037,0.037,0.148,0.03,0.001,0.016,0.089,0.021,0.159
"P60","Muy buena",0.012,0.007,0.047,0.219,0.178,0.206,0.453,0.017,0.046,0.078
"P60","Buena",0.029,0.008,0.089,0.304,0.374,0.379,0.394,0.02,0.049,0.13
"P60","Ni buena ni mala",0.11,0.069,0.197,0.259,0.337,0.317,0.111,0.143,0.238,0.22
"P60","Mala",0.252,0.181,0.175,0.067,0.057,0.051,0.022,0.166,0.274,0.19
"P60","Muy mala",0.568,0.725,0.479,0.083,0.05,0.047,0.02,0.638,0.393,0.307
"P60","No sabe",0.029,0.01,0.013,0.068,0.004,0,0,0.016,0,0.075
"P61","Muy buena",0.35,0.263,0.158,0.059,0.048,0.051,0.075,0.06,0.078,0.106
"P61","Buena",0.253,0.322,0.236,0.107,0.053,0.044,0.057,0.138,0.029,0.09
"P61","Ni buena ni mala",0.198,0.206,0.287,0.134,0.124,0.063,0.033,0.288,0.075,0.152
"P61","Mala",0.085,0.083,0.138,0.167,0.198,0.079,0.186,0.167,0.139,0.133
"P61","Muy mala",0.107,0.123,0.174,0.502,0.577,0.756,0.636,0.337,0.669,0.445
"P61","No sabe",0.007,0.003,0.007,0.031,0,0.007,0.013,0.01,0.01,0.074
"P62","Muy buena",0.163,0.109,0.63,0.082,0.039,0.029,0.045,0.055,0.067,0.06
"P62","Buena",0.22,0.237,0.207,0.054,0.103,0.04,0.129,0.141,0.05,0.103
"P62","Ni buena ni mala",0.431,0.353,0.091,0.375,0.438,0.328,0.292,0.362,0.179,0.274
"P62","Mala",0.059,0.147,0.029,0.125,0.164,0.255,0.275,0.133,0.262,0.145
"P62","Muy mala",0.068,0.131,0.041,0.241,0.202,0.323,0.227,0.24,0.406,0.245
"P62","No sabe",0.059,0.023,0.002,0.123,0.054,0.025,0.032,0.069,0.036,0.173
"P63","Siempre",0.333,0.327,0.323,0.38,0.294,0.287,0.367,0.238,0.16,0.233
"P63","Casi siempre",0.414,0.404,0.439,0.317,0.435,0.387,0.353,0.344,0.416,0.361
"P63","Casi nunca",0.211,0.193,0.173,0.167,0.21,0.237,0.204,0.257,0.294,0.251
"P63","Nunca, pero esta es una excepción",0.042,0.076,0.065,0.136,0.061,0.089,0.076,0.161,0.13,0.155
"P64","Si",0.67,0.659,0.594,0.668,0.656,0.609,0.685,0.581,0.411,0.464
"P64","No",0.33,0.341,0.406,0.332,0.344,0.391,0.315,0.419,0.589,0.536
