"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P54","Buena",0.306,0.282,0.251,0.114,0.012,0.011,0.045,0.159,0.081,0.02
"P54","Ni buena ni mala",0.207,0.118,0.163,0.281,0.062,0.007,0.097,0.333,0.033,0.138
"P54","Mala",0.069,0.065,0.123,0.175,0.205,0.072,0.174,0.167,0.096,0.189
"P54","Muy mala",0.17,0.11,0.148,0.316,0.63,0.82,0.583,0.287,0.691,0.562
"P54","No sabe",0.023,0.002,0,0.026,0.002,0.002,0.002,0.002,0.028,0.041
"P55","Muy buena",0.484,0.193,0.183,0.143,0.014,0.021,0.053,0.024,0.011,0.072
"P55","Buena",0.321,0.365,0.475,0.248,0.035,0.005,0.036,0.1,0.06,0.042
"P55","Ni buena ni mala",0.139,0.261,0.214,0.251,0.146,0.046,0.191,0.288,0.081,0.255
"P55","Mala",0.038,0.094,0.045,0.123,0.307,0.172,0.197,0.209,0.228,0.153
"P55","Muy mala",0.015,0.083,0.083,0.213,0.494,0.755,0.475,0.371,0.592,0.411
"P55","No sabe",0.003,0.004,0,0.022,0.004,0.001,0.048,0.008,0.028,0.067
"P56","Muy buena",0.056,0.028,0.021,0.065,0.338,0.064,0.176,0.011,0.06,0.038
"P56","Buena",0.079,0.052,0.1,0.167,0.39,0.309,0.363,0.028,0.054,0.103
"P56","Ni buena ni mala",0.132,0.069,0.168,0.256,0.156,0.373,0.316,0.118,0.19,0.272
"P56","Mala",0.161,0.124,0.188,0.159,0.057,0.163,0.092,0.143,0.189,0.143
"P56","Muy mala",0.572,0.724,0.518,0.335,0.057,0.091,0.029,0.689,0.507,0.346
"P56","No sabe",0,0.003,0.005,0.018,0.002,0,0.024,0.011,0,0.098
"P57","Muy buena",0.163,0.662,0.3,0.131,0.072,0.02,0.065,0.178,0.077,0.032
"P57","Buena",0.282,0.164,0.284,0.135,0.059,0.049,0.021,0.252,0.004,0.047
"P57","Ni buena ni mala",0.281,0.036,0.148,0.244,0.086,0.084,0.161,0.26,0.096,0.143
"P57","Mala",0.143,0.028,0.107,0.136,0.145,0.052,0.118,0.098,0.078,0.152
"P57","Muy mala",0.129,0.109,0.161,0.336,0.632,0.79,0.608,0.205,0.745,0.515
"P57","No sabe",0.002,0.001,0,0.018,0.006,0.005,0.027,0.007,0,0.111
"P58","Muy buena",0.085,0.159,0.065,0.081,0.029,0.013,0.069,0.702,0.084,0.021
"P58","Buena",0.142,0.252,0.17,0.07,0.03,0.009,0.013,0.215,0.05,0.021
"P58","Ni buena ni mala",0.296,0.346,0.369,0.262,0.101,0.017,0.133,0.054,0.105,0.181
"P58","Mala",0.286,0.131,0.181,0.192,0.133,0.065,0.178,0.007,0.028,0.17
"P58","Muy mala",0.18,0.095,0.203,0.37,0.689,0.891,0.557,0.02,0.733,0.489
"P58","No sabe",0.011,0.017,0.012,0.025,0.018,0.005,0.05,0.002,0,0.118
"P59","Muy buena",0.021,0.021,0.075,0.044,0.182,0.624,0.151,0.121,0.057,0.044
"P59","Buena",0.03,0.052,0.033,0.124,0.347,0.225,0.266,0.046,0.111,0.107
"P59","Ni buena ni mala",0.169,0.126,0.258,0.262,0.236,0.037,0.27,0.164,0.195,0.224
"P59","Mala",0.254,0.156,0.18,0.241,0.067,0.003,0.086,0.136,0.155,0.093
"P59","Muy mala",0.474,0.603,0.401,0.275,0.138,0.111,0.118,0.445,0.432,0.348
"P59","No sabe",0.052,0.042,0.053,0.054,0.03,0,0.109,0.088,0.05,0.184
"P60","Muy buena",0.033,0.007,0.009,0.066,0.232,0.253,0.319,0.015,0.058,0.118
"P60","Buena",0.023,0.011,0.05,0.086,0.367,0.384,0.421,0.02,0.014,0.135
"P60","Ni buena ni mala",0.092,0.077,0.127,0.277,0.316,0.285,0.158,0.135,0.218,0.201
"P60","Mala",0.266,0.18,0.184,0.163,0.045,0.052,0.044,0.166,0.295,0.16
"P60","Muy mala",0.556,0.714,0.62,0.386,0.034,0.025,0.015,0.648,0.415,0.309
"P60","No sabe",0.03,0.011,0.01,0.022,0.006,0.001,0.043,0.016,0,0.077
"P61","Muy buena",0.311,0.233,0.548,0.132,0.039,0.042,0.075,0.052,0.088,0.082
"P61","Buena",0.245,0.325,0.23,0.241,0.037,0.044,0.112,0.135,0.003,0.052
"P61","Ni buena ni mala",0.209,0.225,0.062,0.265,0.114,0.05,0.119,0.281,0.092,0.133
"P61","Mala",0.108,0.085,0.053,0.127,0.194,0.091,0.187,0.17,0.108,0.165
"P61","Muy mala",0.122,0.129,0.102,0.217,0.607,0.769,0.479,0.352,0.701,0.485
"P61","No sabe",0.005,0.003,0.005,0.018,0.009,0.004,0.028,0.01,0.008,0.083
"P62","Muy buena",0.155,0.103,0.226,0.535,0.049,0.031,0.075,0.058,0.088,0.042
"P62","Buena",0.237,0.237,0.211,0.251,0.114,0.048,0.062,0.13,0.036,0.064
"P62","Ni buena ni mala",0.384,0.356,0.287,0.085,0.379,0.318,0.408,0.37,0.212,0.299
"P62","Mala",0.099,0.14,0.093,0.026,0.204,0.277,0.194,0.131,0.197,0.11
"P62","Muy mala",0.081,0.14,0.093,0.056,0.211,0.304,0.187,0.245,0.419,0.29
"P62","No sabe",0.044,0.024,0.09,0.047,0.043,0.022,0.074,0.066,0.048,0.195
"P63","Siempre",0.313,0.326,0.35,0.265,0.316,0.301,0.338,0.232,0.255,0.3
"P63","Casi siempre",0.414,0.412,0.334,0.349,0.431,0.404,0.313,0.354,0.379,0.334
"P63","Casi nunca",0.194,0.196,0.206,0.289,0.172,0.207,0.241,0.255,0.298,0.233
"P63","Nunca, pero esta es una excepción",0.079,0.066,0.11,0.097,0.081,0.088,0.108,0.159,0.068,0.133
"P64","Si",0.643,0.649,0.677,0.643,0.663,0.6,0.664,0.579,0.485,0.501
"P64","No",0.357,0.351,0.323,0.357,0.337,0.4,0.336,0.421,0.515,0.499
