"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P36","Mala",0.117,0.067,0.033,0.05,0.076,0.173
"P36","Muy mala",0.53,0.487,0.584,0.588,0.749,0.481
"P36","No sabe",0.03,0,0.007,0.009,0,0.072
"P37","Muy buena",0.097,0.119,0.032,0.122,0.071,0.05
"P37","Buena",0.123,0.147,0.34,0.092,0.229,0.216
"P37","Ni buena ni mala",0.223,0.214,0.172,0.13,0.172,0.202
"P37","Mala",0.142,0.157,0.061,0.126,0.139,0.122
"P37","Muy mala",0.346,0.361,0.371,0.527,0.349,0.257
"P37","No sabe",0.069,0.002,0.024,0.003,0.04,0.153
"P38","Muy buena",0.126,0.079,0.066,0.148,0.07,0.034
"P38","Buena",0.162,0.246,0.117,0.059,0.055,0.217
"P38","Ni buena ni mala",0.112,0.187,0.097,0.304,0.088,0.172
"P38","Mala",0.18,0.101,0.094,0.069,0.123,0.175
"P38","Muy mala",0.416,0.385,0.623,0.42,0.664,0.254
"P38","No sabe",0.004,0.002,0.003,0,0,0.148
"P39","Muy buena",0.217,0.186,0.411,0.382,0.254,0.209
"P39","Buena",0.226,0.192,0.121,0.059,0.156,0.124
"P39","Ni buena ni mala",0.168,0.121,0.164,0.146,0.208,0.229
"P39","Mala",0.019,0.098,0.045,0.028,0.139,0.066
"P39","Muy mala",0.347,0.403,0.251,0.373,0.206,0.267
"P39","No sabe",0.023,0,0.008,0.012,0.037,0.105
"P40","Muy buena",0.316,0.162,0.178,0.25,0.268,0.272
"P40","Buena",0.075,0.108,0.27,0.111,0.169,0.092
"P40","Ni buena ni mala",0.209,0.203,0.242,0.169,0.215,0.164
"P40","Mala",0.1,0.155,0.084,0.1,0.049,0.046
"P40","Muy mala",0.275,0.359,0.21,0.37,0.269,0.151
"P40","No sabe",0.025,0.013,0.016,0,0.03,0.275
