"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P38","Muy buena",0.162,0.082,0.052,0.042,0.04,0.015
"P38","Buena",0.156,0.131,0.06,0.141,0.127,0.073
"P38","Ni buena ni mala",0.199,0.252,0.421,0.417,0.332,0.068
"P38","Mala",0.137,0.141,0.106,0.191,0.106,0.019
"P38","Muy mala",0.171,0.269,0.253,0.109,0.272,0.059
"P38","No sabe",0.175,0.125,0.108,0.1,0.123,0.766
"P39","Muy buena",0.215,0.09,0.054,0.081,0.079,0.017
"P39","Buena",0.116,0.125,0.079,0.158,0.119,0.039
"P39","Ni buena ni mala",0.296,0.336,0.566,0.392,0.354,0.094
"P39","Mala",0.236,0.138,0.076,0.174,0.139,0
"P39","Muy mala",0.104,0.2,0.174,0.075,0.214,0.091
"P39","No sabe",0.033,0.111,0.051,0.12,0.095,0.759
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.221,0.174,0.262,0.425,0.56,0.061
"P42","A Daniel Passerini por Hacemos por Cordoba",0.531,0.458,0.357,0.249,0.188,0.356
"P42","Al candidato del frente de todos",0.147,0.192,0.197,0.062,0.051,0.032
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.01,0.014,0.048,0.096,0.065,0
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.033,0.085,0.025,0.067,0.033,0.039
"P42","Al candidato del frente de izquierda",0.015,0.015,0.049,0.018,0.039,0.033
"P42","Votaría en blanco",0.023,0.013,0.03,0.02,0.009,0
"P42","No sabe",0.02,0.049,0.032,0.063,0.055,0.479
"P44","A Luis Juez por Juntos por el Cambio",0.372,0.123,0.187,0.341,0.452,0.168
"P44","A Daniel Passerini por Hacemos por Cordoba",0.322,0.522,0.451,0.299,0.192,0.261
"P44","Al candidato del frente de todos",0.137,0.187,0.181,0.033,0.02,0.035
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0,0.022,0.028,0.073,0.115,0.295
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.077,0.058,0.027,0.11,0.058,0.058
"P44","Al candidato del frente de izquierda",0.026,0.028,0.042,0.014,0.058,0
"P44","Votaría en blanco",0.015,0.013,0.026,0.035,0.025,0
"P44","No sabe",0.051,0.047,0.058,0.095,0.08,0.183
"P46","Lo votaría",0.362,0.166,0.194,0.374,0.52,0.138
"P46","Puede que lo vote",0.134,0.156,0.172,0.274,0.219,0.143
"P46","Nunca lo votaría",0.504,0.661,0.625,0.334,0.249,0.424
"P46","No sabe",0,0.017,0.009,0.018,0.012,0.295
"P47","Lo votaría",0.464,0.466,0.371,0.291,0.197,0.324
"P47","Puede que lo vote",0.162,0.244,0.258,0.198,0.125,0.084
"P47","Nunca lo votaría",0.374,0.274,0.363,0.501,0.66,0.276
"P47","No sabe",0,0.016,0.008,0.01,0.018,0.316
"P48","Lo votaría",0.322,0.142,0.139,0.267,0.394,0.2
"P48","Puede que lo vote",0.087,0.152,0.178,0.231,0.209,0.028
"P48","Nunca lo votaría",0.591,0.694,0.675,0.492,0.381,0.455
"P48","No sabe",0,0.012,0.008,0.01,0.016,0.317
"P49","Lo votaría",0.241,0.128,0.055,0.094,0.136,0.021
"P49","Puede que lo vote",0.249,0.293,0.256,0.271,0.216,0.146
"P49","Nunca lo votaría",0.51,0.553,0.62,0.624,0.644,0.456
"P49","No sabe",0,0.026,0.069,0.011,0.004,0.377
"P50","Lo votaría",0.317,0.195,0.143,0.055,0.049,0.047
"P50","Puede que lo vote",0.298,0.374,0.257,0.233,0.09,0.273
"P50","Nunca lo votaría",0.377,0.418,0.555,0.697,0.858,0.284
"P50","No sabe",0.008,0.013,0.045,0.015,0.003,0.396
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.244,0.208,0.154,0.413,0.592,0.122
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.516,0.512,0.455,0.349,0.147,0.294
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.166,0.208,0.219,0.048,0.032,0.062
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0,0.004,0.034,0.06,0.094,0
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.033,0.011,0.026,0.054,0.056,0
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.022,0.009,0.064,0.008,0.029,0
"P51","Votaría en blanco",0.019,0.008,0.017,0.022,0.015,0
"P51","No sabe",0,0.04,0.031,0.046,0.035,0.522
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.207,0.191,0.144,0.318,0.519,0.092
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.461,0.454,0.454,0.391,0.151,0.248
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.195,0.227,0.198,0.043,0.036,0.061
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.018,0.004,0.046,0.046,0.113,0.047
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.033,0.037,0.043,0.088,0.06,0
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.022,0,0.042,0.008,0.032,0
"P52","Votaría en blanco",0.019,0,0.022,0.023,0.024,0
"P52","No sabe",0.045,0.087,0.051,0.083,0.065,0.552
