"var","categoria","A Juntos por el Cambio","Al Frente de Todos","A Hacemos por Córdoba","A los liberales libertarios de Milei","A Encuentro Vecinal Córdoba","Al Frente de Izquierda","No sabe"
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.756,0.23,0.211,0.345,0.228,0.086,0.26
"P42","A Daniel Passerini por Hacemos por Cordoba",0.117,0.307,0.618,0.2,0.148,0.077,0.191
"P42","Al candidato del frente de todos",0.035,0.39,0.058,0.083,0,0.137,0.064
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.016,0.004,0.052,0.322,0.043,0,0.015
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.013,0.02,0.01,0.007,0.499,0.155,0.105
"P42","Al candidato del frente de izquierda",0.003,0.011,0.004,0.013,0,0.478,0.031
"P42","Votaría en blanco",0.011,0.018,0.012,0,0,0.021,0.06
"P42","No sabe",0.049,0.02,0.035,0.03,0.082,0.046,0.274
"P44","A Luis Juez por Juntos por el Cambio",0.652,0.203,0.156,0.285,0.068,0.13,0.145
"P44","A Daniel Passerini por Hacemos por Cordoba",0.144,0.307,0.702,0.106,0.16,0.122,0.151
"P44","Al candidato del frente de todos",0.02,0.409,0.013,0.068,0,0.01,0.061
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.038,0.003,0.044,0.41,0.016,0.008,0.127
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.041,0.015,0.021,0.045,0.642,0.061,0.126
"P44","Al candidato del frente de izquierda",0.007,0.024,0.008,0.014,0,0.604,0.004
"P44","Votaría en blanco",0.03,0.021,0.011,0,0.022,0.016,0.082
"P44","No sabe",0.068,0.018,0.045,0.072,0.092,0.049,0.304
"P46","Lo votaría",0.724,0.223,0.151,0.291,0.247,0.064,0.188
"P46","Puede que lo vote",0.176,0.102,0.211,0.317,0.268,0.311,0.262
"P46","Nunca lo votaría",0.09,0.675,0.609,0.377,0.434,0.599,0.499
"P46","No sabe",0.01,0,0.029,0.015,0.051,0.026,0.051
"P47","Lo votaría",0.182,0.315,0.603,0.144,0.129,0.057,0.133
"P47","Puede que lo vote",0.125,0.251,0.166,0.154,0.164,0.297,0.264
"P47","Nunca lo votaría",0.684,0.427,0.197,0.683,0.688,0.624,0.558
"P47","No sabe",0.009,0.007,0.034,0.019,0.019,0.022,0.045
"P48","Lo votaría",0.522,0.256,0.149,0.221,0.094,0.1,0.096
"P48","Puede que lo vote",0.255,0.086,0.134,0.24,0.107,0.2,0.247
"P48","Nunca lo votaría",0.216,0.651,0.683,0.53,0.78,0.677,0.612
"P48","No sabe",0.007,0.007,0.034,0.009,0.019,0.023,0.045
"P49","Lo votaría",0.143,0.131,0.038,0.105,0.476,0.108,0.118
"P49","Puede que lo vote",0.247,0.197,0.244,0.312,0.214,0.079,0.327
"P49","Nunca lo votaría",0.598,0.657,0.683,0.558,0.251,0.758,0.507
"P49","No sabe",0.012,0.015,0.035,0.025,0.059,0.055,0.048
"P50","Lo votaría",0.053,0.278,0.093,0.069,0.108,0.044,0.079
"P50","Puede que lo vote",0.098,0.28,0.281,0.188,0.134,0.296,0.189
"P50","Nunca lo votaría",0.84,0.435,0.591,0.737,0.733,0.593,0.683
"P50","No sabe",0.009,0.007,0.035,0.006,0.025,0.067,0.049
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.841,0.133,0.109,0.277,0.286,0.243,0.253
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.077,0.283,0.79,0.135,0.107,0.115,0.174
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.007,0.512,0.022,0.063,0,0.064,0.066
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.014,0.003,0.035,0.401,0.024,0,0.084
