"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P38","No sabe",0.078,0.195,0.129,0.652
"P39","Muy buena",0.096,0.094,0.077,0.118
"P39","Buena",0.11,0.087,0.127,0
"P39","Ni buena ni mala",0.364,0.355,0.398,0.069
"P39","Mala",0.103,0.103,0.149,0.043
"P39","Muy mala",0.246,0.205,0.155,0
"P39","No sabe",0.081,0.156,0.094,0.77
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.253,0.28,0.455,0
"P42","A Daniel Passerini por Hacemos por Cordoba",0.351,0.285,0.283,0.115
"P42","Al candidato del frente de todos",0.334,0.194,0.045,0.079
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.011,0.039,0.066,0
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.02,0.073,0.045,0
"P42","Al candidato del frente de izquierda",0.019,0.048,0.031,0
"P42","Votaría en blanco",0.006,0.008,0.019,0
"P42","No sabe",0.006,0.073,0.056,0.806
"P44","A Luis Juez por Juntos por el Cambio",0.224,0.218,0.376,0.061
"P44","A Daniel Passerini por Hacemos por Cordoba",0.391,0.378,0.285,0.058
"P44","Al candidato del frente de todos",0.281,0.158,0.031,0.083
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.023,0.034,0.086,0.798
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.039,0.06,0.068,0
"P44","Al candidato del frente de izquierda",0.017,0.056,0.042,0
"P44","Votaría en blanco",0.008,0.01,0.03,0
"P44","No sabe",0.017,0.086,0.082,0
"P46","Lo votaría",0.227,0.218,0.435,0.062
"P46","Puede que lo vote",0.138,0.249,0.209,0.059
"P46","Nunca lo votaría",0.635,0.53,0.341,0.082
"P46","No sabe",0,0.003,0.015,0.797
"P47","Lo votaría",0.498,0.26,0.277,0
"P47","Puede que lo vote",0.158,0.379,0.14,0.116
"P47","Nunca lo votaría",0.344,0.35,0.568,0.084
"P47","No sabe",0,0.011,0.015,0.8
