"var","categoria","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos","Javier Milei presidente – José Luis Espert  gobernador por los liberales","A los candidatos de la izquierda","Otro candidato"
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.082,0.06,0.911,0.03,0.011
"P28","A los candidatos de la izquierda",0.005,0.008,0.002,0.671,0.008
"P28","Otro candidato",0.063,0.088,0.014,0.183,0.647
"P31","Sergio Massa por el Frente de Todos",0.293,0.476,0.033,0.099,0.139
"P31","Patricia Bullrich por Juntos por el Cambio",0.529,0.273,0.072,0.025,0.106
"P31","Javier Milei por los liberales libertarios",0.018,0.026,0.857,0.016,0.015
"P31","Nicolás del Caño por la izquierda",0.024,0.011,0.001,0.619,0.02
"P31","Otro candidato",0.06,0.104,0.009,0.073,0.473
"P31","Aún no lo tengo decidido",0.076,0.11,0.028,0.168,0.247
"P33","Sergio Massa por el Frente de Todos",0.37,0.374,0.016,0.123,0.14
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.33,0.3,0.053,0.033,0.273
"P33","Javier Milei por los liberales libertarios",0.078,0.059,0.886,0.026,0.014
"P33","Nicolás del Caño por la izquierda",0.028,0.019,0.001,0.582,0.012
"P33","Otro candidato",0.112,0.129,0.012,0.156,0.32
"P33","Aún no lo tengo decidido",0.082,0.119,0.032,0.08,0.241
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.491,0.487,0.007,0.004,0.049
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.315,0.316,0.065,0.058,0.297
"P34","Javier Milei por los liberales libertarios",0.081,0.066,0.889,0.027,0.022
"P34","Nicolás del Caño por la izquierda",0.005,0.019,0.007,0.641,0.026
"P34","Otro candidato",0.067,0.069,0.011,0.229,0.348
"P34","Aún no lo tengo decidido",0.041,0.043,0.021,0.041,0.258
"P35","Sergio Massa por el Frente de Todos",0.067,0.723,0.056,0.092,0.211
"P35","Mauricio Macri por Juntos por el Cambio",0.695,0.032,0.048,0.185,0.14
"P35","Javier Milei por los liberales libertarios",0.046,0.048,0.852,0,0.016
"P35","Nicolás del Caño por la izquierda",0.027,0.017,0.002,0.58,0.028
"P35","Otro candidato",0.101,0.105,0.012,0.117,0.416
"P35","Aún no lo tengo decidido",0.064,0.075,0.03,0.026,0.189
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.481,0.539,0.034,0.291,0.109
"P36","Mauricio Macri por Juntos por el Cambio",0.47,0.388,0.47,0.078,0.324
"P36","No sabe",0.049,0.073,0.496,0.631,0.567
"P37","Alberto Fernández por el Frente de Todos",0.4,0.4,0.029,0.448,0.08
