"var","categoria","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P31","Muy buena",0.202,0.211,0.113,0.082,0.066,0,0.157,0,0.127
"P31","Buena",0.175,0.173,0.175,0.166,0.055,0.015,0,0,0.046
"P31","Ni buena ni mala",0.459,0.352,0.464,0.313,0.243,0.404,0.125,0.124,0.105
"P31","Mala",0.025,0.047,0.05,0.132,0.108,0.136,0.392,0.036,0.063
"P31","Muy mala",0,0.022,0.009,0.089,0.147,0.149,0.054,0.319,0.126
"P31","No sabe",0.139,0.195,0.189,0.218,0.381,0.296,0.272,0.521,0.533
"P32","Muy buena",0.109,0.121,0.037,0.139,0.252,0.008,0.14,0,0.115
"P32","Buena",0.034,0.109,0.068,0.153,0.209,0.015,0,0.203,0.057
"P32","Ni buena ni mala",0.425,0.313,0.339,0.342,0.215,0.263,0.222,0.204,0.236
"P32","Mala",0.18,0.158,0.25,0.051,0.055,0.23,0.14,0.078,0.165
"P32","Muy mala",0.151,0.127,0.154,0.138,0.057,0.202,0.21,0.243,0.047
"P32","No sabe",0.101,0.172,0.152,0.177,0.212,0.282,0.288,0.272,0.38
"P33","Muy buena",0.16,0.174,0.017,0.046,0.047,0.055,0.189,0,0
"P33","Buena",0.197,0.188,0.15,0.078,0.056,0.048,0,0.184,0.003
"P33","Ni buena ni mala",0.304,0.27,0.38,0.433,0.265,0.286,0.267,0.168,0.041
"P33","Mala",0.105,0.063,0.173,0.062,0.155,0.143,0.033,0.037,0.102
"P33","Muy mala",0.053,0.055,0.119,0.159,0.201,0.195,0.148,0.235,0.191
"P33","No sabe",0.181,0.25,0.161,0.222,0.276,0.273,0.363,0.376,0.663
"P34","Muy buena",0.099,0.186,0.093,0.447,0.487,0.08,0.14,0.176,0.198
"P34","Buena",0.047,0.106,0.076,0.093,0.193,0.126,0,0.311,0.101
"P34","Ni buena ni mala",0.308,0.278,0.247,0.176,0.131,0.256,0.197,0.021,0.108
"P34","Mala",0.228,0.209,0.162,0.027,0.077,0.152,0.316,0.056,0.064
"P34","Muy mala",0.24,0.205,0.352,0.194,0.042,0.29,0.201,0.436,0.177
"P34","No sabe",0.078,0.016,0.07,0.063,0.07,0.096,0.146,0,0.352
"P35","Muy buena",0.209,0.223,0.115,0.132,0.123,0.025,0.155,0,0
"P35","Buena",0.283,0.164,0.134,0.044,0.081,0.115,0.054,0.269,0.032
"P35","Ni buena ni mala",0.276,0.272,0.474,0.36,0.193,0.377,0.21,0.145,0.225
"P35","Mala",0.053,0.083,0.074,0.163,0.216,0.113,0.092,0.033,0.062
"P35","Muy mala",0.074,0.167,0.117,0.205,0.236,0.191,0.037,0.341,0.182
"P35","No sabe",0.105,0.091,0.086,0.096,0.151,0.179,0.452,0.212,0.499
"P36","Muy buena",0.081,0.146,0.047,0.035,0.132,0.025,0.139,0,0.061
"P36","Buena",0.077,0.109,0.019,0.093,0.1,0.144,0,0.201,0.019
"P36","Ni buena ni mala",0.443,0.338,0.397,0.554,0.331,0.215,0.119,0.191,0.206
"P36","Mala",0.128,0.129,0.231,0.065,0.082,0.237,0.024,0.051,0.012
"P36","Muy mala",0.071,0.095,0.139,0.028,0.093,0.179,0.225,0.26,0.039
"P36","No sabe",0.2,0.183,0.167,0.225,0.262,0.2,0.493,0.297,0.663
"P37","Muy buena",0.019,0.078,0.028,0.059,0.252,0.047,0.139,0.052,0.013
"P37","Buena",0.05,0.082,0.02,0.063,0.162,0.002,0,0.215,0.149
"P37","Ni buena ni mala",0.388,0.405,0.402,0.578,0.256,0.269,0.057,0.22,0.126
"P37","Mala",0.207,0.125,0.126,0.029,0.105,0.176,0.005,0,0.107
"P37","Muy mala",0.116,0.071,0.167,0.059,0.036,0.198,0.255,0.261,0.17
"P37","No sabe",0.22,0.239,0.257,0.212,0.189,0.308,0.544,0.252,0.435
"P38","Muy buena",0.032,0.071,0.028,0.203,0.314,0.027,0.138,0.082,0.213
"P38","Buena",0.034,0.09,0.047,0.167,0.268,0.016,0.139,0.223,0.072
"P38","Ni buena ni mala",0.372,0.242,0.234,0.347,0.206,0.2,0.099,0.147,0.041
"P38","Mala",0.267,0.333,0.301,0.009,0.092,0.25,0.114,0.107,0.112
