"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P57","No sabe",0.025,0.063,0.045,0,0.035,0.138
"P58","Muy buena",0.111,0.494,0.209,0.121,0.058,0.124
"P58","Buena",0.04,0.269,0.267,0.055,0.082,0.207
"P58","Ni buena ni mala",0.069,0.062,0.175,0.169,0.339,0.214
"P58","Mala",0.084,0.067,0.129,0.158,0.087,0.153
"P58","Muy mala",0.691,0.091,0.216,0.497,0.434,0.289
"P58","No sabe",0.005,0.017,0.004,0,0,0.013
"P59","Muy buena",0.087,0.131,0.582,0.361,0.11,0.127
"P59","Buena",0.066,0.147,0.181,0.062,0.174,0.14
"P59","Ni buena ni mala",0.058,0.333,0.102,0.168,0.13,0.175
"P59","Mala",0.097,0.227,0.029,0.078,0.171,0.182
"P59","Muy mala",0.681,0.102,0.106,0.331,0.415,0.322
"P59","No sabe",0.011,0.06,0,0,0,0.054
"P60","Muy buena",0.64,0.032,0.14,0.136,0.256,0.397
"P60","Buena",0.182,0.019,0.041,0.111,0.278,0.154
"P60","Ni buena ni mala",0.045,0.107,0.038,0.088,0.143,0.135
"P60","Mala",0.029,0.119,0.071,0.088,0.046,0.033
"P60","Muy mala",0.095,0.708,0.71,0.555,0.277,0.24
"P60","No sabe",0.009,0.015,0,0.022,0,0.041
"P61","Muy buena",0.113,0.177,0.085,0.12,0.069,0.063
"P61","Buena",0.027,0.293,0.2,0.043,0.067,0.083
"P61","Ni buena ni mala",0.206,0.291,0.265,0.08,0.447,0.464
"P61","Mala",0.182,0.03,0.126,0.165,0.024,0.06
"P61","Muy mala",0.332,0.121,0.22,0.569,0.32,0.19
"P61","No sabe",0.14,0.088,0.104,0.023,0.073,0.14
"P62","Muy buena",0.068,0.19,0.053,0.018,0.117,0.029
"P62","Buena",0.02,0.402,0.287,0.064,0.058,0.214
"P62","Ni buena ni mala",0.186,0.301,0.267,0.309,0.527,0.188
"P62","Mala",0.267,0.061,0.105,0.176,0.012,0.242
"P62","Muy mala",0.387,0.034,0.218,0.41,0.286,0.228
"P62","No sabe",0.072,0.012,0.07,0.023,0,0.099
