"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P49","El tránsito",0.193,0.231,0.17,0.331,0.27,0.187,0.339,0.172
"P49","El arreglo de las calles",0.121,0.111,0.132,0.045,0.095,0.046,0.05,0.057
"P49","Los parques y espacios públicos",0.198,0.096,0.2,0.102,0.108,0.17,0,0.097
"P49","El sistema de salud",0.077,0.098,0.087,0.102,0.088,0.185,0.103,0.188
"P49","La limpieza de las calles",0.199,0.179,0.148,0.191,0.198,0.063,0.508,0.151
"P49","El deporte y la cultura",0.031,0.052,0.025,0.081,0.053,0.125,0,0
"P49","La obra pública",0.035,0,0.043,0.052,0.042,0,0,0
"P49","La luminaria",0.03,0.032,0.013,0.008,0.009,0,0,0.044
"P49","No sabe",0.116,0.201,0.182,0.088,0.137,0.224,0,0.291
"P50","Agua corriente y cloacas",0.326,0.474,0.495,0.448,0.394,0.489,0.38,0.313
"P50","Energía eléctrica",0.191,0.136,0.11,0.071,0.113,0.313,0.279,0.171
"P50","Red de gas natural",0.12,0.046,0.1,0.097,0.134,0,0,0.043
"P50","Recolección de residuos",0.146,0.113,0.105,0.194,0.171,0,0.059,0.033
"P50","Ninguno",0.217,0.231,0.19,0.19,0.188,0.198,0.282,0.44
"P51","Los robos",0.32,0.271,0.285,0.373,0.333,0.608,0.359,0.17
"P51","El narcotráfico",0.252,0.205,0.339,0.336,0.269,0.052,0.118,0.333
"P51","La ausencia de patrulleros y personal policial",0.13,0.242,0.104,0.139,0.082,0.143,0.155,0.14
"P51","Otro",0.162,0.139,0.161,0.062,0.196,0.072,0.279,0.169
"P51","Ninguno",0.136,0.143,0.111,0.09,0.12,0.125,0.089,0.188
"P52","Muy buena",0.219,0.103,0.042,0.055,0.019,0.109,0,0.032
"P52","Buena",0.255,0.182,0.052,0.074,0.094,0.295,0,0.171
"P52","Ni buena ni mala",0.239,0.188,0.047,0.094,0.068,0.189,0,0.161
"P52","Mala",0.169,0.149,0.092,0.064,0.048,0.041,0.051,0.249
"P52","Muy mala",0.093,0.378,0.767,0.688,0.761,0.366,0.949,0.375
"P52","No sabe",0.025,0,0,0.025,0.01,0,0,0.012
"P53","Muy buena",0.121,0.211,0.401,0.145,0.142,0.109,0,0.043
"P53","Buena",0.084,0.176,0.251,0.28,0.199,0.142,0.359,0
"P53","Ni buena ni mala",0.076,0.119,0.166,0.091,0.159,0.036,0.397,0.106
"P53","Mala",0.135,0.156,0.054,0.104,0.234,0.342,0.105,0.254
"P53","Muy mala",0.572,0.338,0.121,0.376,0.233,0.371,0.139,0.597
"P53","No sabe",0.012,0,0.007,0.004,0.033,0,0,0
"P54","Muy buena",0.704,0.221,0.035,0.167,0.049,0.299,0,0.152
"P54","Buena",0.068,0.173,0.068,0.094,0.008,0.123,0,0.113
"P54","Ni buena ni mala",0.049,0.089,0.051,0.045,0.038,0.023,0.278,0.199
"P54","Mala",0.019,0.138,0.041,0.045,0.08,0.294,0,0
"P54","Muy mala",0.138,0.379,0.8,0.649,0.825,0.261,0.722,0.536
"P54","No sabe",0.022,0,0.005,0,0,0,0,0
"P55","Muy buena",0.188,0.046,0.073,0.232,0.023,0.107,0,0
"P55","Buena",0.055,0.199,0.306,0.286,0.175,0.041,0.281,0.102
"P55","Ni buena ni mala",0.084,0.232,0.277,0.136,0.19,0.385,0.478,0.347
"P55","Mala",0.201,0.18,0.145,0.103,0.145,0.147,0.139,0.09
"P55","Muy mala",0.467,0.34,0.197,0.243,0.467,0.32,0.102,0.346
"P55","No sabe",0.005,0.003,0.002,0,0,0,0,0.115
"P56","Muy buena",0.312,0.056,0.029,0.086,0.022,0.107,0,0.09
"P56","Buena",0.234,0.104,0.053,0.119,0.038,0.022,0.281,0.098
"P56","Ni buena ni mala",0.222,0.183,0.047,0.186,0.114,0.172,0,0.14
"P56","Mala",0.082,0.166,0.136,0.091,0.043,0.171,0.189,0.043
"P56","Muy mala",0.15,0.491,0.718,0.514,0.776,0.528,0.53,0.629
"P56","No sabe",0,0,0.017,0.004,0.007,0,0,0
"P57","Muy buena",0.553,0.136,0.006,0.101,0.018,0.107,0,0.115
"P57","Buena",0.232,0.123,0.016,0.113,0.005,0.191,0,0.189
"P57","Ni buena ni mala",0.09,0.276,0.111,0.177,0.134,0.046,0.281,0.109
"P57","Mala",0.016,0.109,0.132,0.251,0.137,0.332,0.05,0.082
"P57","Muy mala",0.075,0.294,0.659,0.319,0.687,0.324,0.53,0.321
"P57","No sabe",0.034,0.062,0.076,0.039,0.019,0,0.139,0.184
"P58","Muy buena",0.105,0.255,0.586,0.198,0.164,0.106,0.03,0.044
"P58","Buena",0.031,0.135,0.229,0.349,0.231,0.032,0.729,0.209
"P58","Ni buena ni mala",0.085,0.154,0.055,0.167,0.169,0.347,0.089,0.041
"P58","Mala",0.084,0.155,0.044,0.073,0.202,0,0,0.098
"P58","Muy mala",0.673,0.301,0.083,0.213,0.234,0.515,0.152,0.535
"P58","No sabe",0.022,0,0.003,0,0,0,0,0.073
"P59","Muy buena",0.091,0.191,0.181,0.198,0.622,0.119,0,0.044
"P59","Buena",0.061,0.065,0.199,0.139,0.184,0,0.31,0
"P59","Ni buena ni mala",0.067,0.21,0.291,0.243,0.119,0.214,0,0.219
"P59","Mala",0.095,0.181,0.193,0.157,0.023,0.297,0.551,0.056
"P59","Muy mala",0.661,0.353,0.088,0.234,0.052,0.37,0.139,0.497
"P59","No sabe",0.025,0,0.048,0.029,0,0,0,0.184
"P60","Muy buena",0.622,0.3,0.051,0.173,0.082,0.23,0,0.348
"P60","Buena",0.131,0.191,0.055,0.059,0.036,0.192,0,0.139
"P60","Ni buena ni mala",0.051,0.072,0.097,0.109,0.061,0.195,0,0.056
"P60","Mala",0.024,0.102,0.084,0.093,0.104,0.142,0,0
"P60","Muy mala",0.15,0.322,0.711,0.566,0.717,0.241,1,0.309
"P60","No sabe",0.022,0.013,0.002,0,0,0,0,0.148
"P61","Muy buena",0.114,0.126,0.193,0.128,0.029,0.358,0,0
"P61","Buena",0.041,0.194,0.317,0.143,0.156,0.046,0.029,0.054
"P61","Ni buena ni mala",0.218,0.285,0.266,0.286,0.264,0.401,0.358,0.461
"P61","Mala",0.14,0.052,0.021,0.151,0.177,0,0,0.145
"P61","Muy mala",0.365,0.209,0.112,0.194,0.299,0.195,0.433,0.093
"P61","No sabe",0.122,0.134,0.091,0.098,0.075,0,0.18,0.247
"P62","Muy buena",0.069,0.044,0.147,0.222,0.05,0.124,0,0
"P62","Buena",0.041,0.245,0.367,0.412,0.178,0.075,0.308,0.23
"P62","Ni buena ni mala",0.204,0.212,0.329,0.212,0.342,0.054,0.613,0.134
"P62","Mala",0.24,0.186,0.07,0.068,0.163,0.172,0.029,0.101
"P62","Muy mala",0.39,0.3,0.049,0.083,0.194,0.514,0.05,0.285
"P62","No sabe",0.056,0.013,0.038,0.003,0.073,0.061,0,0.25
