"var","categoria","A Malena Galmarini por el Frente de Todos","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","A Nicolás Massot por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P53","Muy buena",0.144,0.154,0.282,0.319,0.157,0.169,0.14
"P53","Buena",0.108,0.093,0.23,0.32,0.26,0,0.228
"P53","Ni buena ni mala",0.119,0.051,0.163,0.185,0.12,0.066,0.159
"P53","Mala",0.155,0.196,0.087,0.026,0.252,0.048,0.038
"P53","Muy mala",0.459,0.506,0.223,0.15,0.18,0.717,0.435
"P53","No sabe",0.015,0,0.015,0,0.031,0,0
"P54","Muy buena",0.569,0.48,0.062,0.102,0.014,0.133,0.222
"P54","Buena",0.041,0.162,0.057,0.038,0.008,0.253,0.128
"P54","Ni buena ni mala",0.088,0.062,0.047,0.042,0.048,0.076,0
"P54","Mala",0.071,0.043,0.047,0.073,0.069,0,0.09
"P54","Muy mala",0.224,0.253,0.782,0.745,0.861,0.364,0.56
"P54","No sabe",0.007,0,0.005,0,0,0.174,0
"P55","Muy buena",0.147,0.079,0.16,0.118,0.017,0.057,0.159
"P55","Buena",0.062,0.134,0.336,0.333,0.098,0.147,0.222
"P55","Ni buena ni mala",0.113,0.192,0.275,0.279,0.162,0.062,0.116
"P55","Mala",0.258,0.105,0.103,0.11,0.212,0.121,0.133
"P55","Muy mala",0.414,0.472,0.126,0.157,0.511,0.613,0.37
"P55","No sabe",0.006,0.018,0,0.003,0,0,0
"P56","Muy buena",0.272,0.146,0.067,0.061,0.01,0.057,0.028
"P56","Buena",0.274,0.125,0.084,0.031,0.01,0.05,0.078
"P56","Ni buena ni mala",0.18,0.255,0.07,0.094,0.1,0.118,0.129
"P56","Mala",0.047,0.106,0.121,0.201,0.071,0,0.142
"P56","Muy mala",0.227,0.368,0.656,0.608,0.801,0.613,0.623
"P56","No sabe",0,0,0.002,0.005,0.008,0.162,0
"P57","Muy buena",0.401,0.331,0.049,0.07,0.01,0.268,0.042
"P57","Buena",0.257,0.173,0.04,0.009,0.007,0.023,0.013
"P57","Ni buena ni mala",0.096,0.162,0.158,0.16,0.083,0.232,0.177
"P57","Mala",0.09,0.062,0.168,0.174,0.128,0.028,0.114
"P57","Muy mala",0.12,0.207,0.526,0.544,0.747,0.434,0.517
"P57","No sabe",0.036,0.065,0.059,0.043,0.025,0.015,0.137
"P58","Muy buena",0.179,0.141,0.43,0.46,0.158,0.201,0.175
"P58","Buena",0.045,0.089,0.321,0.222,0.254,0,0.33
"P58","Ni buena ni mala",0.112,0.11,0.088,0.109,0.169,0.078,0.2
"P58","Mala",0.12,0.104,0.06,0.062,0.172,0.028,0.044
"P58","Muy mala",0.517,0.556,0.096,0.147,0.247,0.693,0.203
"P58","No sabe",0.027,0,0.005,0,0,0,0.048
"P59","Muy buena",0.16,0.12,0.172,0.223,0.616,0.057,0.214
"P59","Buena",0.035,0.103,0.149,0.17,0.208,0,0.288
"P59","Ni buena ni mala",0.129,0.084,0.31,0.308,0.123,0.078,0.062
"P59","Mala",0.133,0.135,0.189,0.143,0.032,0.201,0.127
"P59","Muy mala",0.509,0.531,0.131,0.143,0.021,0.664,0.281
"P59","No sabe",0.034,0.027,0.049,0.013,0,0,0.028
"P60","Muy buena",0.518,0.425,0.08,0.053,0.09,0.602,0.181
"P60","Buena",0.146,0.208,0.016,0.058,0.035,0.023,0
"P60","Ni buena ni mala",0.085,0.042,0.127,0.102,0.03,0.028,0.074
"P60","Mala",0.015,0.075,0.09,0.136,0.076,0.016,0.115
"P60","Muy mala",0.205,0.234,0.687,0.646,0.769,0.268,0.63
"P60","No sabe",0.031,0.016,0,0.005,0,0.063,0
"P61","Muy buena",0.098,0.135,0.138,0.297,0.019,0.154,0.02
"P61","Buena",0.062,0.099,0.212,0.308,0.228,0.058,0.119
"P61","Ni buena ni mala",0.234,0.251,0.331,0.255,0.25,0.401,0.214
"P61","Mala",0.123,0.13,0.071,0.049,0.135,0.178,0.025
"P61","Muy mala",0.352,0.255,0.133,0.069,0.289,0.146,0.493
"P61","No sabe",0.131,0.13,0.115,0.022,0.079,0.063,0.129
"P62","Muy buena",0.088,0.065,0.161,0.2,0.027,0,0.06
"P62","Buena",0.045,0.159,0.394,0.356,0.218,0.207,0.268
"P62","Ni buena ni mala",0.262,0.146,0.316,0.318,0.335,0.114,0.179
"P62","Mala",0.272,0.171,0.078,0.064,0.155,0.043,0
"P62","Muy mala",0.254,0.387,0.047,0.039,0.214,0.573,0.421
"P62","No sabe",0.079,0.072,0.004,0.023,0.051,0.063,0.072
