"var","categoria","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P46","Que continúe el intendente Julio Zamora",0.22,0.104,0.129,0.055,0.114,0.153,0.099,0.199,0.178
"P46","Que continúe Julio Zamora pero con mejoras",0.104,0.301,0.295,0.338,0.28,0.028,0.075,0.366,0.169
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.091,0.259,0.215,0.202,0.162,0.219,0.197,0.162,0.198
"P46","Que cambie el intendente Julio Zamora",0.585,0.336,0.361,0.405,0.444,0.6,0.629,0.273,0.455
"P47","Es kirchnerista",0.314,0.082,0.163,0.112,0.21,0.084,0.291,0,0.148
"P47","Forma parte del Frente de Todos",0.209,0.447,0.315,0.29,0.33,0.276,0.195,0.278,0.251
"P47","Es un hombre de Massa",0.147,0.115,0.153,0.174,0.092,0.233,0.096,0.223,0.158
"P47","Es un peronista independiente de centro",0.118,0.205,0.092,0.112,0.105,0.324,0.014,0.395,0.146
"P47","Es un oportunista y está donde le conviene",0.154,0.129,0.235,0.219,0.172,0.069,0.295,0.029,0.123
"P47","No sabe",0.058,0.022,0.042,0.093,0.091,0.014,0.109,0.075,0.174
"P48","El tránsito",0.395,0.184,0.279,0.259,0.248,0.149,0.283,0.13,0.225
"P48","El arreglo de las calles",0.103,0.269,0.069,0.065,0.085,0.084,0,0,0.068
"P48","Los parques y espacios públicos",0.067,0.072,0.16,0.076,0.066,0.106,0.01,0.051,0.072
"P48","El sistema de salud",0.022,0.06,0.132,0.102,0.037,0,0,0,0.015
"P48","La limpieza de las calles",0.063,0.138,0.116,0.107,0.215,0.051,0.066,0.303,0.054
"P48","El deporte y la cultura",0.086,0.028,0.071,0.161,0.114,0.453,0.047,0.238,0.069
"P48","La obra pública",0.006,0.01,0.026,0,0.04,0,0.293,0.033,0.039
"P48","La luminaria",0.05,0.024,0.066,0.068,0.048,0.011,0.158,0.245,0.065
"P48","No sabe",0.208,0.215,0.081,0.162,0.147,0.146,0.143,0,0.393
"P50","Agua corriente y cloacas",0.634,0.403,0.311,0.382,0.287,0.477,0.328,0.178,0.41
"P50","Energía eléctrica",0.123,0.271,0.183,0.107,0.084,0.257,0.011,0.031,0.123
"P50","Red de gas natural",0.002,0.082,0.233,0.039,0.172,0.026,0.304,0.093,0.048
"P50","Recolección de residuos",0.127,0.038,0.169,0.2,0.141,0.116,0.261,0.398,0.075
"P50","Ninguno",0.114,0.206,0.104,0.272,0.316,0.124,0.096,0.3,0.344
"P51","Los robos",0.548,0.253,0.219,0.203,0.32,0.271,0.156,0.192,0.258
"P51","El narcotráfico",0.248,0.412,0.297,0.295,0.323,0.208,0.23,0.206,0.177
"P51","La ausencia de patrulleros y personal policial",0.087,0.074,0.241,0.13,0.086,0.115,0.332,0.245,0.117
"P51","Otro",0.083,0.115,0.168,0.228,0.145,0.327,0.102,0.252,0.168
"P51","Ninguno",0.034,0.146,0.075,0.144,0.126,0.079,0.18,0.105,0.28
"P52","Muy buena",0.195,0.084,0.085,0.012,0.066,0,0,0.219,0.091
"P52","Buena",0.111,0.18,0.138,0.236,0.122,0.132,0.121,0.185,0.129
"P52","Ni buena ni mala",0.066,0.169,0.133,0.173,0.125,0.046,0.31,0.052,0.181
"P52","Mala",0.065,0.121,0.16,0.1,0.128,0.025,0.101,0.283,0.112
"P52","Muy mala",0.563,0.446,0.443,0.471,0.554,0.72,0.468,0.241,0.485
"P52","No sabe",0,0,0.041,0.008,0.005,0.077,0,0.02,0.002
"P53","Muy buena",0.373,0.248,0.196,0.106,0.113,0.012,0.066,0.108,0.178
"P53","Buena",0.15,0.19,0.19,0.198,0.249,0.129,0.163,0.088,0.159
"P53","Ni buena ni mala",0.102,0.157,0.116,0.079,0.106,0.146,0.337,0.094,0.136
"P53","Mala",0.103,0.132,0.177,0.111,0.167,0.156,0.155,0.103,0.145
"P53","Muy mala",0.272,0.273,0.313,0.506,0.365,0.375,0.279,0.607,0.366
"P53","No sabe",0,0,0.008,0,0,0.182,0,0,0.016
"P54","Muy buena",0.249,0.264,0.304,0.304,0.244,0.267,0.203,0.678,0.237
"P54","Buena",0.05,0.069,0.117,0.084,0.063,0,0.166,0,0.091
"P54","Ni buena ni mala",0.082,0.053,0.048,0.071,0.062,0,0,0,0.057
"P54","Mala",0.049,0.075,0.062,0.037,0.028,0.153,0.057,0.031,0.083
"P54","Muy mala",0.565,0.539,0.469,0.504,0.578,0.58,0.574,0.291,0.522
"P54","No sabe",0.005,0,0,0,0.025,0,0,0,0.01
"P55","Muy buena",0.177,0.096,0.059,0.053,0.122,0.174,0.139,0,0.085
"P55","Buena",0.199,0.152,0.202,0.13,0.166,0.154,0.379,0.069,0.224
"P55","Ni buena ni mala",0.189,0.157,0.166,0.164,0.25,0.111,0.175,0.153,0.239
"P55","Mala",0.09,0.145,0.136,0.11,0.215,0.363,0.164,0.184,0.18
"P55","Muy mala",0.33,0.45,0.437,0.539,0.239,0.198,0.143,0.594,0.27
"P55","No sabe",0.015,0,0,0.004,0.008,0,0,0,0.002
"P56","Muy buena",0.182,0.089,0.159,0.052,0.065,0,0.081,0.243,0.129
"P56","Buena",0.049,0.17,0.104,0.132,0.158,0.187,0.172,0.06,0.108
"P56","Ni buena ni mala",0.138,0.104,0.159,0.129,0.148,0.149,0.036,0.341,0.172
"P56","Mala",0.09,0.112,0.078,0.139,0.068,0.121,0.187,0.118,0.124
"P56","Muy mala",0.541,0.525,0.496,0.542,0.561,0.543,0.485,0.238,0.443
"P56","No sabe",0,0,0.004,0.006,0,0,0.039,0,0.024
"P57","Muy buena",0.211,0.105,0.206,0.187,0.215,0.055,0.136,0.572,0.161
"P57","Buena",0.031,0.217,0.16,0.138,0.101,0.18,0.175,0.034,0.047
"P57","Ni buena ni mala",0.141,0.125,0.104,0.137,0.055,0.154,0.33,0.153,0.219
"P57","Mala",0.142,0.03,0.086,0.095,0.168,0.313,0.035,0.118,0.086
"P57","Muy mala",0.451,0.408,0.412,0.411,0.404,0.286,0.313,0.069,0.4
"P57","No sabe",0.024,0.115,0.032,0.032,0.057,0.012,0.011,0.054,0.087
"P58","Muy buena",0.346,0.298,0.247,0.16,0.23,0.18,0.193,0.1,0.27
"P58","Buena",0.11,0.16,0.143,0.215,0.259,0.13,0.424,0.109,0.208
"P58","Ni buena ni mala",0.163,0.168,0.09,0.113,0.061,0.179,0.025,0.02,0.123
"P58","Mala",0.079,0.107,0.106,0.049,0.127,0.117,0.064,0.093,0.113
"P58","Muy mala",0.302,0.223,0.409,0.463,0.309,0.394,0.294,0.678,0.279
"P58","No sabe",0,0.044,0.005,0,0.014,0,0,0,0.007
"P59","Muy buena",0.417,0.185,0.212,0.243,0.188,0.018,0.165,0.088,0.141
"P59","Buena",0.05,0.182,0.16,0.075,0.197,0.159,0.075,0.09,0.124
"P59","Ni buena ni mala",0.208,0.177,0.145,0.092,0.11,0.234,0.193,0.093,0.294
"P59","Mala",0.11,0.161,0.106,0.118,0.149,0.207,0.185,0.031,0.151
"P59","Muy mala",0.194,0.241,0.359,0.449,0.317,0.382,0.282,0.643,0.282
"P59","No sabe",0.021,0.054,0.018,0.023,0.039,0,0.1,0.055,0.008
"P60","Muy buena",0.212,0.303,0.362,0.347,0.25,0.118,0.16,0.604,0.208
"P60","Buena",0.049,0.052,0.112,0.093,0.111,0.125,0.112,0.019,0.141
"P60","Ni buena ni mala",0.102,0.031,0.062,0.038,0.069,0.116,0.1,0,0.119
"P60","Mala",0.061,0.028,0.077,0.075,0.047,0.263,0.222,0.153,0.046
"P60","Muy mala",0.56,0.529,0.387,0.447,0.515,0.378,0.406,0.169,0.483
"P60","No sabe",0.016,0.057,0,0,0.008,0,0,0.055,0.003
"P61","Muy buena",0.242,0.083,0.12,0.116,0.079,0.103,0,0.077,0.071
"P61","Buena",0.148,0.124,0.222,0.155,0.195,0.013,0.26,0.243,0.114
"P61","Ni buena ni mala",0.208,0.281,0.247,0.324,0.274,0.33,0.312,0.08,0.329
"P61","Mala",0.098,0.077,0.088,0.147,0.134,0.014,0.208,0.187,0.077
"P61","Muy mala",0.268,0.331,0.28,0.154,0.188,0.296,0.121,0.279,0.208
"P61","No sabe",0.036,0.104,0.043,0.104,0.13,0.244,0.099,0.134,0.201
"P62","Muy buena",0.223,0.054,0.085,0.055,0.071,0.092,0.05,0,0.053
"P62","Buena",0.217,0.212,0.214,0.202,0.272,0.102,0.196,0.128,0.275
"P62","Ni buena ni mala",0.216,0.307,0.223,0.339,0.31,0.469,0.135,0.159,0.2
"P62","Mala",0.08,0.159,0.138,0.15,0.162,0.116,0.305,0.076,0.217
"P62","Muy mala",0.231,0.241,0.331,0.223,0.155,0.183,0.241,0.466,0.112
"P62","No sabe",0.033,0.027,0.009,0.031,0.03,0.038,0.073,0.171,0.143
