"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P52","Muy mala",0.078,0.723,0.485,0.806,0.677,0.361,0.657
"P52","No sabe",0.026,0.001,0.007,0.019,0,0,0
"P53","Muy buena",0.136,0.326,0.191,0.119,0.21,0.273,0.217
"P53","Buena",0.08,0.295,0.214,0.22,0.017,0.067,0.139
"P53","Ni buena ni mala",0.054,0.136,0.158,0.145,0.098,0.187,0.178
"P53","Mala",0.166,0.076,0.158,0.211,0.062,0.139,0
"P53","Muy mala",0.534,0.165,0.271,0.305,0.613,0.334,0.425
"P53","No sabe",0.03,0.002,0.008,0,0,0,0.041
"P54","Muy buena",0.713,0.058,0.23,0.018,0.289,0.204,0.135
"P54","Buena",0.06,0.037,0.192,0.048,0,0.108,0.081
"P54","Ni buena ni mala",0.079,0.058,0.083,0.028,0.019,0.034,0.028
"P54","Mala",0.037,0.109,0.065,0.038,0.048,0,0.031
"P54","Muy mala",0.111,0.728,0.43,0.868,0.504,0.654,0.725
"P54","No sabe",0,0.01,0,0,0.14,0,0
"P55","Muy buena",0.183,0.151,0.051,0.035,0.051,0.058,0.113
"P55","Buena",0.057,0.36,0.26,0.148,0,0.06,0.187
"P55","Ni buena ni mala",0.091,0.24,0.202,0.232,0.161,0.279,0.279
"P55","Mala",0.215,0.061,0.12,0.223,0.267,0.146,0.109
"P55","Muy mala",0.447,0.187,0.367,0.362,0.521,0.457,0.229
"P55","No sabe",0.007,0.001,0,0,0,0,0.083
"P56","Muy buena",0.299,0.063,0.084,0.015,0.051,0.058,0.041
"P56","Buena",0.266,0.069,0.091,0.031,0.021,0.122,0.024
"P56","Ni buena ni mala",0.239,0.07,0.197,0.104,0.028,0.129,0.088
"P56","Mala",0.046,0.165,0.066,0.103,0.201,0.153,0.06
"P56","Muy mala",0.15,0.631,0.562,0.739,0.699,0.538,0.696
"P56","No sabe",0,0.002,0,0.008,0,0,0.091
"P57","Muy buena",0.541,0.031,0.145,0.019,0.051,0.127,0.033
"P57","Buena",0.285,0.048,0.041,0.032,0.069,0.034,0.041
"P57","Ni buena ni mala",0.056,0.163,0.211,0.123,0.236,0.138,0.2
"P57","Mala",0.042,0.175,0.07,0.189,0.076,0.155,0.073
"P57","Muy mala",0.038,0.542,0.477,0.591,0.456,0.46,0.556
"P57","No sabe",0.038,0.041,0.056,0.046,0.112,0.086,0.097
"P58","Muy buena",0.108,0.46,0.219,0.208,0.248,0.271,0.41
"P58","Buena",0.045,0.259,0.187,0.271,0.11,0.187,0.179
"P58","Ni buena ni mala",0.042,0.111,0.182,0.172,0.176,0.145,0.032
"P58","Mala",0.12,0.041,0.141,0.139,0,0.059,0.066
"P58","Muy mala",0.663,0.125,0.266,0.21,0.466,0.338,0.286
"P58","No sabe",0.022,0.004,0.005,0,0,0,0.027
"P59","Muy buena",0.096,0.102,0.303,0.56,0.227,0.164,0.034
"P59","Buena",0.04,0.187,0.131,0.174,0.181,0.135,0.026
"P59","Ni buena ni mala",0.043,0.338,0.188,0.158,0,0.204,0.214
"P59","Mala",0.103,0.22,0.128,0.047,0.233,0.113,0.215
"P59","Muy mala",0.677,0.128,0.25,0.061,0.359,0.298,0.361
"P59","No sabe",0.041,0.025,0,0,0,0.086,0.15
"P60","Muy buena",0.602,0.057,0.29,0.1,0.223,0.195,0.218
"P60","Buena",0.151,0.023,0.161,0.037,0.298,0.103,0.019
"P60","Ni buena ni mala",0.054,0.147,0.037,0.035,0.022,0.192,0.063
"P60","Mala",0.047,0.112,0.053,0.073,0.028,0.039,0.14
"P60","Muy mala",0.12,0.659,0.45,0.755,0.429,0.471,0.477
"P60","No sabe",0.026,0.002,0.009,0,0,0,0.083
"P61","Muy buena",0.105,0.176,0.116,0.079,0.08,0.057,0.269
"P61","Buena",0.027,0.25,0.161,0.226,0.022,0.201,0.163
"P61","Ni buena ni mala",0.215,0.301,0.283,0.217,0.246,0.432,0.407
"P61","Mala",0.176,0.027,0.096,0.157,0,0.068,0
"P61","Muy mala",0.351,0.154,0.204,0.271,0.479,0.107,0.048
"P61","No sabe",0.126,0.092,0.14,0.05,0.173,0.135,0.113
"P62","Muy buena",0.066,0.253,0.059,0.033,0.08,0.012,0
"P62","Buena",0.016,0.38,0.224,0.321,0.022,0.191,0.324
"P62","Ni buena ni mala",0.202,0.273,0.249,0.298,0.457,0.304,0.221
"P62","Mala",0.264,0.039,0.099,0.158,0,0.319,0.109
"P62","Muy mala",0.393,0.043,0.283,0.153,0.413,0.148,0.197
"P62","No sabe",0.059,0.012,0.086,0.037,0.028,0.026,0.149
