"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P53","No sabe",0.012,0.006,0.009,0,0.101,0.016,0
"P54","Muy buena",0.716,0.057,0.253,0.057,0.011,0.136,0.089
"P54","Buena",0.065,0.043,0.202,0.031,0.063,0.115,0.089
"P54","Ni buena ni mala",0.076,0.033,0.065,0.045,0.142,0.067,0.034
"P54","Mala",0.032,0.096,0.064,0.026,0.124,0.063,0.009
"P54","Muy mala",0.111,0.762,0.416,0.841,0.66,0.483,0.779
"P54","No sabe",0,0.009,0,0,0,0.136,0
"P55","Muy buena",0.178,0.147,0.052,0.009,0.097,0.077,0.091
"P55","Buena",0.063,0.35,0.189,0.166,0.03,0.012,0.297
"P55","Ni buena ni mala",0.102,0.222,0.208,0.188,0.354,0.452,0.23
"P55","Mala",0.21,0.131,0.166,0.161,0.052,0.064,0.109
"P55","Muy mala",0.441,0.149,0.385,0.476,0.467,0.395,0.182
"P55","No sabe",0.006,0.001,0,0,0,0,0.091
"P56","Muy buena",0.316,0.059,0.091,0,0,0,0
"P56","Buena",0.269,0.069,0.098,0.039,0.03,0,0
"P56","Ni buena ni mala",0.228,0.057,0.194,0.079,0.246,0.343,0.042
"P56","Mala",0.057,0.208,0.071,0.05,0.07,0.095,0.015
"P56","Muy mala",0.13,0.603,0.546,0.823,0.654,0.562,0.858
"P56","No sabe",0,0.004,0,0.009,0,0,0.085
"P57","Muy buena",0.545,0.043,0.128,0.003,0.032,0.012,0.091
"P57","Buena",0.256,0.037,0.077,0.028,0.148,0.058,0
"P57","Ni buena ni mala",0.09,0.154,0.226,0.09,0.104,0.077,0.318
"P57","Mala",0.033,0.196,0.122,0.121,0.084,0.295,0.015
"P57","Muy mala",0.039,0.525,0.371,0.73,0.569,0.49,0.4
"P57","No sabe",0.037,0.045,0.076,0.028,0.063,0.068,0.176
"P58","Muy buena",0.119,0.482,0.215,0.218,0.039,0.161,0.3
"P58","Buena",0.056,0.269,0.193,0.235,0.119,0.178,0.229
"P58","Ni buena ni mala",0.058,0.085,0.138,0.23,0.151,0.271,0
"P58","Mala",0.102,0.057,0.177,0.121,0.028,0.107,0.078
"P58","Muy mala",0.641,0.107,0.269,0.196,0.663,0.283,0.364
"P58","No sabe",0.024,0,0.008,0,0,0,0.029
"P59","Muy buena",0.089,0.158,0.281,0.589,0.2,0.134,0.019
"P59","Buena",0.056,0.15,0.102,0.192,0.257,0.201,0.033
"P59","Ni buena ni mala",0.039,0.336,0.177,0.128,0.153,0.162,0.277
"P59","Mala",0.114,0.198,0.129,0.016,0.182,0.222,0.245
"P59","Muy mala",0.675,0.112,0.307,0.075,0.208,0.225,0.306
"P59","No sabe",0.027,0.046,0.004,0,0,0.056,0.12
"P60","Muy buena",0.617,0.04,0.318,0.11,0.094,0.135,0.273
"P60","Buena",0.17,0.031,0.158,0.037,0.116,0.057,0.033
"P60","Ni buena ni mala",0.055,0.125,0.046,0.04,0.106,0.199,0.048
"P60","Mala",0.014,0.147,0.072,0.038,0.136,0.049,0.045
"P60","Muy mala",0.119,0.655,0.406,0.775,0.518,0.56,0.51
"P60","No sabe",0.025,0.002,0,0,0.03,0,0.091
"P61","Muy buena",0.108,0.169,0.146,0.04,0.144,0.184,0.131
"P61","Buena",0.031,0.288,0.16,0.204,0.054,0.106,0.088
"P61","Ni buena ni mala",0.254,0.267,0.247,0.279,0.107,0.485,0.42
"P61","Mala",0.147,0.063,0.087,0.141,0,0.062,0.124
"P61","Muy mala",0.341,0.11,0.217,0.282,0.662,0.087,0
"P61","No sabe",0.119,0.103,0.143,0.054,0.033,0.076,0.237
"P62","Muy buena",0.054,0.226,0.056,0.031,0,0.02,0.152
"P62","Buena",0.02,0.447,0.259,0.214,0.193,0.076,0.137
"P62","Ni buena ni mala",0.216,0.245,0.256,0.36,0.243,0.344,0.2
"P62","Mala",0.284,0.038,0.111,0.149,0.008,0.397,0.078
"P62","Muy mala",0.37,0.033,0.231,0.192,0.523,0.163,0.27
"P62","No sabe",0.056,0.011,0.087,0.054,0.033,0,0.163
