"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P59","Muy buena",0.099,0.18,0.586,0.143,0.182,0.105
"P59","Buena",0.069,0.114,0.185,0.016,0.265,0.288
"P59","Ni buena ni mala",0.051,0.347,0.143,0,0.29,0.188
"P59","Mala",0.144,0.199,0.047,0.015,0.082,0.153
"P59","Muy mala",0.627,0.125,0.017,0.826,0.181,0.116
"P59","No sabe",0.01,0.035,0.022,0,0,0.15
"P60","Muy buena",0.544,0.06,0.1,0.658,0.192,0.099
"P60","Buena",0.192,0.032,0.075,0.03,0,0
"P60","Ni buena ni mala",0.032,0.121,0.052,0.034,0.299,0.078
"P60","Mala",0.054,0.118,0.035,0.023,0.177,0.029
"P60","Muy mala",0.175,0.667,0.716,0.255,0.332,0.692
"P60","No sabe",0.003,0.002,0.022,0,0,0.102
"P61","Muy buena",0.122,0.183,0.088,0.172,0,0.016
"P61","Buena",0.046,0.279,0.212,0.096,0.142,0.094
"P61","Ni buena ni mala",0.253,0.257,0.262,0.254,0.381,0.361
"P61","Mala",0.154,0.054,0.099,0.273,0.014,0.04
"P61","Muy mala",0.285,0.143,0.297,0.174,0.363,0.218
"P61","No sabe",0.14,0.084,0.042,0.031,0.1,0.271
"P62","Muy buena",0.09,0.192,0.029,0,0.017,0.073
"P62","Buena",0.046,0.46,0.204,0.112,0.254,0.225
"P62","Ni buena ni mala",0.216,0.243,0.39,0.054,0.26,0.278
"P62","Mala",0.248,0.045,0.121,0.118,0.165,0.17
"P62","Muy mala",0.346,0.036,0.218,0.651,0.199,0.134
"P62","No sabe",0.054,0.024,0.038,0.065,0.105,0.12
