"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P57","Muy mala",0.077,0.55,0.614,0.54,0.395,0.446
"P57","No sabe",0.021,0.039,0.046,0.012,0.188,0.098
"P58","Muy buena",0.131,0.463,0.257,0.234,0.154,0.227
"P58","Buena",0.041,0.252,0.208,0.172,0.377,0.233
"P58","Ni buena ni mala",0.081,0.096,0.143,0.241,0.125,0.151
"P58","Mala",0.107,0.069,0.179,0.027,0.007,0.051
"P58","Muy mala",0.633,0.116,0.194,0.326,0.337,0.326
"P58","No sabe",0.007,0.004,0.019,0,0,0.012
"P59","Muy buena",0.113,0.086,0.565,0.298,0.282,0.048
"P59","Buena",0.067,0.175,0.156,0,0.183,0.134
"P59","Ni buena ni mala",0.05,0.345,0.135,0.097,0.116,0.343
"P59","Mala",0.092,0.237,0.06,0.165,0.189,0.125
"P59","Muy mala",0.657,0.125,0.065,0.44,0.171,0.299
"P59","No sabe",0.021,0.032,0.019,0,0.059,0.051
"P60","Muy buena",0.595,0.026,0.119,0.237,0.257,0.246
"P60","Buena",0.163,0.04,0.04,0.038,0.107,0.168
"P60","Ni buena ni mala",0.051,0.148,0.055,0.013,0.011,0.118
"P60","Mala",0.048,0.14,0.054,0.091,0.062,0.015
"P60","Muy mala",0.135,0.644,0.713,0.621,0.544,0.415
"P60","No sabe",0.008,0.002,0.019,0,0.019,0.038
"P61","Muy buena",0.15,0.172,0.043,0.012,0.185,0.122
"P61","Buena",0.031,0.27,0.223,0.229,0.156,0.073
"P61","Ni buena ni mala",0.194,0.275,0.333,0.26,0.069,0.48
"P61","Mala",0.197,0.019,0.117,0.028,0.076,0.057
"P61","Muy mala",0.31,0.148,0.232,0.459,0.271,0.151
"P61","No sabe",0.118,0.116,0.052,0.012,0.243,0.117
"P62","Muy buena",0.101,0.22,0.042,0.012,0.029,0.025
"P62","Buena",0.021,0.407,0.249,0.341,0.311,0.196
"P62","Ni buena ni mala",0.186,0.276,0.328,0.151,0.366,0.252
"P62","Mala",0.244,0.03,0.142,0.115,0.07,0.251
"P62","Muy mala",0.39,0.048,0.184,0.381,0.188,0.158
"P62","No sabe",0.058,0.019,0.055,0,0.036,0.118
