"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.106,0.111,0.328,0.413
"P38","Julio Zamora a intendente por un partido vecinal",0.347,0.22,0.134,0.045
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.014,0.092,0.118,0.287
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.047,0.031,0.032,0.058
"P38","En blanco",0.011,0.03,0.062,0.032
"P38","No sabe",0.031,0.027,0.027,0.047
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.431,0.544,0.31,0.119
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.201,0.132,0.307,0.442
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.184,0.141,0.169,0.249
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.019,0.032,0.056,0.071
"P39","En blanco",0.053,0.042,0.038,0.064
"P39","No sabe",0.112,0.109,0.12,0.055
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.391,0.317,0.26,0.221
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.218,0.261,0.387,0.331
"P40","Julio Zamora a intendente por un partido vecinal",0.266,0.249,0.094,0.088
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.036,0.119,0.26
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.055,0.01,0.034
"P40","En blanco",0.08,0.043,0.059,0.029
"P40","No sabe",0.025,0.039,0.071,0.037
"P41","Muy buena",0.428,0.141,0.199,0.091
"P41","Buena",0.129,0.243,0.13,0.091
"P41","Ni buena ni mala",0.136,0.306,0.222,0.118
"P41","Mala",0.039,0.117,0.157,0.186
"P41","Muy mala",0.252,0.16,0.276,0.504
"P41","No sabe",0.016,0.033,0.016,0.01
"P42","Muy buena",0.73,0.219,0.077,0.011
"P42","Buena",0.11,0.445,0.165,0.053
"P42","Ni buena ni mala",0.026,0.222,0.38,0.225
"P42","Mala",0,0.05,0.16,0.23
"P42","Muy mala",0.106,0.048,0.157,0.468
"P42","No sabe",0.028,0.016,0.061,0.013
"P43","Muy buena",0.318,0.058,0.103,0.166
"P43","Buena",0.112,0.192,0.185,0.232
"P43","Ni buena ni mala",0.106,0.299,0.299,0.277
"P43","Mala",0.099,0.109,0.168,0.1
"P43","Muy mala",0.295,0.273,0.19,0.189
"P43","No sabe",0.07,0.069,0.055,0.036
"P44","Muy buena",0.302,0.022,0.046,0.128
"P44","Buena",0.097,0.179,0.174,0.211
"P44","Ni buena ni mala",0.08,0.305,0.408,0.357
"P44","Mala",0.155,0.137,0.121,0.082
"P44","Muy mala",0.27,0.252,0.129,0.148
"P44","No sabe",0.096,0.105,0.122,0.074
"P45","Muy buena",0.689,0.11,0.055,0.027
