"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P58","Muy buena",0.107,0.482,0.234,0.216,0.084,0.12
"P58","Buena",0.041,0.274,0.238,0.142,0.171,0.217
"P58","Ni buena ni mala",0.068,0.091,0.178,0.118,0.305,0.143
"P58","Mala",0.105,0.064,0.144,0.067,0.05,0.133
"P58","Muy mala",0.659,0.085,0.206,0.457,0.39,0.363
"P58","No sabe",0.02,0.004,0,0,0,0.024
"P59","Muy buena",0.097,0.117,0.585,0.496,0.116,0.125
"P59","Buena",0.057,0.192,0.153,0.129,0.029,0.107
"P59","Ni buena ni mala",0.036,0.331,0.152,0.009,0.275,0.21
"P59","Mala",0.095,0.235,0.048,0.019,0.229,0.126
"P59","Muy mala",0.679,0.09,0.059,0.347,0.351,0.366
"P59","No sabe",0.036,0.035,0.003,0,0,0.066
"P60","Muy buena",0.626,0.018,0.138,0.152,0.143,0.362
"P60","Buena",0.154,0.044,0.051,0.043,0.107,0.196
"P60","Ni buena ni mala",0.045,0.114,0.055,0.019,0.107,0.132
"P60","Mala",0.041,0.125,0.071,0.009,0.016,0.046
"P60","Muy mala",0.111,0.697,0.679,0.777,0.627,0.219
"P60","No sabe",0.023,0.002,0.006,0,0,0.045
"P61","Muy buena",0.113,0.178,0.102,0.049,0.038,0.076
"P61","Buena",0.024,0.303,0.216,0.022,0.01,0.078
"P61","Ni buena ni mala",0.203,0.294,0.262,0.072,0.415,0.468
"P61","Mala",0.199,0.013,0.122,0.157,0.037,0.061
"P61","Muy mala",0.351,0.114,0.217,0.659,0.294,0.143
"P61","No sabe",0.11,0.098,0.081,0.041,0.206,0.174
"P62","Muy buena",0.074,0.185,0.062,0.061,0.055,0
"P62","Buena",0.015,0.394,0.267,0.294,0.148,0.216
"P62","Ni buena ni mala",0.179,0.307,0.307,0.187,0.497,0.166
"P62","Mala",0.275,0.055,0.109,0.069,0.03,0.255
"P62","Muy mala",0.405,0.046,0.181,0.38,0.233,0.221
"P62","No sabe",0.052,0.013,0.074,0.009,0.037,0.142
