"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P53","Mala",0.14,0.067,0.198,0.193,0.164,0.086,0.235
"P53","Muy mala",0.558,0.141,0.395,0.259,0.361,0.475,0.272
"P53","No sabe",0.012,0.004,0,0,0.117,0,0.056
"P54","Muy buena",0.709,0.052,0.25,0.067,0.045,0.013,0.194
"P54","Buena",0.061,0.063,0.144,0.026,0.037,0.195,0.102
"P54","Ni buena ni mala",0.065,0.027,0.061,0.057,0.051,0.103,0.168
"P54","Mala",0.037,0.093,0.094,0.011,0.117,0,0.032
"P54","Muy mala",0.128,0.756,0.451,0.839,0.75,0.576,0.504
"P54","No sabe",0,0.009,0,0,0,0.113,0
"P55","Muy buena",0.179,0.127,0.096,0.017,0.032,0.175,0.014
"P55","Buena",0.068,0.344,0.185,0.18,0.032,0.076,0.206
"P55","Ni buena ni mala",0.096,0.226,0.15,0.226,0.363,0.267,0.418
"P55","Mala",0.203,0.149,0.171,0.116,0.102,0.144,0.087
"P55","Muy mala",0.448,0.153,0.398,0.461,0.471,0.338,0.191
"P55","No sabe",0.006,0.001,0,0,0,0,0.084
"P56","Muy buena",0.316,0.045,0.059,0.007,0.069,0.129,0
"P56","Buena",0.274,0.057,0.116,0.012,0.016,0,0.108
"P56","Ni buena ni mala",0.233,0.073,0.119,0.128,0.073,0.194,0.222
"P56","Mala",0.045,0.166,0.117,0.054,0.049,0.235,0.108
"P56","Muy mala",0.132,0.655,0.587,0.792,0.793,0.442,0.483
"P56","No sabe",0,0.004,0.002,0.007,0,0,0.079
"P57","Muy buena",0.548,0.034,0.129,0,0.07,0.024,0.084
"P57","Buena",0.254,0.03,0.093,0.027,0.148,0.086,0
"P57","Ni buena ni mala",0.092,0.146,0.158,0.121,0.035,0.354,0.249
"P57","Mala",0.028,0.183,0.132,0.154,0.089,0.086,0.125
"P57","Muy mala",0.041,0.583,0.438,0.669,0.575,0.275,0.271
"P57","No sabe",0.037,0.024,0.05,0.029,0.083,0.175,0.271
"P58","Muy buena",0.125,0.505,0.14,0.248,0.064,0.228,0.167
"P58","Buena",0.05,0.259,0.164,0.264,0.133,0.275,0.213
"P58","Ni buena ni mala",0.058,0.075,0.179,0.149,0.15,0.316,0.22
"P58","Mala",0.098,0.053,0.175,0.14,0.02,0.055,0.078
"P58","Muy mala",0.653,0.104,0.333,0.199,0.633,0.126,0.276
"P58","No sabe",0.016,0.004,0.009,0,0,0,0.046
"P59","Muy buena",0.105,0.116,0.3,0.657,0.158,0.074,0
"P59","Buena",0.065,0.156,0.088,0.17,0.186,0.3,0.092
"P59","Ni buena ni mala",0.058,0.356,0.137,0.085,0.174,0.347,0.145
"P59","Mala",0.095,0.232,0.081,0.029,0.125,0.135,0.361
"P59","Muy mala",0.655,0.099,0.385,0.059,0.274,0.144,0.277
"P59","No sabe",0.022,0.041,0.009,0,0.083,0,0.125
"P60","Muy buena",0.607,0.041,0.288,0.16,0.033,0.107,0.245
"P60","Buena",0.16,0.023,0.127,0.035,0.177,0.291,0
"P60","Ni buena ni mala",0.054,0.119,0.076,0.01,0.016,0.274,0.117
"P60","Mala",0.027,0.128,0.059,0.043,0.125,0.057,0.138
"P60","Muy mala",0.132,0.687,0.44,0.752,0.613,0.271,0.416
"P60","No sabe",0.02,0.002,0.01,0,0.036,0,0.084
"P61","Muy buena",0.101,0.203,0.126,0.045,0.124,0.093,0.074
"P61","Buena",0.031,0.323,0.127,0.202,0.071,0.03,0.045
"P61","Ni buena ni mala",0.255,0.264,0.225,0.275,0.016,0.643,0.415
"P61","Mala",0.153,0.021,0.167,0.151,0,0.01,0.091
"P61","Muy mala",0.352,0.117,0.226,0.258,0.633,0.035,0.116
"P61","No sabe",0.108,0.072,0.129,0.069,0.156,0.189,0.259
"P62","Muy buena",0.06,0.218,0.075,0.039,0.034,0.062,0.014
"P62","Buena",0.015,0.429,0.273,0.273,0.072,0.075,0.154
"P62","Ni buena ni mala",0.218,0.242,0.152,0.336,0.353,0.632,0.321
"P62","Mala",0.29,0.066,0.147,0.106,0,0.01,0.193
"P62","Muy mala",0.372,0.028,0.279,0.193,0.505,0.093,0.209
"P62","No sabe",0.045,0.017,0.074,0.053,0.036,0.128,0.109
