"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P49","El arreglo de las calles",0.111,0.127,0.133,0.04,0.128,0,0.033,0.017
"P49","Los parques y espacios públicos",0.201,0.178,0.134,0.113,0.133,0,0.092,0.071
"P49","El sistema de salud",0.083,0.072,0.1,0.094,0.107,0.105,0.079,0.224
"P49","La limpieza de las calles",0.192,0.165,0.169,0.201,0.174,0.39,0.19,0.124
"P49","El deporte y la cultura",0.035,0.021,0.097,0.021,0.082,0,0.03,0.01
"P49","La obra pública",0.026,0.056,0.019,0.032,0.034,0,0.079,0
"P49","La luminaria",0.012,0.027,0.005,0.035,0.009,0,0,0.047
"P49","No sabe",0.121,0.166,0.076,0.175,0.124,0.439,0.299,0.236
"P50","Agua corriente y cloacas",0.345,0.499,0.467,0.428,0.41,0.444,0.506,0.097
"P50","Energía eléctrica",0.146,0.169,0.135,0.096,0.111,0.101,0.02,0.318
"P50","Red de gas natural",0.108,0.058,0.07,0.105,0.162,0.103,0.125,0.065
"P50","Recolección de residuos",0.16,0.125,0.101,0.16,0.153,0.031,0.074,0.014
"P50","Ninguno",0.241,0.149,0.227,0.211,0.164,0.321,0.275,0.506
"P51","Los robos",0.38,0.307,0.368,0.229,0.287,0.32,0.424,0.318
"P51","El narcotráfico",0.218,0.313,0.396,0.293,0.256,0.164,0.161,0.219
"P51","La ausencia de patrulleros y personal policial",0.133,0.096,0.108,0.188,0.115,0.144,0.156,0.221
"P51","Otro",0.153,0.198,0.077,0.11,0.191,0.09,0.02,0.118
"P51","Ninguno",0.116,0.086,0.051,0.18,0.151,0.282,0.239,0.124
"P52","Muy buena",0.246,0.072,0.028,0.041,0.022,0,0.161,0.058
"P52","Buena",0.237,0.082,0.059,0.204,0.078,0.075,0,0.302
"P52","Ni buena ni mala",0.26,0.073,0.082,0.095,0.071,0.314,0.139,0.161
"P52","Mala",0.145,0.084,0.127,0.136,0.049,0.207,0.102,0.171
"P52","Muy mala",0.085,0.689,0.704,0.514,0.759,0.404,0.598,0.308
"P52","No sabe",0.027,0,0,0.01,0.021,0,0,0
"P53","Muy buena",0.163,0.375,0.174,0.128,0.125,0,0.214,0.138
"P53","Buena",0.073,0.275,0.299,0.208,0.176,0.031,0.079,0
"P53","Ni buena ni mala",0.05,0.158,0.181,0.122,0.132,0,0.08,0.237
"P53","Mala",0.139,0.056,0.136,0.207,0.186,0.317,0.323,0.046
"P53","Muy mala",0.561,0.124,0.205,0.335,0.355,0.652,0.304,0.579
"P53","No sabe",0.014,0.012,0.005,0,0.026,0,0,0
"P54","Muy buena",0.754,0.054,0.028,0.236,0.059,0.521,0.375,0.146
"P54","Buena",0.075,0.043,0.026,0.202,0.027,0,0.045,0.188
"P54","Ni buena ni mala",0.048,0.057,0.058,0.085,0.032,0.038,0.125,0.13
"P54","Mala",0.021,0.074,0.169,0.002,0.086,0,0,0
"P54","Muy mala",0.102,0.761,0.719,0.475,0.796,0.158,0.455,0.536
"P54","No sabe",0,0.011,0,0,0,0.283,0,0
"P55","Muy buena",0.193,0.045,0.203,0.099,0.051,0,0.191,0.047
"P55","Buena",0.066,0.27,0.372,0.243,0.12,0,0.098,0.119
"P55","Ni buena ni mala",0.083,0.301,0.171,0.189,0.176,0.448,0.419,0.218
"P55","Mala",0.183,0.161,0.116,0.13,0.173,0.248,0.11,0.095
"P55","Muy mala",0.474,0.216,0.138,0.339,0.48,0.304,0.182,0.426
"P55","No sabe",0.001,0.007,0,0,0,0,0,0.095
"P56","Muy buena",0.337,0.02,0.026,0.107,0.031,0,0.161,0.047
"P56","Buena",0.309,0.076,0.049,0.052,0.035,0.051,0.03,0.01
"P56","Ni buena ni mala",0.191,0.084,0.087,0.184,0.142,0.505,0.138,0.148
"P56","Mala",0.036,0.134,0.208,0.109,0.055,0.189,0.215,0.109
"P56","Muy mala",0.127,0.685,0.62,0.539,0.737,0.255,0.456,0.597
"P56","No sabe",0,0.001,0.01,0.009,0,0,0,0.089
"P57","Muy buena",0.543,0.054,0.007,0.122,0.031,0.24,0.18,0.235
"P57","Buena",0.277,0.037,0.087,0.068,0.01,0.089,0.287,0.014
"P57","Ni buena ni mala",0.086,0.076,0.244,0.23,0.114,0,0.055,0.372
"P57","Mala",0.014,0.146,0.219,0.1,0.179,0.505,0.04,0
"P57","Muy mala",0.056,0.607,0.423,0.421,0.627,0.166,0.314,0.254
"P57","No sabe",0.024,0.08,0.02,0.059,0.039,0,0.124,0.125
"P58","Muy buena",0.106,0.561,0.271,0.174,0.163,0.043,0.233,0.145
"P58","Buena",0.039,0.236,0.289,0.237,0.229,0,0.315,0
"P58","Ni buena ni mala",0.048,0.034,0.238,0.161,0.192,0.401,0.081,0.132
"P58","Mala",0.092,0.059,0.053,0.144,0.161,0.051,0.113,0.067
"P58","Muy mala",0.709,0.092,0.149,0.284,0.255,0.505,0.214,0.596
"P58","No sabe",0.006,0.018,0,0,0,0,0.044,0.06
"P59","Muy buena",0.082,0.143,0.08,0.304,0.636,0.043,0.178,0.057
"P59","Buena",0.044,0.167,0.168,0.203,0.148,0,0,0
"P59","Ni buena ni mala",0.026,0.305,0.31,0.116,0.131,0.401,0.265,0.304
"P59","Mala",0.092,0.211,0.254,0.103,0.035,0.046,0.208,0.132
"P59","Muy mala",0.748,0.09,0.183,0.274,0.05,0.51,0.349,0.382
"P59","No sabe",0.008,0.084,0.005,0,0,0,0,0.125
"P60","Muy buena",0.644,0.077,0.047,0.196,0.175,0.24,0.189,0.414
"P60","Buena",0.17,0.017,0.115,0.18,0.01,0.043,0.257,0.014
"P60","Ni buena ni mala",0.015,0.133,0.085,0.045,0.054,0.499,0.02,0.237
"P60","Mala",0.009,0.078,0.158,0.086,0.1,0,0.044,0.047
"P60","Muy mala",0.156,0.665,0.595,0.493,0.661,0.218,0.49,0.193
"P60","No sabe",0.006,0.03,0,0,0,0,0,0.095
"P61","Muy buena",0.136,0.205,0.115,0.086,0.042,0,0.043,0.141
"P61","Buena",0.027,0.303,0.209,0.181,0.142,0.043,0,0.077
"P61","Ni buena ni mala",0.168,0.289,0.388,0.299,0.195,0.601,0.499,0.441
"P61","Mala",0.181,0.014,0.058,0.084,0.179,0,0.04,0.094
"P61","Muy mala",0.358,0.114,0.103,0.224,0.366,0.356,0.211,0.129
"P61","No sabe",0.13,0.075,0.127,0.126,0.076,0,0.207,0.118
"P62","Muy buena",0.095,0.139,0.276,0.027,0.041,0,0,0
"P62","Buena",0.019,0.341,0.363,0.278,0.251,0.044,0.264,0.121
"P62","Ni buena ni mala",0.164,0.353,0.206,0.253,0.308,0.15,0.267,0.29
"P62","Mala",0.269,0.087,0.042,0.099,0.168,0.45,0.218,0.024
"P62","Muy mala",0.386,0.068,0.092,0.292,0.17,0.356,0.251,0.347
"P62","No sabe",0.067,0.012,0.021,0.051,0.062,0,0,0.218
