"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P58","Ni buena ni mala",0.06,0.091,0.203,0.063,0.144,0.188
"P58","Mala",0.115,0.048,0.15,0,0.097,0.139
"P58","Muy mala",0.646,0.117,0.194,0.406,0.485,0.239
"P58","No sabe",0.016,0.004,0,0.015,0,0.028
"P59","Muy buena",0.1,0.128,0.546,0.514,0.138,0.08
"P59","Buena",0.055,0.144,0.196,0.027,0.143,0.191
"P59","Ni buena ni mala",0.049,0.35,0.169,0.063,0.089,0.183
"P59","Mala",0.112,0.212,0.028,0.088,0.176,0.219
"P59","Muy mala",0.663,0.13,0.061,0.308,0.387,0.241
"P59","No sabe",0.021,0.036,0,0,0.067,0.086
"P60","Muy buena",0.607,0.062,0.119,0.252,0.173,0.223
"P60","Buena",0.165,0.028,0.04,0.097,0.127,0.179
"P60","Ni buena ni mala",0.079,0.087,0.046,0,0.024,0.198
"P60","Mala",0.025,0.137,0.069,0.015,0.172,0.009
"P60","Muy mala",0.105,0.684,0.726,0.636,0.475,0.337
"P60","No sabe",0.019,0.002,0,0,0.029,0.054
"P61","Muy buena",0.1,0.197,0.097,0.151,0.013,0.072
"P61","Buena",0.035,0.317,0.184,0.157,0,0.092
"P61","Ni buena ni mala",0.246,0.273,0.238,0.179,0.234,0.476
"P61","Mala",0.17,0.036,0.145,0.032,0.007,0.093
"P61","Muy mala",0.337,0.1,0.261,0.43,0.403,0.109
"P61","No sabe",0.112,0.077,0.075,0.051,0.343,0.158
"P62","Muy buena",0.051,0.221,0.053,0.05,0.04,0.053
"P62","Buena",0.014,0.446,0.285,0.16,0.096,0.173
"P62","Ni buena ni mala",0.219,0.208,0.305,0.234,0.418,0.385
"P62","Mala",0.288,0.064,0.127,0.01,0.079,0.13
"P62","Muy mala",0.375,0.044,0.186,0.456,0.338,0.127
"P62","No sabe",0.053,0.017,0.044,0.09,0.029,0.132
