"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P50","Energía eléctrica",0.157,0.155,0.146,0.057,0.139,0.049,0.3,0.154
"P50","Red de gas natural",0.126,0.055,0.097,0.075,0.152,0,0,0.013
"P50","Recolección de residuos",0.15,0.11,0.086,0.189,0.185,0,0.023,0
"P50","Ninguno",0.23,0.109,0.218,0.309,0.141,0,0.371,0.686
"P51","Los robos",0.325,0.375,0.378,0.17,0.306,0.809,0.243,0.13
"P51","El narcotráfico",0.247,0.287,0.324,0.196,0.32,0,0.368,0.316
"P51","La ausencia de patrulleros y personal policial",0.135,0.086,0.122,0.249,0.08,0.049,0.145,0.246
"P51","Otro",0.173,0.136,0.118,0.155,0.18,0.142,0.024,0.125
"P51","Ninguno",0.12,0.116,0.058,0.23,0.114,0,0.22,0.183
"P52","Muy buena",0.231,0.098,0.028,0.044,0.017,0.035,0,0.107
"P52","Buena",0.269,0.07,0.058,0.195,0.058,0,0.518,0.148
"P52","Ni buena ni mala",0.236,0.066,0.115,0.18,0.045,0.498,0,0
"P52","Mala",0.162,0.069,0.105,0.214,0.026,0,0.063,0.125
"P52","Muy mala",0.073,0.692,0.692,0.341,0.854,0.467,0.419,0.62
"P52","No sabe",0.029,0.005,0.002,0.026,0,0,0,0
"P53","Muy buena",0.149,0.4,0.177,0.217,0.11,0,0,0.257
"P53","Buena",0.072,0.252,0.29,0.133,0.246,0,0,0
"P53","Ni buena ni mala",0.07,0.155,0.211,0.071,0.118,0,0.093,0.16
"P53","Mala",0.133,0.085,0.095,0.188,0.219,0.449,0.106,0.013
"P53","Muy mala",0.563,0.099,0.224,0.381,0.283,0.551,0.801,0.57
"P53","No sabe",0.013,0.009,0.003,0.01,0.024,0,0,0
"P54","Muy buena",0.726,0.063,0.072,0.318,0.028,0.498,0,0.131
"P54","Buena",0.075,0.047,0.032,0.23,0.026,0,0.218,0.125
"P54","Ni buena ni mala",0.077,0.02,0.053,0.125,0.046,0,0,0
"P54","Mala",0.033,0.115,0.087,0.014,0.049,0,0.024,0.013
"P54","Muy mala",0.089,0.747,0.75,0.313,0.851,0.502,0.758,0.559
"P54","No sabe",0,0.008,0.006,0,0,0,0,0.172
"P55","Muy buena",0.173,0.1,0.135,0.09,0.04,0,0,0.129
"P55","Buena",0.063,0.243,0.356,0.173,0.176,0,0,0.178
"P55","Ni buena ni mala",0.091,0.298,0.218,0.198,0.196,0.452,0.14,0.207
"P55","Mala",0.196,0.192,0.118,0.136,0.152,0,0.04,0.027
"P55","Muy mala",0.47,0.165,0.173,0.403,0.436,0.548,0.82,0.306
"P55","No sabe",0.007,0.002,0,0,0,0,0,0.153
"P56","Muy buena",0.319,0.06,0.016,0.11,0.015,0,0,0.129
"P56","Buena",0.256,0.051,0.113,0.089,0.036,0,0,0.027
"P56","Ni buena ni mala",0.261,0.056,0.055,0.228,0.097,0.453,0.223,0.015
"P56","Mala",0.042,0.142,0.199,0.122,0.056,0,0.063,0
"P56","Muy mala",0.122,0.691,0.609,0.451,0.789,0.547,0.714,0.685
"P56","No sabe",0,0,0.008,0,0.007,0,0,0.144
"P57","Muy buena",0.551,0.048,0.021,0.166,0.012,0.034,0,0.282
"P57","Buena",0.254,0.082,0.052,0.101,0.004,0.048,0,0.027
"P57","Ni buena ni mala",0.095,0.108,0.194,0.221,0.111,0,0.223,0.159
"P57","Mala",0.029,0.168,0.195,0.057,0.154,0.453,0.063,0
"P57","Muy mala",0.05,0.574,0.475,0.353,0.698,0.465,0.328,0.236
"P57","No sabe",0.021,0.02,0.063,0.102,0.021,0,0.386,0.296
"P58","Muy buena",0.11,0.523,0.354,0.235,0.156,0.034,0.023,0.305
"P58","Buena",0.033,0.205,0.325,0.128,0.286,0,0,0.158
"P58","Ni buena ni mala",0.047,0.051,0.193,0.089,0.199,0.453,0.318,0
"P58","Mala",0.112,0.082,0.031,0.149,0.153,0,0.024,0
"P58","Muy mala",0.69,0.139,0.091,0.399,0.206,0.513,0.344,0.488
"P58","No sabe",0.008,0,0.006,0,0,0,0.291,0.049
"P59","Muy buena",0.094,0.151,0.106,0.24,0.647,0.034,0.047,0.128
"P59","Buena",0.045,0.143,0.182,0.135,0.191,0,0,0.051
"P59","Ni buena ni mala",0.026,0.344,0.347,0.082,0.119,0.453,0.223,0
"P59","Mala",0.102,0.207,0.208,0.131,0.022,0,0.176,0.285
"P59","Muy mala",0.721,0.109,0.13,0.398,0.021,0.513,0.263,0.334
"P59","No sabe",0.012,0.046,0.027,0.014,0,0,0.291,0.202
"P60","Muy buena",0.641,0.076,0.049,0.349,0.091,0,0.223,0.462
"P60","Buena",0.148,0.053,0.066,0.207,0.033,0.049,0,0
"P60","Ni buena ni mala",0.044,0.127,0.1,0.031,0.053,0.487,0.27,0
"P60","Mala",0.031,0.067,0.142,0.116,0.058,0,0,0
"P60","Muy mala",0.127,0.674,0.643,0.297,0.758,0.464,0.216,0.384
"P60","No sabe",0.009,0.003,0,0,0.007,0,0.291,0.154
"P61","Muy buena",0.122,0.284,0.091,0.117,0.017,0,0.222,0
"P61","Buena",0.026,0.292,0.223,0.159,0.19,0,0,0.049
"P61","Ni buena ni mala",0.195,0.299,0.322,0.244,0.244,0.487,0.537,0.462
"P61","Mala",0.172,0.005,0.039,0.118,0.162,0,0.023,0.178
"P61","Muy mala",0.37,0.084,0.18,0.21,0.311,0.513,0.123,0.015
"P61","No sabe",0.115,0.036,0.145,0.152,0.076,0,0.095,0.296
"P62","Muy buena",0.072,0.166,0.215,0.035,0.029,0,0,0
"P62","Buena",0.012,0.344,0.424,0.224,0.242,0,0.023,0.179
"P62","Ni buena ni mala",0.164,0.314,0.297,0.165,0.349,0.034,0.692,0.187
"P62","Mala",0.309,0.102,0.008,0.108,0.129,0.451,0.023,0.134
"P62","Muy mala",0.392,0.045,0.051,0.382,0.18,0.515,0.262,0.301
"P62","No sabe",0.051,0.029,0.005,0.086,0.071,0,0,0.199
