"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P57","Mala",0.021,0.192,0.117,0.234,0.116,0.1
"P57","Muy mala",0.041,0.504,0.668,0.341,0.486,0.38
"P57","No sabe",0.02,0.047,0.04,0.08,0.124,0.08
"P58","Muy buena",0.124,0.428,0.254,0.183,0.241,0.237
"P58","Buena",0.055,0.297,0.263,0.076,0.119,0.129
"P58","Ni buena ni mala",0.05,0.12,0.162,0.138,0.113,0.16
"P58","Mala",0.084,0.058,0.115,0.119,0.135,0.161
"P58","Muy mala",0.682,0.093,0.206,0.413,0.392,0.292
"P58","No sabe",0.005,0.004,0,0.071,0,0.021
"P59","Muy buena",0.063,0.1,0.506,0.421,0.385,0.061
"P59","Buena",0.058,0.16,0.247,0.025,0.061,0.04
"P59","Ni buena ni mala",0.04,0.316,0.136,0.115,0.219,0.278
"P59","Mala",0.114,0.254,0.041,0,0.138,0.182
"P59","Muy mala",0.717,0.134,0.07,0.368,0.197,0.312
"P59","No sabe",0.008,0.036,0,0.071,0,0.127
"P60","Muy buena",0.63,0.047,0.125,0.234,0.265,0.27
"P60","Buena",0.207,0.033,0.046,0.03,0.066,0.145
"P60","Ni buena ni mala",0.03,0.119,0.033,0.099,0.141,0.135
"P60","Mala",0.012,0.145,0.068,0.068,0.073,0.046
"P60","Muy mala",0.116,0.65,0.728,0.498,0.439,0.366
"P60","No sabe",0.005,0.006,0,0.071,0.016,0.038
"P61","Muy buena",0.114,0.154,0.074,0.205,0.124,0.137
"P61","Buena",0.053,0.262,0.25,0.054,0.031,0.118
"P61","Ni buena ni mala",0.166,0.309,0.291,0.311,0.174,0.43
"P61","Mala",0.188,0.033,0.085,0.15,0.13,0.062
"P61","Muy mala",0.329,0.148,0.266,0.216,0.361,0.089
"P61","No sabe",0.15,0.094,0.034,0.064,0.18,0.164
"P62","Muy buena",0.068,0.227,0.026,0.172,0.057,0.014
"P62","Buena",0.031,0.405,0.287,0.153,0.124,0.233
"P62","Ni buena ni mala",0.172,0.263,0.328,0.264,0.284,0.292
"P62","Mala",0.252,0.059,0.147,0.136,0.096,0.165
"P62","Muy mala",0.403,0.034,0.191,0.22,0.323,0.206
"P62","No sabe",0.074,0.012,0.021,0.055,0.116,0.09
