"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P33","Mala",0.129,0.039,0.191,0.016,0.087,0.148,0.179,0.128,0.124
"P33","Muy mala",0.364,0.378,0.408,0.453,0.248,0.272,0.267,0.465,0.571
"P33","No sabe",0.002,0,0.038,0.015,0.008,0.088,0.045,0.015,0.003
"P34","Muy buena",0.296,0.266,0.161,0.245,0.237,0.173,0.029,0.288,0.355
"P34","Buena",0.144,0.183,0.149,0.182,0.055,0.124,0.211,0.242,0.128
"P34","Ni buena ni mala",0.156,0.126,0.209,0.1,0.116,0.077,0.056,0.096,0.172
"P34","Mala",0.092,0.236,0.138,0.052,0.108,0.085,0.06,0.118,0.072
"P34","Muy mala",0.296,0.189,0.288,0.387,0.475,0.426,0.639,0.235,0.263
"P34","No sabe",0.016,0,0.055,0.034,0.009,0.115,0.005,0.021,0.01
"P35","Muy buena",0.122,0.239,0.09,0.185,0.165,0.106,0.097,0.241,0.257
"P35","Buena",0.117,0.132,0.175,0.169,0.07,0.107,0.069,0.06,0.124
"P35","Ni buena ni mala",0.266,0.226,0.257,0.204,0.191,0.234,0.162,0.334,0.189
"P35","Mala",0.16,0.21,0.238,0.198,0.105,0.128,0.072,0.088,0.148
"P35","Muy mala",0.291,0.193,0.154,0.225,0.434,0.312,0.595,0.206,0.231
"P35","No sabe",0.044,0,0.086,0.019,0.035,0.113,0.005,0.071,0.051
