"var","categoria","1","2","3","4","5","6","7","8","9"
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.185,0.469,0.277,0.316,0.452,0.514,0.543,0.647,0.512
"P42","No sabe",0.201,0.134,0.132,0.252,0.259,0.231,0.316,0.271,0.315
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.521,0.338,0.494,0.438,0.249,0.232,0.133,0.088,0.154
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.185,0.418,0.291,0.295,0.442,0.515,0.562,0.626,0.483
"P43","No sabe",0.294,0.244,0.215,0.267,0.309,0.253,0.305,0.286,0.363
"P44","Mauricio Macri – María Eugenia Vidal",0.215,0.348,0.223,0.348,0.379,0.558,0.582,0.582,0.507
"P44","Sergio Massa – Wado de Pedro",0.505,0.37,0.565,0.45,0.312,0.171,0.169,0.159,0.193
"P44","No sabe",0.28,0.282,0.212,0.202,0.309,0.271,0.249,0.259,0.3
"P45","Sergio Massa – Wado de Pedro",0.507,0.361,0.393,0.465,0.263,0.211,0.193,0.107,0.183
"P45","Javier Milei – José Luis Espert",0.194,0.308,0.329,0.295,0.316,0.45,0.563,0.595,0.5
"P45","No sabe",0.299,0.331,0.278,0.24,0.421,0.339,0.244,0.298,0.317
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.197,0.285,0.171,0.355,0.337,0.343,0.373,0.39,0.348
"P46","Javier Milei – José Luis Espert",0.159,0.212,0.192,0.322,0.243,0.329,0.361,0.433,0.404
"P46","No sabe",0.644,0.503,0.637,0.323,0.42,0.328,0.266,0.177,0.248
"P47","Muy buena",0.139,0.056,0.051,0.111,0.051,0.022,0.048,0.044,0.075
"P47","Buena",0.238,0.176,0.219,0.105,0.112,0.117,0.107,0.044,0.082
"P47","Ni buena ni mala",0.23,0.203,0.297,0.213,0.183,0.243,0.111,0.057,0.087
"P47","Mala",0.141,0.192,0.101,0.224,0.145,0.094,0.044,0.061,0.082
"P47","Muy mala",0.231,0.373,0.332,0.338,0.494,0.524,0.668,0.794,0.664
"P47","No sabe",0.021,0,0,0.009,0.015,0,0.022,0,0.01
"P48","Muy buena",0.153,0.076,0.052,0.109,0.061,0.041,0.006,0.031,0.049
"P48","Buena",0.266,0.176,0.183,0.144,0.081,0.132,0.099,0.044,0.073
"P48","Ni buena ni mala",0.174,0.215,0.239,0.101,0.169,0.143,0.049,0.044,0.056
"P48","Mala",0.137,0.061,0.123,0.221,0.13,0.18,0.081,0.082,0.078
"P48","Muy mala",0.251,0.472,0.403,0.408,0.54,0.493,0.76,0.795,0.735
"P48","No sabe",0.019,0,0,0.017,0.019,0.011,0.005,0.004,0.009
"P49","Muy buena",0.542,0.272,0.306,0.261,0.154,0.17,0.084,0.071,0.104
"P49","Buena",0.092,0.144,0.199,0.122,0.071,0.071,0.077,0.005,0.04
"P49","Ni buena ni mala",0.052,0.103,0.051,0.108,0.062,0.088,0.008,0.022,0.031
"P49","Mala",0.046,0.028,0.055,0.129,0.055,0.094,0.019,0.042,0.041
"P49","Muy mala",0.259,0.453,0.371,0.371,0.64,0.572,0.812,0.86,0.779
"P49","No sabe",0.009,0,0.018,0.009,0.018,0.005,0,0,0.005
"P50","Muy buena",0.12,0.122,0.182,0.076,0.115,0.043,0.151,0.241,0.267
"P50","Buena",0.092,0.195,0.181,0.185,0.152,0.226,0.27,0.213,0.166
"P50","Ni buena ni mala",0.078,0.1,0.067,0.075,0.163,0.248,0.278,0.237,0.199
"P50","Mala",0.171,0.136,0.057,0.205,0.177,0.174,0.089,0.131,0.101
"P50","Muy mala",0.53,0.431,0.513,0.45,0.384,0.296,0.205,0.178,0.264
"P50","No sabe",0.009,0.016,0,0.009,0.009,0.013,0.007,0,0.003
"P51","Muy buena",0.089,0.105,0.167,0.097,0.17,0.072,0.129,0.127,0.215
"P51","Buena",0.123,0.312,0.106,0.162,0.21,0.293,0.278,0.336,0.22
"P51","Ni buena ni mala",0.155,0.089,0.121,0.228,0.207,0.31,0.223,0.228,0.24
"P51","Mala",0.13,0.114,0.214,0.169,0.224,0.142,0.117,0.103,0.093
"P51","Muy mala",0.482,0.329,0.392,0.335,0.161,0.18,0.25,0.206,0.216
"P51","No sabe",0.021,0.051,0,0.009,0.028,0.003,0.003,0,0.016
"P52","Muy buena",0.15,0.024,0.09,0.117,0.082,0.026,0.022,0.037,0.055
"P52","Buena",0.232,0.18,0.188,0.197,0.148,0.136,0.072,0.041,0.094
"P52","Ni buena ni mala",0.249,0.171,0.32,0.214,0.21,0.306,0.107,0.135,0.13
"P52","Mala",0.12,0.187,0.146,0.229,0.159,0.121,0.146,0.099,0.129
"P52","Muy mala",0.239,0.388,0.256,0.233,0.384,0.406,0.648,0.684,0.583
"P52","No sabe",0.01,0.05,0,0.01,0.017,0.005,0.005,0.004,0.009
"P53","Muy buena",0.15,0.242,0.258,0.193,0.211,0.226,0.403,0.414,0.402
"P53","Buena",0.106,0.066,0.047,0.138,0.168,0.16,0.191,0.291,0.191
"P53","Ni buena ni mala",0.117,0.13,0.143,0.112,0.175,0.254,0.131,0.111,0.118
"P53","Mala",0.107,0.1,0.138,0.089,0.129,0.133,0.095,0.058,0.089
"P53","Muy mala",0.5,0.412,0.406,0.459,0.289,0.227,0.18,0.126,0.196
"P53","No sabe",0.02,0.05,0.008,0.009,0.028,0,0,0,0.004
"P54","Muy buena",0.107,0.07,0.117,0.071,0.127,0.088,0.208,0.214,0.31
"P54","Buena",0.07,0.073,0.093,0.168,0.135,0.123,0.172,0.261,0.153
"P54","Ni buena ni mala",0.214,0.279,0.137,0.209,0.268,0.232,0.299,0.282,0.262
"P54","Mala",0.107,0.103,0.122,0.054,0.181,0.374,0.098,0.094,0.105
"P54","Muy mala",0.481,0.4,0.516,0.489,0.269,0.178,0.219,0.149,0.166
"P54","No sabe",0.021,0.075,0.015,0.009,0.02,0.005,0.004,0,0.004
"P55","Muy buena",0.116,0.092,0.114,0.088,0.134,0.098,0.225,0.2,0.257
"P55","Buena",0.093,0.184,0.144,0.155,0.216,0.292,0.22,0.333,0.222
"P55","Ni buena ni mala",0.118,0.132,0.129,0.154,0.221,0.2,0.179,0.143,0.226
"P55","Mala",0.111,0.098,0.129,0.177,0.172,0.16,0.174,0.154,0.095
"P55","Muy mala",0.536,0.443,0.454,0.371,0.229,0.25,0.198,0.17,0.197
"P55","No sabe",0.026,0.051,0.03,0.055,0.028,0,0.004,0,0.003
"P56","Muy buena",0.177,0.063,0.092,0.025,0.04,0.034,0.075,0.021,0.06
"P56","Buena",0.286,0.234,0.163,0.258,0.137,0.086,0.096,0.057,0.059
"P56","Ni buena ni mala",0.204,0.195,0.351,0.196,0.171,0.314,0.042,0.064,0.129
"P56","Mala",0.112,0.122,0.084,0.135,0.247,0.163,0.248,0.13,0.138
"P56","Muy mala",0.212,0.327,0.31,0.377,0.379,0.395,0.539,0.728,0.603
"P56","No sabe",0.009,0.059,0,0.009,0.026,0.008,0,0,0.011
"P57","Muy buena",0.051,0.026,0.039,0.036,0.099,0.02,0.052,0.112,0.059
"P57","Buena",0.126,0.075,0.146,0.142,0.192,0.237,0.128,0.103,0.095
"P57","Ni buena ni mala",0.361,0.401,0.391,0.379,0.334,0.35,0.299,0.283,0.271
"P57","Mala",0.191,0.207,0.173,0.235,0.161,0.141,0.236,0.135,0.195
"P57","Muy mala",0.221,0.19,0.225,0.146,0.16,0.233,0.277,0.351,0.323
"P57","No sabe",0.05,0.101,0.026,0.062,0.054,0.019,0.008,0.016,0.057
"P58","Muy buena",0.035,0.021,0.019,0.031,0.067,0.017,0.035,0.057,0.059
"P58","Buena",0.083,0.101,0.08,0.079,0.15,0.221,0.171,0.134,0.132
"P58","Ni buena ni mala",0.301,0.332,0.308,0.306,0.411,0.458,0.299,0.325,0.392
"P58","Mala",0.141,0.15,0.147,0.226,0.131,0.041,0.228,0.187,0.114
"P58","Muy mala",0.386,0.339,0.349,0.239,0.153,0.178,0.22,0.249,0.234
"P58","No sabe",0.054,0.057,0.097,0.119,0.088,0.085,0.047,0.048,0.069
"P59","Siempre",0.352,0.311,0.241,0.354,0.282,0.296,0.195,0.259,0.322
"P59","Casi siempre",0.349,0.512,0.47,0.349,0.41,0.407,0.508,0.448,0.362
"P59","Casi nunca",0.181,0.105,0.185,0.245,0.211,0.219,0.174,0.242,0.195
"P59","Nunca, pero esta es una excepción",0.118,0.072,0.104,0.052,0.097,0.078,0.123,0.051,0.121
"P60","Si",0.579,0.612,0.448,0.532,0.544,0.587,0.562,0.639,0.518
"P60","No",0.421,0.388,0.552,0.468,0.456,0.413,0.438,0.361,0.482
