"var","categoria","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","No sabe"
"P41","Puede que lo vote",0.317,0.293,0.274,0.484,0.18
"P41","Nunca lo votaría",0.154,0.669,0.665,0.197,0.555
"P41","No sabe",0.003,0.02,0.029,0.05,0.192
"P42","Lo votaría",0.661,0.011,0.013,0.661,0.12
"P42","Puede que lo vote",0.184,0.278,0.338,0.172,0.144
"P42","Nunca lo votaría",0.135,0.694,0.632,0.09,0.543
"P42","No sabe",0.02,0.017,0.017,0.077,0.193
"P43","Lo votaría",0.37,0.019,0.055,0.039,0.032
"P43","Puede que lo vote",0.416,0.296,0.322,0.679,0.185
"P43","Nunca lo votaría",0.153,0.662,0.586,0.232,0.606
"P43","No sabe",0.061,0.023,0.037,0.05,0.177
"P44","La votaría",0.045,0.757,0.188,0.015,0.132
"P44","Puede que la vote",0.281,0.179,0.468,0.627,0.347
"P44","Nunca la votaría",0.63,0.06,0.253,0.358,0.332
"P44","No sabe",0.044,0.004,0.091,0,0.189
"P45","Lo votaría",0.009,0.549,0.098,0.177,0.055
"P45","Puede que lo vote",0.23,0.311,0.394,0.502,0.325
"P45","Nunca lo votaría",0.73,0.118,0.419,0.321,0.44
"P45","No sabe",0.031,0.022,0.089,0,0.18
"P46","Lo votaría",0.018,0.18,0.758,0.097,0.384
"P46","Puede que lo vote",0.229,0.345,0.167,0.554,0.132
"P46","Nunca lo votaría",0.744,0.393,0.075,0.349,0.314
"P46","No sabe",0.009,0.082,0,0,0.17
"P47","Si",0.539,0.497,0.496,0.654,0.37
"P47","No",0.461,0.503,0.504,0.346,0.63
