"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.041,0.337,0.579,0.865,0.051,0.103,0.034,0.04
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.034,0.21,0.124,0.03,0.788,0.095,0.046,0.07
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.035,0.003,0,0.002,0.613,0.092,0.016
"P27","En blanco",0.003,0.065,0.08,0.04,0.107,0,0.593,0.056
"P27","No sabe",0.028,0.079,0.132,0.018,0.047,0.189,0.158,0.741
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.819,0.683,0.061,0.021,0.007,0.177,0.166,0.297
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.056,0.247,0.83,0.725,0.05,0.236,0,0.268
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0,0.063,0.008,0.724,0.137,0.098,0.01
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.048,0.022,0.012,0.026,0.009,0.45,0,0
"P28","No sabe",0.059,0.048,0.034,0.22,0.21,0,0.736,0.425
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.78,0.683,0.058,0.049,0.006,0.212,0.166,0.399
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.06,0.247,0.819,0.875,0.092,0.234,0,0.121
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.029,0,0.063,0,0.708,0.14,0.099,0.046
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.056,0.022,0.004,0.044,0.009,0.414,0,0
"P29","No sabe",0.075,0.048,0.056,0.032,0.185,0,0.735,0.434
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.882,0.256,0.084,0.041,0.018,0.057,0.148,0.287
