"var","categoria","1","2","3","4","5","6","7","8","9"
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.382,0.412,0.321,0.283,0.24,0.297,0.23,0.237,0.198
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.343,0.234,0.31,0.272,0.268,0.286,0.237,0.218,0.222
"P37","Javier Milei – José Luis Espert por los liberales",0.11,0.188,0.19,0.183,0.197,0.212,0.346,0.413,0.407
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.033,0.041,0.038,0.035,0.034,0.03,0.009,0.014,0.011
"P37","Otro candidato",0.132,0.125,0.141,0.227,0.261,0.175,0.178,0.118,0.162
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.567,0.466,0.491,0.333,0.258,0.225,0.149,0.139,0.16
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.25,0.282,0.279,0.35,0.386,0.483,0.644,0.61,0.527
"P38","No sabe",0.183,0.252,0.23,0.317,0.356,0.292,0.207,0.251,0.313
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.466,0.404,0.386,0.275,0.197,0.14,0.104,0.119,0.123
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.235,0.294,0.231,0.326,0.399,0.542,0.573,0.541,0.456
"P39","No sabe",0.299,0.302,0.383,0.399,0.404,0.318,0.323,0.34,0.421
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.472,0.465,0.435,0.302,0.232,0.185,0.134,0.132,0.134
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.255,0.314,0.259,0.333,0.429,0.543,0.678,0.647,0.583
"P40","No sabe",0.273,0.221,0.306,0.365,0.339,0.272,0.188,0.221,0.283
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.572,0.489,0.488,0.386,0.253,0.19,0.133,0.163,0.15
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.244,0.307,0.252,0.333,0.412,0.545,0.566,0.535,0.493
