"var","categoria","A Daniel Scioli","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P75","Bastante",0.203,0.319,0.291,0.315
"P75","Poco",0.217,0.168,0.218,0.138
"P75","Nada",0.014,0.065,0.01,0.024
"P75","No sabe",0.036,0,0.01,0.022
"P76","Siempre",0.18,0.287,0.208,0.173
"P76","Casi siempre",0.394,0.263,0.178,0.344
"P76","Casi nunca",0.287,0.375,0.455,0.335
"P76","Nunca, pero esta es una excepción",0.139,0.075,0.159,0.148
"P77","Si",0.561,0.51,0.571,0.507
"P77","No",0.439,0.49,0.429,0.493
