"var","categoria","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P25","En blanco",0.016,0.067,0.101,0.018,0.021,0.066,0.51,0.093
"P25","No sabe",0.021,0.068,0.143,0.037,0.019,0.043,0.122,0.568
"P28","A Pedro Rosemblat por el Frente de Todos",0.569,0.048,0.12,0.062,0.188,0.062,0.144,0.145
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.072,0.698,0.527,0.094,0.039,0.076,0.133,0.18
"P28","A Ramiro Marra por La Libertad Avanza",0.064,0.11,0.07,0.745,0.232,0.084,0.012,0.041
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.045,0.003,0.019,0.041,0.394,0.153,0.077,0.005
"P28","A Luis Zamora por Autodeterminación y Libertad",0.049,0.015,0.039,0.009,0.098,0.534,0.151,0.011
"P28","En blanco",0.074,0.051,0.103,0.024,0.023,0.05,0.378,0.102
"P28","No sabe",0.127,0.075,0.122,0.025,0.026,0.041,0.105,0.516
"P31","Lo votaría",0.801,0.049,0.071,0.05,0.079,0.127,0.019,0.051
"P31","Puede que lo vote",0.139,0.051,0.137,0.085,0.178,0.307,0.226,0.142
"P31","Nunca lo votaría",0.028,0.855,0.73,0.814,0.559,0.52,0.644,0.622
"P31","No sabe",0.032,0.045,0.062,0.051,0.184,0.046,0.111,0.185
"P32","Lo votaría",0.428,0.026,0.042,0.056,0.166,0.076,0.03,0.103
"P32","Puede que lo vote",0.307,0.024,0.065,0.033,0.166,0.271,0.186,0.059
"P32","Nunca lo votaría",0.168,0.856,0.791,0.857,0.574,0.504,0.682,0.647
"P32","No sabe",0.097,0.094,0.102,0.054,0.094,0.149,0.102,0.191
"P33","Lo votaría",0.342,0.024,0.064,0.028,0.144,0.117,0.069,0.004
"P33","Puede que lo vote",0.395,0.04,0.073,0.054,0.176,0.107,0.126,0.054
"P33","Nunca lo votaría",0.172,0.858,0.77,0.858,0.609,0.748,0.757,0.733
