"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario","A los candidatos de la izquierda","No sabe"
"P17","A Ricardo López Murphy",0.091,0.484,0.081,0.088,0.047,0.087,0.299,0.131,0,0.203
"P18","Lo votaría",0.215,0.223,0.311,0.199,0.685,0.076,0.069,0.076,0.023,0.156
"P18","Puede que lo vote",0.353,0.293,0.304,0.427,0.203,0.082,0.154,0.135,0.141,0.223
"P18","Nunca lo votaría",0.348,0.375,0.312,0.256,0.081,0.752,0.654,0.654,0.739,0.448
"P18","No sabe",0.084,0.109,0.073,0.118,0.031,0.09,0.123,0.135,0.097,0.173
"P19","Lo votaría",0.034,0.051,0.142,0.094,0.094,0.761,0.497,0.016,0.262,0.222
"P19","Puede que lo vote",0.078,0.08,0.166,0.139,0.152,0.108,0.296,0.067,0.313,0.179
"P19","Nunca lo votaría",0.812,0.773,0.596,0.634,0.602,0.098,0.133,0.806,0.369,0.434
"P19","No sabe",0.076,0.096,0.096,0.133,0.152,0.033,0.074,0.111,0.056,0.165
"P20","Lo votaría",0.114,0.099,0.281,0.151,0.117,0.067,0.079,0.033,0.027,0.081
"P20","Puede que lo vote",0.354,0.363,0.273,0.322,0.287,0.046,0.114,0.14,0.054,0.177
"P20","Nunca lo votaría",0.414,0.403,0.315,0.411,0.424,0.823,0.689,0.678,0.848,0.552
"P20","No sabe",0.118,0.135,0.131,0.116,0.172,0.064,0.118,0.149,0.071,0.19
"P21","Lo votaría",0.023,0.024,0.074,0.024,0.024,0.219,0.379,0.015,0.051,0.112
"P21","Puede que lo vote",0.056,0.071,0.169,0.171,0.118,0.464,0.362,0.075,0.312,0.186
"P21","Nunca lo votaría",0.838,0.802,0.611,0.704,0.749,0.24,0.164,0.728,0.51,0.524
"P21","No sabe",0.083,0.103,0.146,0.101,0.109,0.077,0.095,0.182,0.127,0.178
"P22","Lo votaría",0.302,0.272,0.345,0.641,0.227,0.048,0.073,0.071,0.015,0.146
"P22","Puede que lo vote",0.372,0.397,0.253,0.191,0.43,0.139,0.187,0.189,0.156,0.255
"P22","Nunca lo votaría",0.249,0.241,0.271,0.13,0.226,0.702,0.603,0.598,0.701,0.406
"P22","No sabe",0.077,0.09,0.131,0.038,0.117,0.111,0.137,0.142,0.128,0.193
"P23","Lo votaría",0.709,0.352,0.445,0.326,0.238,0.027,0.011,0.067,0.006,0.167
"P23","Puede que lo vote",0.215,0.414,0.197,0.339,0.333,0.035,0.06,0.239,0.012,0.236
"P23","Nunca lo votaría",0.051,0.181,0.321,0.266,0.322,0.92,0.883,0.571,0.921,0.486
"P23","No sabe",0.025,0.053,0.037,0.069,0.107,0.018,0.046,0.123,0.061,0.111
"P24","Lo votaría",0.4,0.319,0.505,0.287,0.307,0.019,0.009,0.063,0.003,0.146
"P24","Puede que lo vote",0.342,0.333,0.24,0.407,0.321,0.014,0.052,0.151,0.018,0.189
"P24","Nunca lo votaría",0.224,0.301,0.236,0.248,0.313,0.95,0.886,0.667,0.947,0.551
"P24","No sabe",0.034,0.047,0.019,0.058,0.059,0.017,0.053,0.119,0.032,0.114
"P25","Lo votaría",0.283,0.643,0.299,0.175,0.188,0.022,0.014,0.201,0.011,0.139
"P25","Puede que lo vote",0.406,0.252,0.245,0.417,0.334,0.031,0.033,0.328,0.021,0.213
"P25","Nunca lo votaría",0.245,0.085,0.373,0.333,0.37,0.926,0.872,0.339,0.943,0.504
"P25","No sabe",0.066,0.02,0.083,0.075,0.108,0.021,0.081,0.132,0.025,0.144
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.801,0.13,0.123,0.057,0.03,0.012,0,0.019,0,0.074
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.082,0.782,0.014,0.017,0.026,0.003,0.005,0.036,0.004,0.083
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.018,0.009,0.643,0.067,0.034,0.002,0.009,0.003,0.004,0.03
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.032,0.011,0.091,0.703,0.051,0.006,0.003,0.013,0.007,0.023
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.035,0.023,0.042,0.08,0.805,0.011,0.048,0.022,0.011,0.071
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.009,0.01,0.056,0.043,0.025,0.874,0.216,0.009,0.181,0.16
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.007,0.004,0.011,0.023,0.022,0.078,0.714,0.01,0.142,0.081
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.016,0.031,0.02,0.01,0.004,0.006,0.004,0.888,0.004,0.054
"P26","A los candidatos de la izquierda",0,0,0,0,0.003,0.008,0.001,0,0.647,0.037
"P26","No sabe",0,0,0,0,0,0,0,0,0,0.387
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.703,0.363,0.056,0.078,0.064,0.007,0.019,0.008,0,0
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.034,0.034,0.531,0.266,0.122,0.001,0.007,0.001,0.008,0
"P28","A Martín Lousteau como Jefe de Gobierno",0.128,0.116,0.158,0.258,0.674,0.034,0.071,0.034,0.025,0
