"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P54","Negativa",0.758,0.443,0.297,0.349
"P54","No sabe",0.004,0,0,0.079
"P55","Positiva",0.151,0.274,0.504,0.089
"P55","Neutra",0.087,0.312,0.241,0.186
"P55","Negativa",0.751,0.354,0.237,0.324
"P55","No sabe",0.011,0.06,0.018,0.401
"P56","Positiva",0.168,0.334,0.457,0.298
"P56","Neutra",0.142,0.312,0.209,0.189
"P56","Negativa",0.686,0.343,0.331,0.342
"P56","No sabe",0.004,0.011,0.003,0.171
"P57","Positiva",0.589,0.234,0.099,0.063
"P57","Neutra",0.204,0.396,0.167,0.161
"P57","Negativa",0.198,0.349,0.722,0.341
"P57","No sabe",0.009,0.021,0.012,0.435
"P58","Positiva",0.184,0.334,0.667,0.304
"P58","Neutra",0.068,0.295,0.161,0.303
"P58","Negativa",0.744,0.369,0.168,0.211
"P58","No sabe",0.004,0.002,0.004,0.182
"P59","Positiva",0.326,0.398,0.705,0.31
"P59","Neutra",0.237,0.404,0.146,0.151
"P59","Negativa",0.433,0.185,0.145,0.182
"P59","No sabe",0.004,0.013,0.004,0.357
"P61","Positiva",0.386,0.067,0.01,0.025
"P61","Neutra",0.307,0.52,0.123,0.012
"P61","Negativa",0.084,0.206,0.595,0.098
"P61","No sabe",0.223,0.207,0.272,0.865
"P62","Positiva",0.562,0.139,0.042,0.063
"P62","Neutra",0.216,0.217,0.035,0.127
"P62","Negativa",0.208,0.628,0.908,0.687
"P62","No sabe",0.014,0.016,0.015,0.123
"P63","Positiva",0.504,0.131,0.038,0.119
"P63","Neutra",0.235,0.168,0.041,0.066
"P63","Negativa",0.253,0.701,0.919,0.776
"P63","No sabe",0.008,0,0.002,0.039
"P64","Positiva",0.775,0.295,0.057,0.224
"P64","Neutra",0.044,0.092,0.009,0.022
"P64","Negativa",0.178,0.607,0.933,0.722
"P64","No sabe",0.003,0.006,0.001,0.032
"P65","Positiva",0.197,0.356,0.59,0.411
"P65","Neutra",0.039,0.149,0.145,0.086
"P65","Negativa",0.763,0.495,0.265,0.487
"P65","No sabe",0.001,0,0,0.016
"P66","Positiva",0.146,0.402,0.486,0.347
"P66","Neutra",0.074,0.146,0.195,0.193
"P66","Negativa",0.78,0.448,0.319,0.444
"P66","No sabe",0,0.004,0,0.016
"P67","Positiva",0.532,0.271,0.07,0.129
"P67","Neutra",0.172,0.216,0.068,0.164
"P67","Negativa",0.29,0.504,0.859,0.634
"P67","No sabe",0.006,0.009,0.003,0.073
"P68","Positiva",0.21,0.482,0.707,0.498
"P68","Neutra",0.029,0.133,0.078,0.154
"P68","Negativa",0.758,0.385,0.211,0.281
"P68","No sabe",0.003,0,0.004,0.067
"P69","Positiva",0.107,0.332,0.329,0.427
"P69","Neutra",0.053,0.21,0.288,0.228
"P69","Negativa",0.831,0.445,0.374,0.23
"P69","No sabe",0.009,0.013,0.009,0.115
"P70","Positiva",0.203,0.206,0.215,0.144
"P70","Neutra",0.312,0.494,0.337,0.339
"P70","Negativa",0.474,0.231,0.439,0.205
"P70","No sabe",0.011,0.069,0.009,0.312
"P71","Siempre",0.313,0.302,0.338,0.146
"P71","Casi siempre",0.433,0.38,0.415,0.522
"P71","Casi nunca",0.154,0.258,0.169,0.187
"P71","Nunca, pero esta es una excepción",0.1,0.06,0.078,0.145
"P72","Si",0.544,0.579,0.599,0.561
"P72","No",0.456,0.421,0.401,0.439
