"var","categoria","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.01,0.682,0.015,0.149,0.062
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.013,0.246,0.005,0.047,0.052
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.004,0.001,0.511,0.053,0.044
"P26","A los candidatos de la izquierda",0.001,0.009,0.005,0.61,0.009
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.301,0.006,0.165,0.006,0.344
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.269,0.004,0.269,0.028,0.3
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.047,0.007,0.014,0.005,0.022
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.135,0.024,0.016,0.022,0.047
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.232,0.02,0.009,0.016,0.077
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.003,0.63,0.014,0.187,0.064
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.008,0.25,0.008,0.043,0.068
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.004,0.003,0.499,0.053,0.062
"P27","A los candidatos de la izquierda",0.001,0.056,0.006,0.64,0.016
"P27","No sabe",0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.368,0.011,0.233,0.027,0.363
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.126,0.001,0.02,0.006,0.039
"P28","A Martín Lousteau como Jefe de Gobierno",0.298,0.035,0.041,0.03,0.183
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.165,0.02,0.144,0.058,0.2
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.004,0.759,0.005,0.143,0.09
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.013,0.138,0.008,0.019,0.027
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.011,0.013,0.447,0.045,0.028
"P28","A los candidatos de izquierda",0.003,0.011,0.095,0.453,0.013
"P28","No sabe",0.012,0.012,0.007,0.219,0.057
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.356,0.005,0.202,0.023,0.333
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.188,0.015,0.031,0.012,0.105
"P29","A Martín Lousteau como Jefe de Gobierno",0.238,0.026,0.066,0.06,0.155
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.104,0.205,0.112,0.058,0.137
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.013,0.548,0,0.092,0.078
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.078,0.122,0.04,0.017,0.075
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.006,0.008,0.465,0.053,0.028
"P29","A los candidatos de izquierda",0.002,0.033,0.077,0.429,0.023
"P29","No sabe",0.015,0.038,0.007,0.256,0.066
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.23,0.011,0.029,0.006,0.107
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.427,0.009,0.351,0.034,0.465
"P30","A Martín Lousteau como Jefe de Gobierno",0.251,0.021,0.054,0.034,0.218
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.021,0.71,0.005,0.085,0.062
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.013,0.195,0.007,0.028,0.042
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.026,0.017,0.411,0.045,0.042
"P30","A los candidatos de la izquierda",0.004,0.018,0.067,0.558,0.009
"P30","No sabe",0.028,0.019,0.076,0.21,0.055
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.244,0.01,0.018,0.056,0.102
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.481,0.006,0.351,0.006,0.449
"P31","A Martín Lousteau como Jefe de Gobierno",0.222,0.016,0.037,0.033,0.178
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.017,0.701,0.003,0.057,0.055
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.003,0.197,0.021,0.028,0.073
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.01,0.009,0.447,0.069,0.032
"P31","A los candidatos de la izquierda",0,0.042,0.051,0.644,0.009
"P31","No sabe",0.023,0.019,0.072,0.107,0.102
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.876,0.01,0.324,0.041,0.529
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.014,0.942,0.008,0.133,0.051
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.022,0.016,0.626,0.053,0.034
"P32","A los candidatos de la izquierda",0.011,0.013,0.013,0.733,0.032
"P32","No sabe",0.077,0.019,0.029,0.04,0.354
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.878,0.01,0.302,0.028,0.539
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.017,0.893,0.009,0.066,0.057
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.024,0.012,0.663,0.053,0.011
"P33","A los candidatos de la izquierda",0.009,0.037,0.011,0.823,0.018
"P33","No sabe",0.072,0.048,0.015,0.03,0.375
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.866,0.006,0.082,0.073,0.252
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.005,0.961,0.005,0.121,0.034
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.039,0.001,0.875,0.053,0.033
"P34","A los candidatos de la izquierda",0.007,0.013,0.008,0.705,0.002
"P34","No sabe",0.083,0.019,0.03,0.048,0.679
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.874,0.006,0.063,0.027,0.252
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.007,0.922,0.005,0.092,0.018
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.041,0.007,0.911,0.045,0.03
"P35","A los candidatos de la izquierda",0.006,0.031,0.015,0.832,0.023
"P35","No sabe",0.072,0.034,0.006,0.004,0.677
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.947,0.012,0.054,0.055,0.138
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.017,0.931,0.01,0.106,0.03
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.009,0.01,0.926,0.046,0.026
"P37","A los candidatos de la izquierda",0.003,0.02,0.004,0.773,0
"P37","No sabe",0.024,0.027,0.006,0.02,0.806
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.836,0.091,0.067,0.02,0.178
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.063,0.871,0.021,0.123,0.049
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.028,0.002,0.908,0.047,0.069
"P38","A los candidatos de la izquierda",0.013,0.016,0,0.782,0.025
"P38","No sabe",0.06,0.02,0.004,0.028,0.679
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.778,0.13,0.068,0.032,0.207
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.131,0.793,0.009,0.093,0.035
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.023,0.006,0.913,0.062,0.039
"P40","A los candidatos de la izquierda",0.011,0.03,0.001,0.794,0.017
"P40","No sabe",0.057,0.041,0.009,0.019,0.702
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.839,0.089,0.067,0.082,0.185
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.068,0.871,0.015,0.042,0.056
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.031,0.002,0.907,0.067,0.085
"P42","A los candidatos de la izquierda",0.003,0.011,0.002,0.771,0.008
"P42","No sabe",0.059,0.027,0.009,0.038,0.666
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.809,0.121,0.043,0.044,0.225
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.089,0.79,0.03,0.151,0.047
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.036,0.011,0.904,0.068,0.045
"P44","A los candidatos de la izquierda",0.005,0.034,0.002,0.705,0.052
"P44","No sabe",0.061,0.044,0.021,0.032,0.631
"P46","Jorge Macri por Juntos por el Cambio",0.876,0.016,0.652,0.154,0.63
