"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P31","A los candidatos de la izquierda",0,0.001,0.006,0.021,0.021,0.004,0.794,0.133
"P31","No sabe",0.04,0.012,0.022,0.022,0.045,0.016,0.025,0.626
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.843,0.893,0.561,0.023,0.065,0.131,0.057,0.267
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.043,0.007,0.063,0.934,0.714,0.055,0.086,0.153
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.028,0.059,0.106,0.003,0.047,0.75,0.263,0.311
"P32","A los candidatos de la izquierda",0.012,0.005,0.023,0.02,0.061,0.02,0.57,0.125
"P32","No sabe",0.074,0.036,0.247,0.02,0.113,0.044,0.024,0.144
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.82,0.879,0.556,0.022,0.084,0.124,0.03,0.272
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.031,0.01,0.067,0.879,0.777,0.043,0.083,0.083
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.041,0.064,0.108,0.009,0.031,0.748,0.33,0.308
"P33","A los candidatos de la izquierda",0.012,0.01,0.043,0.038,0.023,0.033,0.546,0.164
"P33","No sabe",0.096,0.037,0.226,0.052,0.085,0.052,0.011,0.173
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.825,0.64,0.571,0.026,0.05,0.103,0.087,0.185
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.036,0.012,0.048,0.929,0.831,0.061,0.082,0.114
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.048,0.214,0.13,0.004,0.015,0.776,0.288,0.326
"P34","A los candidatos de la izquierda",0.004,0.005,0.021,0.01,0.018,0.006,0.523,0.167
"P34","No sabe",0.087,0.129,0.23,0.031,0.086,0.054,0.02,0.208
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.875,0.625,0.568,0.033,0.05,0.098,0.038,0.187
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.032,0.01,0.049,0.891,0.78,0.067,0.096,0.073
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.038,0.242,0.14,0.008,0.025,0.779,0.268,0.334
"P35","A los candidatos de la izquierda",0,0.013,0.02,0.026,0.045,0.019,0.568,0.211
"P35","No sabe",0.055,0.11,0.223,0.042,0.1,0.037,0.03,0.195
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.833,0.601,0.731,0.036,0.075,0.102,0.033,0.241
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.031,0.01,0.047,0.922,0.837,0.049,0.119,0.126
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.053,0.248,0.079,0.004,0.021,0.796,0.295,0.334
"P36","A los candidatos de la izquierda",0.003,0.005,0.011,0.016,0.017,0.019,0.536,0.199
"P36","No sabe",0.08,0.136,0.132,0.022,0.05,0.034,0.017,0.1
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.869,0.621,0.757,0.034,0.061,0.098,0.066,0.219
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.026,0.012,0.058,0.895,0.818,0.048,0.108,0.104
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.038,0.233,0.07,0.008,0.009,0.805,0.301,0.353
"P37","A los candidatos de la izquierda",0.003,0.005,0.01,0.023,0.021,0.003,0.497,0.19
"P37","No sabe",0.064,0.129,0.105,0.04,0.091,0.046,0.028,0.134
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.87,0.606,0.56,0.09,0.117,0.079,0.042,0.178
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.056,0.053,0.075,0.854,0.781,0.049,0.107,0.097
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.036,0.228,0.13,0.003,0,0.846,0.302,0.357
"P38","A los candidatos de la izquierda",0,0.003,0.043,0.016,0.017,0.006,0.517,0.214
"P38","No sabe",0.038,0.11,0.192,0.037,0.085,0.02,0.032,0.154
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.727,0.581,0.538,0.146,0.135,0.054,0.053,0.201
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.197,0.063,0.122,0.765,0.712,0.073,0.083,0.1
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.033,0.245,0.104,0.006,0.021,0.827,0.296,0.345
"P40","A los candidatos de la izquierda",0,0.004,0.032,0.035,0.003,0.01,0.54,0.2
"P40","No sabe",0.043,0.107,0.204,0.048,0.129,0.036,0.028,0.154
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.787,0.578,0.597,0.1,0.163,0.093,0.078,0.23
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.105,0.045,0.087,0.854,0.728,0.05,0.121,0.093
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.048,0.256,0.093,0.003,0.013,0.855,0.291,0.378
"P42","A los candidatos de la izquierda",0.009,0.005,0.014,0.009,0.011,0,0.51,0.145
"P42","No sabe",0.051,0.116,0.209,0.034,0.085,0.002,0,0.154
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.763,0.575,0.546,0.145,0.119,0.097,0.007,0.214
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.133,0.051,0.12,0.769,0.718,0.044,0.199,0.088
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.059,0.257,0.113,0.011,0.025,0.802,0.29,0.387
"P44","A los candidatos de la izquierda",0.009,0.001,0.029,0.031,0.011,0.024,0.504,0.133
"P44","No sabe",0.036,0.116,0.192,0.044,0.127,0.033,0,0.178
"P46","Jorge Macri por Juntos por el Cambio",0.91,0.904,0.658,0.03,0.052,0.501,0.211,0.452
"P46","Leandro Santoro por el Frente de Todos",0.037,0.009,0.083,0.94,0.844,0.086,0.382,0.302
"P46","No sabe",0.053,0.087,0.259,0.03,0.104,0.413,0.407,0.246
"P47","Soledad Acuña por Juntos por el Cambio",0.794,0.772,0.598,0.03,0.04,0.406,0.24,0.33
"P47","Leandro Santoro por el Frente de Todos",0.03,0.017,0.094,0.945,0.87,0.123,0.311,0.306
"P47","No sabe",0.176,0.211,0.308,0.025,0.09,0.471,0.449,0.364
"P48","Fernán Quirós por Juntos por el Cambio",0.889,0.844,0.722,0.058,0.084,0.416,0.093,0.446
"P48","Leandro Santoro por el Frente de Todos",0.03,0.023,0.076,0.907,0.833,0.1,0.384,0.294
"P48","No sabe",0.081,0.133,0.202,0.035,0.083,0.484,0.523,0.26
"P49","Martín Lousteau por Juntos por el Cambio",0.838,0.712,0.873,0.05,0.06,0.401,0.18,0.374
"P49","Leandro Santoro por el Frente de Todos",0.03,0.014,0.07,0.919,0.861,0.101,0.384,0.282
"P49","No sabe",0.132,0.274,0.057,0.031,0.079,0.498,0.436,0.344
"P50","María Eugenia Vidal por Juntos por el Cambio",0.865,0.776,0.695,0.028,0.045,0.406,0.159,0.318
"P50","Leandro Santoro por el Frente de Todos",0.036,0.012,0.094,0.943,0.866,0.1,0.439,0.303
"P50","No sabe",0.099,0.212,0.211,0.029,0.089,0.494,0.402,0.379
"P51","Muy buena",0.5,0.28,0.295,0.099,0.071,0.081,0.098,0.208
"P51","Buena",0.337,0.412,0.426,0.07,0.16,0.248,0.071,0.182
"P51","Ni buena ni mala",0.096,0.171,0.167,0.117,0.129,0.249,0.266,0.19
"P51","Mala",0.019,0.095,0.044,0.276,0.203,0.179,0.195,0.244
"P51","Muy mala",0.042,0.027,0.056,0.432,0.437,0.231,0.37,0.165
"P51","No sabe",0.006,0.015,0.012,0.006,0,0.012,0,0.011
"P52","Muy buena",0.518,0.398,0.196,0.038,0.052,0.116,0.034,0.1
"P52","Buena",0.277,0.352,0.321,0.03,0,0.12,0.085,0.184
"P52","Ni buena ni mala",0.162,0.185,0.306,0.122,0.167,0.425,0.103,0.264
"P52","Mala",0.027,0.038,0.078,0.257,0.264,0.147,0.308,0.172
"P52","Muy mala",0.016,0.013,0.062,0.522,0.494,0.153,0.47,0.174
"P52","No sabe",0,0.014,0.037,0.031,0.023,0.039,0,0.106
"P53","Muy buena",0.076,0.032,0.026,0.648,0.391,0.082,0.149,0.168
"P53","Buena",0.067,0.062,0.112,0.18,0.267,0.07,0.087,0.114
"P53","Ni buena ni mala",0.312,0.189,0.281,0.042,0.112,0.228,0.138,0.194
