"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P57","No sabe",0.014,0.046,0.043,0.042,0.042,0.029,0.06,0,0.04,0.154
"P58","Lo votaría",0.112,0.095,0.636,0.599,0.405,0.194,0.2,0.022,0.207,0.165
"P58","Puede que lo vote",0.058,0.05,0.194,0.095,0.181,0,0.198,0.166,0.2,0.384
"P58","Nunca lo votaría",0.824,0.852,0.145,0.281,0.355,0.776,0.542,0.778,0.581,0.285
"P58","No sabe",0.006,0.003,0.025,0.025,0.059,0.03,0.06,0.034,0.012,0.166
"P59","Lo votaría",0.067,0.14,0.35,0.514,0.244,0.023,0.48,0.16,0.106,0.169
"P59","Puede que lo vote",0.188,0.252,0.262,0.28,0.173,0.075,0.057,0.136,0.097,0.376
"P59","Nunca lo votaría",0.715,0.527,0.344,0.172,0.502,0.854,0.35,0.67,0.797,0.289
"P59","No sabe",0.03,0.081,0.044,0.034,0.081,0.048,0.113,0.034,0,0.166
"P60","Si",0.495,0.413,0.438,0.481,0.603,0.521,0.537,0.148,0.574,0.175
"P60","No",0.505,0.587,0.562,0.519,0.397,0.479,0.463,0.852,0.426,0.825
