"var","categoria","Victoria Tolosa Paz por Unión por la Patria","Nestor Grindetti por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P43","Nunca lo votaría",0.852,0.077,0.528,0.863,0.786,0.641
"P43","No sabe",0.043,0.035,0.038,0.031,0.047,0.115
"P44","Lo votaría",0.018,0.134,0.603,0.042,0.008,0.007
"P44","Puede que lo vote",0.048,0.267,0.223,0.037,0.03,0.061
"P44","Nunca lo votaría",0.884,0.503,0.168,0.867,0.915,0.706
"P44","No sabe",0.05,0.096,0.006,0.054,0.047,0.226
"P45","Muy buena",0.689,0.027,0.114,0.414,0.543,0.454
"P45","Buena",0.129,0.034,0.044,0.091,0.091,0.08
"P45","Ni buena ni mala",0.141,0.103,0.072,0.234,0.116,0.189
"P45","Mala",0.023,0.124,0.112,0.048,0.07,0.082
"P45","Muy mala",0.017,0.71,0.65,0.191,0.156,0.148
"P45","No sabe",0.001,0.002,0.008,0.022,0.024,0.047
"P46","Muy buena",0.313,0.003,0.015,0.07,0.097,0.063
"P46","Buena",0.39,0.026,0.032,0.073,0.056,0.101
"P46","Ni buena ni mala",0.241,0.095,0.066,0.363,0.317,0.363
"P46","Mala",0.042,0.196,0.181,0.145,0.238,0.161
"P46","Muy mala",0.007,0.664,0.678,0.301,0.266,0.181
"P46","No sabe",0.007,0.016,0.028,0.048,0.026,0.131
"P47","Muy buena",0.032,0.337,0.07,0.123,0.001,0.013
"P47","Buena",0.082,0.358,0.168,0.007,0.044,0.027
"P47","Ni buena ni mala",0.261,0.148,0.331,0.153,0.233,0.257
"P47","Mala",0.299,0.042,0.069,0.222,0.197,0.165
"P47","Muy mala",0.269,0.093,0.249,0.47,0.423,0.247
"P47","No sabe",0.057,0.022,0.113,0.025,0.102,0.291
"P48","Muy buena",0.027,0.369,0.108,0.037,0.058,0.081
"P48","Buena",0.052,0.392,0.195,0.052,0.081,0.08
"P48","Ni buena ni mala",0.186,0.187,0.289,0.188,0.169,0.206
"P48","Mala",0.352,0.029,0.132,0.18,0.285,0.181
"P48","Muy mala",0.345,0.016,0.237,0.51,0.376,0.295
"P48","No sabe",0.038,0.007,0.039,0.033,0.031,0.157
"P49","Muy buena",0.021,0.068,0.315,0.031,0.008,0.014
"P49","Buena",0.035,0.123,0.349,0.044,0.011,0.016
"P49","Ni buena ni mala",0.212,0.433,0.23,0.1,0.224,0.213
"P49","Mala",0.24,0.097,0.023,0.182,0.159,0.136
"P49","Muy mala",0.391,0.113,0.051,0.518,0.497,0.273
"P49","No sabe",0.101,0.166,0.032,0.125,0.101,0.348
"P50","Siempre",0.348,0.379,0.332,0.267,0.31,0.271
"P50","Casi siempre",0.458,0.373,0.344,0.428,0.404,0.386
"P50","Casi nunca",0.135,0.199,0.271,0.127,0.18,0.184
"P50","Nunca, pero esta es una excepción",0.059,0.049,0.053,0.178,0.106,0.159
"P51","Si",0.62,0.527,0.537,0.506,0.522,0.499
"P51","No",0.38,0.473,0.463,0.494,0.478,0.501
