"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P40","No sabe",0.224,0.295,0.213,0.273,0.252
"P41","La seguridad",0.72,0.524,0.253,0.415,0.472
"P41","El tránsito",0.018,0.159,0.093,0.084,0.031
"P41","El arreglo de las calles",0.07,0.078,0.393,0.101,0.06
"P41","Los parques y espacios públicos",0.011,0.07,0.07,0.08,0.023
"P41","El sistema de salud",0.07,0.05,0.041,0.028,0.119
"P41","La limpieza de las calles",0.029,0.015,0.041,0.076,0.037
"P41","El deporte y la cultura",0.031,0,0.041,0.083,0.014
"P41","La luminaria",0.01,0,0.045,0.007,0.006
"P41","No sabe",0.041,0.104,0.023,0.126,0.238
"P43","Los robos",0.439,0.281,0.268,0.28,0.241
"P43","El narcotráfico",0.337,0.425,0.251,0.336,0.217
"P43","La ausencia de patrulleros y personal policial",0.192,0.225,0.379,0.189,0.161
"P43","Otro",0.032,0.069,0.083,0.181,0.106
"P43","Ninguno",0,0,0.019,0.014,0.275
