"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P56","Ni buena ni mala",0.312,0.115,0.189
"P56","Mala",0.115,0.148,0.125
"P56","Muy mala",0.098,0.643,0.521
"P56","No sabe",0.008,0.001,0.022
"P57","Muy buena",0.047,0.499,0.168
"P57","Buena",0.064,0.216,0.129
"P57","Ni buena ni mala",0.068,0.111,0.199
"P57","Mala",0.078,0.069,0.166
"P57","Muy mala",0.737,0.105,0.316
"P57","No sabe",0.006,0,0.022
"P58","Muy buena",0.024,0.2,0.332
"P58","Buena",0.003,0.226,0.115
"P58","Ni buena ni mala",0.052,0.322,0.169
"P58","Mala",0.108,0.129,0.122
"P58","Muy mala",0.8,0.111,0.222
"P58","No sabe",0.013,0.012,0.04
"P59","Muy buena",0.378,0.036,0.034
"P59","Buena",0.315,0.033,0.07
"P59","Ni buena ni mala",0.134,0.153,0.181
"P59","Mala",0.032,0.19,0.135
"P59","Muy mala",0.123,0.547,0.476
"P59","No sabe",0.018,0.041,0.104
"P60","Muy buena",0.219,0.023,0.084
"P60","Buena",0.4,0.022,0.096
"P60","Ni buena ni mala",0.301,0.073,0.161
"P60","Mala",0.042,0.183,0.142
"P60","Muy mala",0.036,0.691,0.494
"P60","No sabe",0.002,0.008,0.023
"P61","Muy buena",0.028,0.257,0.057
"P61","Buena",0.055,0.296,0.124
"P61","Ni buena ni mala",0.061,0.221,0.223
"P61","Mala",0.119,0.113,0.143
"P61","Muy mala",0.729,0.111,0.435
"P61","No sabe",0.008,0.002,0.018
"P62","Muy buena",0.028,0.126,0.068
"P62","Buena",0.103,0.258,0.099
"P62","Ni buena ni mala",0.312,0.373,0.34
"P62","Mala",0.254,0.132,0.131
"P62","Muy mala",0.264,0.089,0.29
"P62","No sabe",0.039,0.022,0.072
"P63","Siempre",0.325,0.35,0.272
"P63","Casi siempre",0.391,0.422,0.374
"P63","Casi nunca",0.198,0.16,0.222
"P63","Nunca, pero esta es una excepción",0.086,0.068,0.132
"P64","Si",0.637,0.619,0.594
"P64","No",0.363,0.381,0.406
