"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P54","Mala",0.135,0.048,0.083,0.145,0.134,0.07,0.195,0.187,0.132,0.157
"P54","Muy mala",0.158,0.117,0.088,0.395,0.673,0.798,0.715,0.358,0.792,0.583
"P54","No sabe",0.003,0.005,0,0,0,0,0.002,0.004,0.042,0.04
"P55","Muy buena",0.426,0.212,0.26,0.19,0.007,0.006,0.007,0.035,0,0.074
"P55","Buena",0.384,0.354,0.378,0.241,0.066,0.007,0.032,0.098,0.012,0.062
"P55","Ni buena ni mala",0.163,0.268,0.186,0.259,0.157,0.071,0.047,0.298,0.015,0.217
"P55","Mala",0.016,0.085,0.07,0.117,0.214,0.177,0.279,0.243,0.271,0.155
"P55","Muy mala",0.011,0.08,0.106,0.193,0.551,0.738,0.612,0.313,0.661,0.443
"P55","No sabe",0,0.001,0,0,0.005,0.001,0.023,0.013,0.041,0.049
"P56","Muy buena",0.029,0.018,0.05,0.058,0.388,0.034,0.092,0.012,0,0.035
"P56","Buena",0.073,0.042,0.056,0.15,0.358,0.299,0.411,0.028,0.105,0.082
"P56","Ni buena ni mala",0.122,0.091,0.091,0.329,0.194,0.393,0.275,0.145,0.19,0.305
"P56","Mala",0.144,0.138,0.16,0.116,0.03,0.193,0.055,0.131,0.321,0.164
"P56","Muy mala",0.632,0.709,0.626,0.347,0.025,0.081,0.138,0.67,0.384,0.365
"P56","No sabe",0,0.002,0.017,0,0.005,0,0.029,0.014,0,0.049
"P57","Muy buena",0.19,0.661,0.41,0.124,0.106,0.004,0.011,0.219,0.009,0.065
"P57","Buena",0.278,0.179,0.261,0.127,0.077,0.034,0.063,0.223,0.113,0.045
"P57","Ni buena ni mala",0.235,0.038,0.152,0.352,0.131,0.106,0.078,0.194,0,0.121
"P57","Mala",0.156,0.029,0.113,0.144,0.138,0.05,0.088,0.15,0.214,0.205
"P57","Muy mala",0.141,0.092,0.064,0.253,0.542,0.801,0.755,0.204,0.664,0.482
"P57","No sabe",0,0.001,0,0,0.006,0.005,0.005,0.01,0,0.082
"P58","Muy buena",0.043,0.127,0.084,0.123,0.029,0.005,0.031,0.74,0.008,0.012
"P58","Buena",0.184,0.259,0.154,0.128,0.034,0.009,0.002,0.149,0.012,0.027
"P58","Ni buena ni mala",0.282,0.363,0.433,0.322,0.076,0.034,0.091,0.076,0.226,0.203
"P58","Mala",0.278,0.127,0.17,0.159,0.184,0.074,0.167,0.007,0.016,0.183
"P58","Muy mala",0.213,0.102,0.142,0.259,0.663,0.855,0.673,0.026,0.738,0.474
"P58","No sabe",0,0.022,0.017,0.009,0.014,0.023,0.036,0.002,0,0.101
"P59","Muy buena",0.011,0.012,0.005,0.01,0.138,0.59,0.167,0.1,0.033,0.046
"P59","Buena",0.017,0.039,0.008,0.178,0.246,0.25,0.37,0.045,0.109,0.126
"P59","Ni buena ni mala",0.207,0.135,0.256,0.207,0.25,0.027,0.209,0.116,0.227,0.257
"P59","Mala",0.242,0.166,0.223,0.211,0.103,0.007,0.064,0.137,0.016,0.113
"P59","Muy mala",0.492,0.616,0.474,0.362,0.209,0.123,0.123,0.5,0.492,0.331
"P59","No sabe",0.031,0.032,0.034,0.032,0.054,0.003,0.067,0.102,0.123,0.127
"P60","Muy buena",0.043,0.003,0.024,0.008,0.162,0.204,0.489,0.03,0.018,0.073
"P60","Buena",0.02,0.007,0.033,0.1,0.377,0.406,0.432,0.038,0.058,0.136
"P60","Ni buena ni mala",0.101,0.063,0.112,0.262,0.386,0.325,0.064,0.084,0.399,0.206
"P60","Mala",0.197,0.163,0.212,0.157,0.031,0.041,0.005,0.188,0.161,0.19
"P60","Muy mala",0.634,0.751,0.611,0.473,0.039,0.024,0.01,0.648,0.364,0.315
"P60","No sabe",0.005,0.013,0.008,0,0.005,0,0,0.012,0,0.08
"P61","Muy buena",0.248,0.198,0.648,0.14,0.045,0.009,0.048,0.064,0.018,0.105
"P61","Buena",0.288,0.347,0.141,0.206,0.062,0.043,0.025,0.156,0.05,0.073
"P61","Ni buena ni mala",0.247,0.231,0.127,0.352,0.134,0.08,0.02,0.228,0.02,0.116
"P61","Mala",0.134,0.098,0.032,0.088,0.188,0.074,0.149,0.174,0.087,0.155
"P61","Muy mala",0.078,0.125,0.044,0.209,0.571,0.777,0.737,0.378,0.825,0.492
"P61","No sabe",0.005,0.001,0.008,0.005,0,0.017,0.021,0,0,0.059
"P62","Muy buena",0.097,0.068,0.135,0.483,0.068,0.006,0.021,0.087,0,0.04
"P62","Buena",0.286,0.255,0.171,0.287,0.109,0.043,0.14,0.135,0.041,0.092
"P62","Ni buena ni mala",0.442,0.354,0.457,0.131,0.334,0.329,0.384,0.356,0.227,0.294
"P62","Mala",0.137,0.16,0.116,0.01,0.281,0.239,0.21,0.109,0.184,0.143
"P62","Muy mala",0.027,0.149,0.067,0.084,0.173,0.331,0.207,0.243,0.488,0.3
"P62","No sabe",0.011,0.014,0.054,0.005,0.035,0.052,0.038,0.07,0.06,0.131
"P63","Siempre",0.276,0.34,0.346,0.263,0.387,0.298,0.326,0.324,0.072,0.291
"P63","Casi siempre",0.512,0.411,0.342,0.515,0.409,0.403,0.326,0.342,0.573,0.354
"P63","Casi nunca",0.159,0.192,0.253,0.167,0.143,0.216,0.246,0.151,0.241,0.227
"P63","Nunca, pero esta es una excepción",0.053,0.057,0.059,0.055,0.061,0.083,0.102,0.183,0.114,0.128
"P64","Si",0.677,0.611,0.689,0.575,0.68,0.635,0.666,0.59,0.365,0.505
"P64","No",0.323,0.389,0.311,0.425,0.32,0.365,0.334,0.41,0.635,0.495
