"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P54","Mala",0.124,0.049,0.075,0.176,0.165,0.073,0.128,0.189,0.171,0.174
"P54","Muy mala",0.164,0.117,0.107,0.33,0.654,0.817,0.73,0.356,0.71,0.635
"P54","No sabe",0.003,0.004,0,0.007,0,0,0.003,0.004,0.048,0.034
"P55","Muy buena",0.418,0.219,0.228,0.181,0,0.004,0,0.042,0,0.081
"P55","Buena",0.38,0.336,0.514,0.252,0.058,0.008,0.04,0.106,0.014,0.022
"P55","Ni buena ni mala",0.148,0.267,0.153,0.244,0.159,0.063,0.083,0.299,0.008,0.197
"P55","Mala",0.012,0.087,0.072,0.127,0.269,0.178,0.194,0.231,0.287,0.196
"P55","Muy mala",0.034,0.088,0.033,0.196,0.512,0.746,0.652,0.311,0.643,0.463
"P55","No sabe",0.008,0.003,0,0,0.002,0.001,0.031,0.011,0.048,0.041
"P56","Muy buena",0.031,0.024,0.032,0.054,0.375,0.032,0.13,0.014,0,0.021
"P56","Buena",0.087,0.04,0.063,0.175,0.373,0.327,0.401,0.026,0,0.083
"P56","Ni buena ni mala",0.148,0.087,0.083,0.29,0.17,0.386,0.361,0.132,0.277,0.301
"P56","Mala",0.143,0.13,0.201,0.155,0.039,0.17,0.058,0.139,0.298,0.126
"P56","Muy mala",0.591,0.717,0.621,0.326,0.038,0.085,0.05,0.67,0.425,0.388
"P56","No sabe",0,0.002,0,0,0.005,0,0,0.019,0,0.081
"P57","Muy buena",0.178,0.664,0.427,0.113,0.088,0.002,0.014,0.214,0.01,0.047
"P57","Buena",0.309,0.182,0.308,0.117,0.072,0.06,0.036,0.215,0,0.014
"P57","Ni buena ni mala",0.205,0.036,0.109,0.371,0.111,0.087,0.113,0.205,0.06,0.172
"P57","Mala",0.181,0.028,0.1,0.18,0.121,0.064,0.094,0.136,0.171,0.213
"P57","Muy mala",0.127,0.089,0.056,0.219,0.605,0.778,0.728,0.22,0.759,0.497
"P57","No sabe",0,0.001,0,0,0.003,0.009,0.015,0.01,0,0.057
"P58","Muy buena",0.064,0.14,0.035,0.106,0.026,0.004,0.02,0.733,0.01,0.011
"P58","Buena",0.18,0.249,0.158,0.095,0.033,0.01,0,0.163,0.044,0.03
"P58","Ni buena ni mala",0.299,0.355,0.51,0.364,0.116,0.024,0.071,0.056,0.213,0.171
"P58","Mala",0.301,0.129,0.148,0.174,0.158,0.088,0.174,0.007,0.018,0.184
"P58","Muy mala",0.156,0.104,0.149,0.252,0.64,0.862,0.714,0.037,0.715,0.497
"P58","No sabe",0,0.023,0,0.009,0.027,0.012,0.021,0.004,0,0.107
"P59","Muy buena",0,0.012,0.013,0.01,0.145,0.573,0.115,0.101,0.039,0.04
"P59","Buena",0.016,0.037,0.008,0.16,0.274,0.258,0.345,0.046,0.183,0.145
"P59","Ni buena ni mala",0.23,0.126,0.264,0.262,0.255,0.038,0.171,0.125,0.199,0.252
"P59","Mala",0.266,0.16,0.194,0.223,0.107,0.002,0.08,0.141,0.047,0.104
"P59","Muy mala",0.472,0.631,0.485,0.329,0.175,0.129,0.177,0.495,0.388,0.297
"P59","No sabe",0.016,0.034,0.036,0.016,0.044,0,0.112,0.092,0.144,0.162
"P60","Muy buena",0.053,0.002,0.005,0.015,0.209,0.254,0.255,0.035,0.048,0.178
"P60","Buena",0.014,0.007,0.028,0.075,0.347,0.409,0.557,0.038,0.01,0.16
"P60","Ni buena ni mala",0.137,0.063,0.097,0.252,0.38,0.282,0.142,0.077,0.426,0.185
"P60","Mala",0.217,0.174,0.166,0.167,0.03,0.041,0.019,0.171,0.112,0.164
"P60","Muy mala",0.579,0.74,0.696,0.491,0.03,0.013,0.012,0.667,0.404,0.261
"P60","No sabe",0,0.014,0.008,0,0.004,0.001,0.015,0.012,0,0.052
"P61","Muy buena",0.266,0.206,0.6,0.134,0.04,0.012,0.027,0.071,0.021,0.099
"P61","Buena",0.238,0.348,0.264,0.228,0.044,0.057,0.048,0.138,0,0.034
"P61","Ni buena ni mala",0.265,0.23,0.046,0.344,0.114,0.061,0.102,0.229,0,0.139
"P61","Mala",0.142,0.096,0.032,0.089,0.199,0.089,0.118,0.172,0.032,0.16
"P61","Muy mala",0.083,0.119,0.05,0.205,0.591,0.774,0.674,0.39,0.947,0.515
"P61","No sabe",0.006,0.001,0.008,0,0.012,0.007,0.031,0,0,0.053
"P62","Muy buena",0.11,0.076,0.181,0.511,0.06,0.008,0.004,0.067,0.03,0.022
"P62","Buena",0.266,0.245,0.194,0.307,0.127,0.051,0.126,0.153,0.038,0.053
"P62","Ni buena ni mala",0.429,0.362,0.368,0.105,0.333,0.33,0.351,0.374,0.281,0.335
"P62","Mala",0.151,0.147,0.136,0.018,0.259,0.258,0.235,0.112,0.146,0.139
"P62","Muy mala",0.03,0.155,0.056,0.059,0.186,0.318,0.207,0.241,0.409,0.298
"P62","No sabe",0.014,0.015,0.065,0,0.035,0.035,0.077,0.053,0.096,0.153
"P63","Siempre",0.297,0.341,0.354,0.262,0.356,0.297,0.298,0.313,0.114,0.362
"P63","Casi siempre",0.511,0.397,0.379,0.491,0.408,0.423,0.355,0.352,0.515,0.315
"P63","Casi nunca",0.107,0.201,0.207,0.192,0.161,0.199,0.265,0.161,0.259,0.224
"P63","Nunca, pero esta es una excepción",0.085,0.061,0.06,0.055,0.075,0.081,0.082,0.174,0.112,0.099
"P64","Si",0.675,0.605,0.732,0.614,0.675,0.641,0.635,0.584,0.369,0.539
"P64","No",0.325,0.395,0.268,0.386,0.325,0.359,0.365,0.416,0.631,0.461
