"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P37","No sabe",0.055,0.028,0.153,0.162
"P38","Lo votaría",0.173,0.284,0.187,0.054
"P38","Puede que lo vote",0.255,0.193,0.331,0.493
"P38","Nunca lo votaría",0.42,0.46,0.339,0.264
"P38","No sabe",0.152,0.063,0.143,0.189
"P39","Lo votaría",0.35,0.315,0.332,0.066
"P39","Puede que lo vote",0.181,0.272,0.282,0.426
"P39","Nunca lo votaría",0.4,0.388,0.309,0.329
"P39","No sabe",0.069,0.025,0.077,0.179
"P40","Lo votaría",0.191,0.124,0.213,0.151
"P40","Puede que lo vote",0.279,0.283,0.266,0.366
"P40","Nunca lo votaría",0.367,0.507,0.404,0.319
"P40","No sabe",0.163,0.086,0.117,0.164
"P41","Lo votaría",0.185,0.234,0.141,0.158
"P41","Puede que lo vote",0.297,0.287,0.374,0.079
"P41","Nunca lo votaría",0.486,0.467,0.429,0.644
"P41","No sabe",0.032,0.012,0.056,0.119
"P42","Lo votaría",0.236,0.315,0.147,0.179
"P42","Puede que lo vote",0.279,0.211,0.321,0.082
"P42","Nunca lo votaría",0.443,0.465,0.468,0.632
"P42","No sabe",0.042,0.009,0.064,0.107
"P43","Lo votaría",0.098,0.132,0.131,0.293
"P43","Puede que lo vote",0.387,0.315,0.336,0.247
"P43","Nunca lo votaría",0.455,0.523,0.465,0.334
"P43","No sabe",0.06,0.03,0.068,0.126
"P44","La votaría",0.346,0.411,0.325,0.06
"P44","Puede que la vote",0.303,0.22,0.309,0.524
"P44","Nunca la votaría",0.293,0.351,0.273,0.309
"P44","No sabe",0.058,0.018,0.093,0.107
"P45","Lo votaría",0.266,0.233,0.259,0.054
"P45","Puede que lo vote",0.276,0.326,0.334,0.263
"P45","Nunca lo votaría",0.406,0.421,0.308,0.574
"P45","No sabe",0.052,0.02,0.099,0.109
"P46","Lo votaría",0.328,0.203,0.259,0.236
"P46","Puede que lo vote",0.223,0.257,0.334,0.179
"P46","Nunca lo votaría",0.393,0.516,0.291,0.548
"P46","No sabe",0.056,0.024,0.116,0.037
"P47","Si",0.598,0.518,0.298,0.524
"P47","No",0.402,0.482,0.702,0.476
