"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P34","Al candidato del Frente de Izquierda",0.067,0.014,0.012,0.621,0.043
"P34","No sabe",0.164,0.073,0.024,0.114,0.435
"P35","Alberto Fernández por el Frente de Todos",0.671,0.039,0.021,0.073,0.15
"P35","Patricia Bullrich por Juntos por el Cambio",0.035,0.814,0.136,0.045,0.21
"P35","Javier Milei por los liberales libertarios",0.047,0.07,0.808,0.13,0.175
"P35","Al candidato del Frente de Izquierda",0.083,0.016,0.014,0.642,0.039
"P35","No sabe",0.164,0.061,0.021,0.11,0.426
"P36","Wado de Pedro por el Frente de Todos",0.701,0.03,0.023,0.108,0.095
"P36","Patricia Bullrich por Juntos por el Cambio",0.036,0.82,0.133,0.027,0.224
"P36","Javier Milei por los liberales libertarios",0.05,0.067,0.804,0.154,0.188
"P36","Al candidato del Frente de Izquierda",0.036,0.016,0.017,0.603,0.048
"P36","No sabe",0.177,0.067,0.023,0.108,0.445
"P37","Daniel Scioli por el Frente de Todos",0.706,0.031,0.015,0.098,0.14
"P37","Patricia Bullrich por Juntos por el Cambio",0.037,0.825,0.155,0.062,0.217
"P37","Javier Milei por los liberales libertarios",0.044,0.065,0.801,0.097,0.198
"P37","Al candidato del Frente de Izquierda",0.055,0.019,0.005,0.658,0.039
"P37","No sabe",0.158,0.06,0.024,0.085,0.406
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.117,0.515,0.043,0.062,0.152
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.567,0.151,0.03,0.05,0.188
"P38","Javier Milei presidente y su candidato a vice",0.045,0.165,0.878,0.107,0.203
"P38","A los candidatos de la izquierda",0.071,0.014,0.016,0.68,0.039
"P38","No sabe",0.2,0.155,0.033,0.101,0.418
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.06,0.736,0.124,0.072,0.202
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.629,0.067,0.018,0.031,0.147
"P39","Javier Milei presidente y su candidato a vice",0.034,0.084,0.827,0.119,0.177
"P39","A los candidatos de la izquierda",0.074,0.016,0.008,0.681,0.035
"P39","No sabe",0.203,0.097,0.023,0.097,0.439
"P40","Sergio Massa por el Frente de Todos",0.797,0.057,0.042,0.26,0.205
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.756,0.317,0.157,0.224
"P40","No sabe",0.159,0.187,0.641,0.583,0.571
"P41","Alberto Fernández por el Frente de Todos",0.754,0.049,0.057,0.227,0.168
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.792,0.367,0.134,0.26
"P41","No sabe",0.198,0.159,0.576,0.639,0.572
"P42","Sergio Massa por el Frente de Todos",0.797,0.035,0.048,0.288,0.225
"P42","Patricia Bullrich por Juntos por el Cambio",0.052,0.878,0.635,0.075,0.269
"P42","No sabe",0.151,0.087,0.317,0.637,0.506
"P43","Alberto Fernández por el Frente de Todos",0.783,0.035,0.046,0.261,0.193
"P43","Patricia Bullrich por Juntos por el Cambio",0.045,0.88,0.659,0.078,0.285
"P43","No sabe",0.172,0.085,0.295,0.661,0.522
"P44","Wado de Pedro por el Frente de Todos",0.765,0.038,0.035,0.357,0.136
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.814,0.405,0.126,0.272
"P44","No sabe",0.179,0.148,0.56,0.517,0.592
"P45","Daniel Scioli por el Frente de Todos",0.769,0.041,0.085,0.282,0.173
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.805,0.376,0.127,0.247
"P45","No sabe",0.184,0.154,0.539,0.591,0.58
"P46","Wado de Pedro por el Frente de Todos",0.774,0.035,0.06,0.339,0.135
"P46","Patricia Bullrich por Juntos por el Cambio",0.042,0.871,0.654,0.099,0.282
"P46","No sabe",0.184,0.094,0.286,0.562,0.583
"P47","Daniel Scioli por el Frente de Todos",0.796,0.034,0.035,0.286,0.191
"P47","Patricia Bullrich por Juntos por el Cambio",0.048,0.893,0.661,0.099,0.298
"P47","No sabe",0.156,0.073,0.304,0.615,0.511
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.23,0.577,0.057,0.212,0.2
"P48","Javier Milei por los liberales libertarios",0.058,0.297,0.847,0.077,0.206
"P48","No sabe",0.712,0.126,0.096,0.711,0.594
"P49","Patricia Bullrich por Juntos por el Cambio",0.072,0.798,0.165,0.104,0.26
"P49","Javier Milei por los liberales libertarios",0.08,0.123,0.766,0.105,0.19
"P49","No sabe",0.848,0.079,0.069,0.791,0.55
"P50","Alberto Fernández por el Frente de Todos",0.715,0.136,0.048,0.387,0.159
"P50","Javier Milei por los liberales libertarios",0.052,0.464,0.877,0.129,0.278
"P50","No sabe",0.233,0.4,0.075,0.484,0.563
"P51","Sergio Massa por el Frente de Todos",0.791,0.056,0.038,0.394,0.2
"P51","Javier Milei por los liberales libertarios",0.05,0.545,0.894,0.115,0.286
"P51","No sabe",0.159,0.399,0.068,0.491,0.514
"P52","Muy buena",0.193,0.012,0.025,0.055,0.04
"P52","Buena",0.277,0.086,0.089,0.057,0.101
"P52","Ni buena ni mala",0.315,0.074,0.042,0.264,0.222
"P52","Mala",0.138,0.082,0.057,0.256,0.155
"P52","Muy mala",0.075,0.743,0.781,0.347,0.44
"P52","No sabe",0.002,0.003,0.006,0.021,0.042
"P53","Muy buena",0.641,0.023,0.03,0.093,0.113
"P53","Buena",0.148,0.019,0.016,0.177,0.091
"P53","Ni buena ni mala",0.105,0.014,0.027,0.138,0.141
"P53","Mala",0.047,0.044,0.051,0.211,0.108
"P53","Muy mala",0.057,0.897,0.872,0.369,0.512
"P53","No sabe",0.002,0.003,0.004,0.012,0.035
"P54","Muy buena",0.095,0.39,0.095,0.078,0.048
"P54","Buena",0.032,0.274,0.179,0.068,0.088
"P54","Ni buena ni mala",0.046,0.129,0.298,0.111,0.257
"P54","Mala",0.124,0.054,0.173,0.138,0.218
"P54","Muy mala",0.696,0.15,0.254,0.571,0.362
"P54","No sabe",0.007,0.003,0.001,0.034,0.027
"P55","Muy buena",0.031,0.253,0.042,0.075,0.079
"P55","Buena",0.033,0.384,0.129,0.071,0.111
"P55","Ni buena ni mala",0.116,0.22,0.278,0.157,0.29
"P55","Mala",0.208,0.062,0.215,0.249,0.164
"P55","Muy mala",0.609,0.078,0.331,0.388,0.291
"P55","No sabe",0.003,0.003,0.005,0.06,0.065
"P56","Muy buena",0.153,0.039,0.022,0.023,0.06
"P56","Buena",0.33,0.063,0.045,0.061,0.111
"P56","Ni buena ni mala",0.311,0.086,0.102,0.248,0.205
"P56","Mala",0.102,0.14,0.133,0.247,0.188
"P56","Muy mala",0.103,0.668,0.695,0.421,0.359
"P56","No sabe",0.001,0.004,0.003,0,0.077
"P57","Muy buena",0.054,0.53,0.252,0.081,0.08
"P57","Buena",0.049,0.188,0.245,0.029,0.149
"P57","Ni buena ni mala",0.099,0.076,0.238,0.144,0.241
"P57","Mala",0.092,0.05,0.09,0.116,0.168
"P57","Muy mala",0.697,0.155,0.168,0.63,0.303
"P57","No sabe",0.009,0.001,0.007,0,0.059
"P58","Muy buena",0.042,0.115,0.655,0.051,0.113
"P58","Buena",0.022,0.229,0.196,0.044,0.104
"P58","Ni buena ni mala",0.066,0.33,0.09,0.171,0.264
"P58","Mala",0.117,0.163,0.017,0.124,0.158
"P58","Muy mala",0.737,0.15,0.04,0.597,0.275
"P58","No sabe",0.016,0.013,0.002,0.013,0.086
"P59","Muy buena",0.35,0.033,0.116,0.084,0.071
"P59","Buena",0.267,0.057,0.044,0.164,0.053
"P59","Ni buena ni mala",0.153,0.147,0.142,0.171,0.279
"P59","Mala",0.052,0.175,0.148,0.183,0.121
"P59","Muy mala",0.151,0.549,0.478,0.346,0.295
"P59","No sabe",0.027,0.039,0.072,0.052,0.181
"P60","Muy buena",0.236,0.02,0.031,0.011,0.071
"P60","Buena",0.374,0.016,0.026,0.042,0.077
"P60","Ni buena ni mala",0.266,0.085,0.121,0.21,0.228
"P60","Mala",0.054,0.198,0.153,0.382,0.172
"P60","Muy mala",0.057,0.669,0.658,0.355,0.39
"P60","No sabe",0.013,0.012,0.011,0,0.062
"P61","Muy buena",0.055,0.29,0.078,0.112,0.097
"P61","Buena",0.065,0.289,0.172,0.032,0.144
"P61","Ni buena ni mala",0.092,0.187,0.27,0.106,0.251
"P61","Mala",0.128,0.084,0.18,0.222,0.126
"P61","Muy mala",0.656,0.146,0.293,0.522,0.311
"P61","No sabe",0.004,0.004,0.007,0.006,0.071
"P62","Muy buena",0.042,0.152,0.099,0.062,0.119
"P62","Buena",0.08,0.222,0.162,0.064,0.139
"P62","Ni buena ni mala",0.354,0.36,0.32,0.354,0.276
"P62","Mala",0.214,0.127,0.131,0.241,0.125
"P62","Muy mala",0.264,0.112,0.236,0.251,0.186
"P62","No sabe",0.046,0.027,0.052,0.028,0.155
"P63","Siempre",0.317,0.32,0.279,0.15,0.239
"P63","Casi siempre",0.374,0.402,0.371,0.404,0.377
"P63","Casi nunca",0.222,0.212,0.223,0.309,0.201
"P63","Nunca, pero esta es una excepción",0.087,0.066,0.127,0.137,0.183
"P64","Si",0.632,0.644,0.61,0.586,0.531
"P64","No",0.368,0.356,0.39,0.414,0.469
