"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.902,0.018,0.052,0.071
"P31","Javier Milei por los liberales libertarios",0.017,0.032,0.942,0.039,0.061
"P31","Al candidato del Frente de Izquierda",0.031,0.003,0.01,0.678,0.023
"P31","No sabe",0.115,0.021,0.015,0.065,0.663
"P32","Wado de Pedro por el Frente de Todos",0.738,0.038,0.017,0.318,0.214
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.055,0.888,0.033,0.074,0.104
"P32","Javier Milei por los liberales libertarios",0.021,0.032,0.926,0.054,0.061
"P32","Al candidato del Frente de Izquierda",0.021,0.009,0.002,0.497,0.013
"P32","No sabe",0.165,0.033,0.022,0.057,0.608
"P33","Daniel Scioli por el Frente de Todos",0.758,0.034,0.019,0.225,0.205
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.055,0.896,0.039,0.051,0.115
"P33","Javier Milei por los liberales libertarios",0.019,0.035,0.909,0.06,0.061
"P33","Al candidato del Frente de Izquierda",0.027,0.002,0.007,0.625,0.014
"P33","No sabe",0.141,0.033,0.026,0.039,0.605
"P34","Sergio Massa por el Frente de Todos",0.758,0.062,0.019,0.194,0.219
"P34","Patricia Bullrich por Juntos por el Cambio",0.053,0.809,0.23,0.104,0.319
"P34","Javier Milei por los liberales libertarios",0.011,0.039,0.736,0.046,0.032
"P34","Al candidato del Frente de Izquierda",0.041,0.016,0,0.616,0.016
"P34","No sabe",0.137,0.074,0.015,0.04,0.414
"P35","Alberto Fernández por el Frente de Todos",0.874,0.033,0.017,0.11,0.119
"P35","Patricia Bullrich por Juntos por el Cambio",0.04,0.813,0.234,0.074,0.332
"P35","Javier Milei por los liberales libertarios",0.011,0.044,0.732,0.056,0.045
"P35","Al candidato del Frente de Izquierda",0.021,0.025,0.005,0.68,0.036
"P35","No sabe",0.054,0.085,0.012,0.08,0.468
"P36","Wado de Pedro por el Frente de Todos",0.739,0.036,0.014,0.319,0.231
"P36","Patricia Bullrich por Juntos por el Cambio",0.051,0.811,0.231,0.069,0.349
"P36","Javier Milei por los liberales libertarios",0.023,0.046,0.731,0.043,0.036
