"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P54","Buena",0.286,0.285,0.223,0.088,0.034,0.019,0.007,0.163,0.065,0.065
"P54","Ni buena ni mala",0.205,0.124,0.186,0.26,0.088,0.019,0.04,0.318,0.015,0.153
"P54","Mala",0.075,0.06,0.157,0.157,0.196,0.077,0.179,0.167,0.085,0.172
"P54","Muy mala",0.166,0.111,0.151,0.353,0.611,0.792,0.667,0.288,0.745,0.506
"P54","No sabe",0.023,0.003,0,0.016,0.002,0.002,0.002,0.003,0.024,0.037
"P55","Muy buena",0.455,0.189,0.232,0.179,0.005,0.014,0.026,0.033,0.063,0.065
"P55","Buena",0.342,0.379,0.381,0.236,0.051,0.011,0.034,0.086,0.06,0.069
"P55","Ni buena ni mala",0.163,0.258,0.244,0.218,0.163,0.056,0.12,0.287,0.068,0.272
"P55","Mala",0.033,0.092,0.066,0.136,0.275,0.174,0.247,0.212,0.174,0.13
"P55","Muy mala",0.007,0.079,0.077,0.209,0.485,0.745,0.566,0.373,0.611,0.381
"P55","No sabe",0,0.003,0,0.022,0.021,0,0.007,0.009,0.024,0.083
"P56","Muy buena",0.053,0.025,0.047,0.097,0.363,0.061,0.116,0.016,0.063,0.022
"P56","Buena",0.076,0.051,0.075,0.141,0.358,0.315,0.412,0.031,0.097,0.1
"P56","Ni buena ni mala",0.113,0.067,0.181,0.231,0.179,0.356,0.291,0.121,0.186,0.327
"P56","Mala",0.201,0.123,0.187,0.17,0.052,0.165,0.053,0.137,0.199,0.168
"P56","Muy mala",0.553,0.731,0.501,0.346,0.046,0.103,0.108,0.685,0.455,0.293
"P56","No sabe",0.004,0.003,0.009,0.015,0.002,0,0.02,0.01,0,0.09
"P57","Muy buena",0.178,0.66,0.291,0.145,0.094,0.016,0.04,0.18,0.066,0.071
"P57","Buena",0.27,0.166,0.254,0.142,0.068,0.037,0.041,0.25,0.067,0.056
"P57","Ni buena ni mala",0.277,0.039,0.149,0.239,0.093,0.094,0.1,0.258,0.119,0.156
"P57","Mala",0.137,0.023,0.151,0.102,0.155,0.046,0.101,0.103,0.084,0.156
"P57","Muy mala",0.138,0.112,0.155,0.352,0.554,0.804,0.712,0.202,0.664,0.48
"P57","No sabe",0,0,0,0.02,0.036,0.003,0.006,0.007,0,0.081
"P58","Muy buena",0.085,0.149,0.087,0.101,0.033,0.011,0.038,0.715,0.081,0.031
"P58","Buena",0.143,0.261,0.165,0.116,0.034,0.009,0.004,0.2,0.044,0.034
"P58","Ni buena ni mala",0.279,0.351,0.313,0.258,0.083,0.043,0.099,0.061,0.099,0.206
"P58","Mala",0.294,0.131,0.218,0.131,0.153,0.063,0.149,0.007,0.014,0.167
"P58","Muy mala",0.185,0.096,0.178,0.372,0.649,0.865,0.688,0.016,0.762,0.474
"P58","No sabe",0.014,0.012,0.039,0.022,0.048,0.009,0.022,0.001,0,0.088
"P59","Muy buena",0.024,0.018,0.014,0.044,0.164,0.644,0.215,0.13,0.097,0.045
"P59","Buena",0.033,0.052,0.019,0.148,0.276,0.205,0.383,0.044,0.142,0.097
"P59","Ni buena ni mala",0.185,0.131,0.22,0.241,0.244,0.04,0.195,0.155,0.189,0.293
"P59","Mala",0.238,0.155,0.211,0.241,0.088,0.007,0.062,0.135,0.088,0.09
"P59","Muy mala",0.465,0.608,0.444,0.268,0.152,0.103,0.112,0.442,0.443,0.332
"P59","No sabe",0.055,0.036,0.092,0.058,0.076,0.001,0.033,0.094,0.041,0.143
"P60","Muy buena",0.038,0.007,0.032,0.042,0.167,0.205,0.481,0.02,0.093,0.068
"P60","Buena",0.029,0.009,0.015,0.127,0.369,0.397,0.406,0.019,0.033,0.111
"P60","Ni buena ni mala",0.097,0.068,0.172,0.261,0.337,0.295,0.084,0.137,0.285,0.236
"P60","Mala",0.269,0.169,0.192,0.179,0.048,0.06,0.018,0.173,0.206,0.201
"P60","Muy mala",0.536,0.736,0.582,0.37,0.043,0.043,0.008,0.635,0.383,0.309
"P60","No sabe",0.031,0.011,0.007,0.021,0.036,0,0.003,0.016,0,0.075
"P61","Muy buena",0.285,0.229,0.55,0.125,0.046,0.035,0.103,0.05,0.092,0.111
"P61","Buena",0.274,0.326,0.18,0.238,0.052,0.036,0.055,0.141,0.027,0.099
"P61","Ni buena ni mala",0.204,0.218,0.136,0.26,0.126,0.072,0.051,0.281,0.077,0.134
"P61","Mala",0.122,0.088,0.058,0.116,0.194,0.102,0.155,0.169,0.147,0.126
"P61","Muy mala",0.11,0.136,0.071,0.244,0.563,0.747,0.628,0.349,0.65,0.456
"P61","No sabe",0.005,0.003,0.005,0.017,0.019,0.008,0.008,0.01,0.007,0.074
"P62","Muy buena",0.136,0.105,0.227,0.524,0.051,0.019,0.041,0.069,0.08,0.069
"P62","Buena",0.241,0.235,0.205,0.236,0.093,0.038,0.141,0.121,0.041,0.079
"P62","Ni buena ni mala",0.426,0.351,0.337,0.085,0.374,0.335,0.37,0.362,0.195,0.284
"P62","Mala",0.077,0.152,0.082,0.042,0.203,0.268,0.198,0.13,0.214,0.118
"P62","Muy mala",0.076,0.138,0.064,0.068,0.195,0.315,0.227,0.246,0.435,0.271
"P62","No sabe",0.044,0.019,0.085,0.045,0.084,0.025,0.023,0.072,0.035,0.179
"P63","Siempre",0.288,0.323,0.365,0.269,0.299,0.314,0.36,0.247,0.255,0.236
"P63","Casi siempre",0.42,0.419,0.323,0.359,0.421,0.384,0.341,0.349,0.366,0.371
"P63","Casi nunca",0.243,0.19,0.225,0.251,0.202,0.223,0.194,0.242,0.257,0.243
"P63","Nunca, pero esta es una excepción",0.049,0.068,0.087,0.121,0.078,0.079,0.105,0.162,0.122,0.15
"P64","Si",0.625,0.654,0.73,0.576,0.684,0.596,0.682,0.58,0.427,0.477
"P64","No",0.375,0.346,0.27,0.424,0.316,0.404,0.318,0.42,0.573,0.523
