"var","categoria","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza","Al candidato del Frente de Izquierda","No sabe"
"P34","Recolección de residuos",0.23,0.224,0.264,0.233,0.291
"P34","Ninguno",0.402,0.255,0.195,0.183,0.258
"P35","Los robos",0.444,0.46,0.389,0.457,0.503
"P35","El narcotráfico",0.064,0.121,0.165,0.111,0.123
"P35","La ausencia de patrulleros y personal policial",0.216,0.304,0.211,0.112,0.169
"P35","Otro",0.14,0.094,0.178,0.196,0.159
"P35","Ninguno",0.136,0.021,0.057,0.124,0.046
"P36","Muy buena",0.172,0.068,0.134,0.225,0.109
"P36","Buena",0.184,0.051,0.099,0.292,0.151
"P36","Ni buena ni mala",0.281,0.35,0.271,0.044,0.241
"P36","Mala",0.098,0.238,0.218,0.201,0.145
"P36","Muy mala",0.065,0.105,0.161,0.126,0.142
"P36","No sabe",0.2,0.188,0.117,0.112,0.212
"P37","Lo votaria",0.191,0.047,0.026,0.205,0.03
"P37","Puede que lo vote",0.388,0.019,0.065,0,0.059
"P37","Nunca lo votaría",0.277,0.912,0.865,0.694,0.658
"P37","No sabe",0.144,0.022,0.044,0.101,0.253
"P38","Lo votaria",0.205,0.041,0.026,0.142,0.054
"P38","Puede que lo vote",0.426,0.028,0.094,0.042,0.115
"P38","Nunca lo votaría",0.215,0.905,0.803,0.692,0.677
"P38","No sabe",0.154,0.026,0.077,0.124,0.154
"P39","Lo votaria",0.228,0.033,0.026,0.147,0.054
"P39","Puede que lo vote",0.454,0.015,0.052,0.07,0.112
"P39","Nunca lo votaría",0.184,0.92,0.889,0.751,0.665
"P39","No sabe",0.134,0.032,0.033,0.032,0.169
"P40","Lo votaria",0.056,0.236,0.057,0.227,0.069
"P40","Puede que lo vote",0.084,0.447,0.255,0.073,0.279
"P40","Nunca lo votaría",0.789,0.272,0.66,0.664,0.44
"P40","No sabe",0.071,0.045,0.028,0.036,0.212
"P41","Lo votaria",0.03,0.62,0.279,0.514,0.168
"P41","Puede que lo vote",0.035,0.218,0.306,0.095,0.302
"P41","Nunca lo votaría",0.876,0.143,0.364,0.391,0.389
"P41","No sabe",0.059,0.019,0.051,0,0.141
"P42","Lo votaria",0.019,0.149,0.123,0.341,0.056
"P42","Puede que lo vote",0.11,0.312,0.289,0.112,0.259
"P42","Nunca lo votaría",0.725,0.463,0.438,0.456,0.51
"P42","No sabe",0.146,0.076,0.15,0.091,0.175
"P43","Lo votaria",0.019,0.138,0.059,0.147,0.077
"P43","Puede que lo vote",0.074,0.271,0.214,0.187,0.166
"P43","Nunca lo votaría",0.804,0.46,0.575,0.542,0.537
"P43","No sabe",0.103,0.131,0.152,0.124,0.22
"P44","Lo votaria",0.037,0.22,0.786,0.172,0.198
"P44","Puede que lo vote",0.05,0.265,0.068,0.228,0.31
"P44","Nunca lo votaría",0.853,0.459,0.119,0.53,0.376
"P44","No sabe",0.06,0.056,0.027,0.07,0.116
"P45","Lo votaria",0.003,0.166,0.379,0.062,0.159
"P45","Puede que lo vote",0.037,0.385,0.228,0.409,0.261
"P45","Nunca lo votaría",0.879,0.384,0.304,0.455,0.443
"P45","No sabe",0.081,0.065,0.089,0.074,0.137
"P46","Muy buena",0.107,0.037,0.05,0.181,0.02
"P46","Buena",0.262,0.027,0.029,0.127,0.042
"P46","Ni buena ni mala",0.395,0.059,0.087,0.135,0.118
"P46","Mala",0.191,0.145,0.233,0.266,0.206
"P46","Muy mala",0.045,0.728,0.601,0.291,0.59
"P46","No sabe",0,0.004,0,0,0.024
"P47","Muy buena",0.006,0.397,0.065,0.346,0.156
"P47","Buena",0.046,0.263,0.271,0.178,0.095
"P47","Ni buena ni mala",0.078,0.147,0.211,0.052,0.165
"P47","Mala",0.216,0.068,0.278,0.123,0.263
"P47","Muy mala",0.65,0.125,0.175,0.239,0.28
"P47","No sabe",0.004,0,0,0.062,0.041
"P48","Muy buena",0.667,0.063,0.123,0.205,0.057
"P48","Buena",0.124,0.025,0.038,0.083,0.053
"P48","Ni buena ni mala",0.033,0.013,0.051,0.078,0.063
"P48","Mala",0.066,0.121,0.162,0.121,0.146
"P48","Muy mala",0.103,0.776,0.623,0.468,0.65
"P48","No sabe",0.007,0.002,0.003,0.045,0.031
"P49","Muy buena",0.089,0.205,0.112,0.127,0.066
"P49","Buena",0.042,0.268,0.169,0.221,0.183
"P49","Ni buena ni mala",0.131,0.29,0.264,0.234,0.189
"P49","Mala",0.221,0.116,0.192,0.065,0.193
"P49","Muy mala",0.495,0.119,0.263,0.291,0.311
"P49","No sabe",0.022,0.002,0,0.062,0.058
"P50","Muy buena",0.087,0.051,0.053,0.143,0.011
"P50","Buena",0.356,0.009,0.092,0.15,0.055
"P50","Ni buena ni mala",0.318,0.123,0.082,0.137,0.187
"P50","Mala",0.119,0.193,0.193,0.168,0.193
"P50","Muy mala",0.108,0.619,0.577,0.357,0.514
"P50","No sabe",0.012,0.005,0.003,0.045,0.04
"P51","Muy buena",0.034,0.54,0.201,0.371,0.189
"P51","Buena",0.052,0.165,0.317,0.154,0.173
"P51","Ni buena ni mala",0.082,0.118,0.198,0.074,0.172
"P51","Mala",0.186,0.037,0.084,0.112,0.135
"P51","Muy mala",0.634,0.14,0.2,0.244,0.273
"P51","No sabe",0.012,0,0,0.045,0.058
"P52","Muy buena",0.019,0.178,0.547,0.372,0.192
"P52","Buena",0.034,0.221,0.26,0.082,0.143
"P52","Ni buena ni mala",0.053,0.335,0.085,0.16,0.241
"P52","Mala",0.173,0.136,0.021,0.077,0.164
"P52","Muy mala",0.702,0.109,0.087,0.264,0.187
"P52","No sabe",0.019,0.021,0,0.045,0.073
