"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P52","Ni buena ni mala",0.351,0.045,0.237
"P52","Mala",0.162,0.071,0.135
"P52","Muy mala",0.08,0.785,0.405
"P52","No sabe",0.003,0.005,0.021
"P53","Muy buena",0.671,0.008,0.153
"P53","Buena",0.133,0.012,0.08
"P53","Ni buena ni mala",0.101,0.012,0.148
"P53","Mala",0.065,0.049,0.113
"P53","Muy mala",0.03,0.919,0.496
"P53","No sabe",0,0,0.01
"P54","Muy buena",0.083,0.334,0.063
"P54","Buena",0.017,0.271,0.036
"P54","Ni buena ni mala",0.012,0.167,0.173
"P54","Mala",0.109,0.083,0.195
"P54","Muy mala",0.778,0.142,0.515
"P54","No sabe",0.001,0.003,0.018
"P55","Muy buena",0.004,0.213,0.058
"P55","Buena",0.015,0.314,0.108
"P55","Ni buena ni mala",0.066,0.256,0.249
"P55","Mala",0.226,0.122,0.151
"P55","Muy mala",0.686,0.094,0.403
"P55","No sabe",0.003,0.001,0.031
"P56","Muy buena",0.138,0.028,0.062
"P56","Buena",0.325,0.05,0.129
"P56","Ni buena ni mala",0.333,0.091,0.234
"P56","Mala",0.119,0.145,0.12
"P56","Muy mala",0.077,0.685,0.426
"P56","No sabe",0.008,0.001,0.029
