"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P58","Buena",0.003,0.187,0.241,0.058,0.066
"P58","Ni buena ni mala",0.044,0.377,0.135,0.222,0.276
"P58","Mala",0.104,0.188,0.025,0.047,0.218
"P58","Muy mala",0.829,0.166,0.022,0.65,0.324
"P58","No sabe",0.013,0.02,0.003,0.013,0.062
"P59","Muy buena",0.411,0.001,0.072,0.031,0.026
"P59","Buena",0.339,0.025,0.049,0.104,0.071
"P59","Ni buena ni mala",0.121,0.174,0.116,0.212,0.239
"P59","Mala",0.016,0.196,0.142,0.053,0.194
"P59","Muy mala",0.105,0.578,0.539,0.512,0.362
"P59","No sabe",0.008,0.026,0.082,0.088,0.108
"P60","Muy buena",0.252,0.011,0.023,0.025,0.12
"P60","Buena",0.42,0.034,0.03,0.042,0.138
"P60","Ni buena ni mala",0.277,0.081,0.076,0.414,0.215
"P60","Mala",0.037,0.18,0.177,0.165,0.119
"P60","Muy mala",0.012,0.688,0.684,0.349,0.372
"P60","No sabe",0.002,0.006,0.01,0.005,0.036
"P61","Muy buena",0.029,0.339,0.094,0.111,0.05
"P61","Buena",0.05,0.314,0.206,0.029,0.144
"P61","Ni buena ni mala",0.047,0.183,0.254,0.05,0.258
"P61","Mala",0.116,0.079,0.153,0.158,0.147
"P61","Muy mala",0.749,0.082,0.293,0.652,0.369
"P61","No sabe",0.009,0.003,0,0,0.032
"P62","Muy buena",0.029,0.153,0.071,0.061,0.073
"P62","Buena",0.092,0.261,0.17,0.126,0.142
"P62","Ni buena ni mala",0.331,0.407,0.319,0.309,0.327
"P62","Mala",0.253,0.111,0.156,0.164,0.136
"P62","Muy mala",0.26,0.053,0.236,0.298,0.24
"P62","No sabe",0.035,0.015,0.048,0.042,0.082
"P63","Siempre",0.338,0.334,0.306,0.208,0.314
"P63","Casi siempre",0.386,0.453,0.377,0.445,0.368
"P63","Casi nunca",0.201,0.158,0.185,0.247,0.213
"P63","Nunca, pero esta es una excepción",0.075,0.055,0.132,0.1,0.105
"P64","Si",0.649,0.627,0.621,0.504,0.563
"P64","No",0.351,0.373,0.379,0.496,0.437
