"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertario","Al candidato del Frente de Izquierda","No sabe"
"P57","No sabe",0,0.001,0.002,0.004,0.002,0.011,0.014,0,0.086
"P58","Muy buena",0.095,0.128,0.147,0.019,0,0.026,0.529,0.675,0.007
"P58","Buena",0.203,0.231,0.225,0.035,0.013,0.015,0.182,0.091,0.027
"P58","Ni buena ni mala",0.363,0.382,0.321,0.126,0.044,0.087,0.084,0.08,0.226
"P58","Mala",0.242,0.129,0.139,0.158,0.093,0.144,0.083,0.001,0.174
"P58","Muy mala",0.097,0.11,0.148,0.645,0.842,0.676,0.115,0.153,0.467
"P58","No sabe",0,0.02,0.02,0.017,0.008,0.052,0.007,0,0.099
"P59","Muy buena",0.006,0.008,0.015,0.095,0.529,0.246,0.065,0.136,0.038
"P59","Buena",0.043,0.023,0.082,0.265,0.263,0.308,0.047,0.06,0.134
"P59","Ni buena ni mala",0.202,0.147,0.194,0.287,0.057,0.183,0.129,0.118,0.195
"P59","Mala",0.244,0.147,0.176,0.128,0.025,0.056,0.16,0.12,0.154
"P59","Muy mala",0.472,0.644,0.493,0.174,0.118,0.129,0.496,0.495,0.366
"P59","No sabe",0.033,0.031,0.04,0.051,0.008,0.078,0.103,0.071,0.113
"P60","Muy buena",0,0.004,0.009,0.139,0.197,0.459,0.046,0.005,0.066
"P60","Buena",0.05,0.006,0.013,0.357,0.412,0.345,0.096,0.02,0.155
"P60","Ni buena ni mala",0.177,0.053,0.118,0.403,0.303,0.163,0.076,0.14,0.216
"P60","Mala",0.21,0.159,0.181,0.035,0.052,0.028,0.174,0.183,0.169
"P60","Muy mala",0.563,0.764,0.669,0.051,0.035,0.005,0.604,0.635,0.331
"P60","No sabe",0,0.014,0.01,0.015,0.001,0,0.004,0.017,0.063
"P61","Muy buena",0.364,0.26,0.16,0.049,0.025,0.024,0.062,0.069,0.138
"P61","Buena",0.238,0.367,0.269,0.062,0.046,0.023,0.193,0.063,0.073
"P61","Ni buena ni mala",0.224,0.203,0.293,0.134,0.05,0.078,0.239,0.198,0.168
"P61","Mala",0.066,0.08,0.122,0.154,0.097,0.175,0.162,0.166,0.147
"P61","Muy mala",0.103,0.089,0.152,0.601,0.774,0.668,0.344,0.504,0.413
"P61","No sabe",0.005,0.001,0.004,0,0.008,0.032,0,0,0.061
"P62","Muy buena",0.187,0.067,0.278,0.09,0.021,0.016,0.052,0.065,0.031
"P62","Buena",0.318,0.248,0.219,0.124,0.069,0.088,0.185,0.092,0.079
"P62","Ni buena ni mala",0.354,0.362,0.286,0.367,0.291,0.324,0.406,0.382,0.298
"P62","Mala",0.088,0.143,0.144,0.227,0.238,0.28,0.093,0.129,0.173
"P62","Muy mala",0.033,0.165,0.048,0.158,0.338,0.221,0.214,0.279,0.292
"P62","No sabe",0.02,0.015,0.025,0.034,0.043,0.071,0.05,0.053,0.127
"P63","Siempre",0.374,0.344,0.332,0.282,0.333,0.35,0.265,0.262,0.336
"P63","Casi siempre",0.449,0.415,0.374,0.459,0.349,0.402,0.42,0.351,0.364
"P63","Casi nunca",0.136,0.204,0.187,0.176,0.236,0.185,0.157,0.195,0.173
"P63","Nunca, pero esta es una excepción",0.041,0.037,0.107,0.083,0.082,0.063,0.158,0.192,0.127
"P64","Si",0.681,0.619,0.605,0.61,0.583,0.763,0.567,0.604,0.529
"P64","No",0.319,0.381,0.395,0.39,0.417,0.237,0.433,0.396,0.471
