"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P54","Mala",0.083,0.045,0.152,0.082,0.164,0.067,0.184,0.19,0.15,0.201
"P54","Muy mala",0.184,0.101,0.378,0.623,0.651,0.81,0.693,0.356,0.677,0.553
"P54","No sabe",0,0.004,0,0,0,0,0.004,0.005,0.05,0.035
"P55","Muy buena",0.442,0.212,0.183,0.024,0.009,0.008,0.042,0.038,0.03,0.063
"P55","Buena",0.386,0.349,0.288,0.064,0.079,0.004,0.015,0.126,0.076,0.076
"P55","Ni buena ni mala",0.153,0.272,0.228,0.077,0.155,0.071,0.064,0.298,0.013,0.222
"P55","Mala",0.008,0.083,0.117,0.232,0.233,0.17,0.248,0.223,0.159,0.232
"P55","Muy mala",0.011,0.081,0.184,0.603,0.524,0.742,0.608,0.304,0.672,0.37
"P55","No sabe",0,0.003,0,0,0,0.005,0.023,0.011,0.05,0.037
"P56","Muy buena",0.029,0.027,0.055,0.171,0.41,0.043,0.084,0.012,0,0.014
"P56","Buena",0.094,0.04,0.106,0.275,0.338,0.288,0.456,0.03,0.023,0.097
"P56","Ni buena ni mala",0.124,0.079,0.304,0.3,0.212,0.381,0.292,0.123,0.082,0.317
"P56","Mala",0.129,0.129,0.14,0.084,0.019,0.2,0.061,0.141,0.37,0.173
"P56","Muy mala",0.624,0.723,0.395,0.17,0.021,0.088,0.107,0.675,0.525,0.32
"P56","No sabe",0,0.002,0,0,0,0,0,0.019,0,0.079
"P57","Muy buena",0.214,0.67,0.097,0.088,0.104,0.014,0.017,0.205,0.074,0.066
"P57","Buena",0.29,0.186,0.196,0.031,0.084,0.046,0.053,0.226,0.018,0.071
"P57","Ni buena ni mala",0.21,0.034,0.336,0.083,0.153,0.093,0.068,0.224,0,0.162
"P57","Mala",0.126,0.026,0.159,0.232,0.117,0.045,0.138,0.136,0.11,0.222
"P57","Muy mala",0.16,0.083,0.212,0.544,0.538,0.795,0.719,0.198,0.798,0.427
"P57","No sabe",0,0.001,0,0.022,0.004,0.007,0.005,0.011,0,0.052
"P58","Muy buena",0.035,0.142,0.139,0.055,0.023,0.013,0.043,0.709,0,0.034
"P58","Buena",0.19,0.24,0.156,0,0.045,0,0.021,0.174,0.058,0.021
"P58","Ni buena ni mala",0.328,0.369,0.355,0.122,0.054,0.03,0.113,0.068,0.063,0.259
"P58","Mala",0.264,0.126,0.158,0.204,0.185,0.076,0.162,0.008,0.032,0.166
"P58","Muy mala",0.161,0.108,0.184,0.588,0.675,0.858,0.656,0.034,0.847,0.424
"P58","No sabe",0.022,0.015,0.008,0.031,0.018,0.023,0.005,0.007,0,0.096
"P59","Muy buena",0.007,0.013,0.014,0.086,0.152,0.602,0.18,0.096,0.04,0.031
"P59","Buena",0.039,0.032,0.074,0.393,0.269,0.221,0.333,0.039,0.144,0.13
"P59","Ni buena ni mala",0.234,0.134,0.263,0.088,0.224,0.031,0.239,0.12,0.216,0.274
"P59","Mala",0.195,0.158,0.23,0.161,0.115,0.005,0.064,0.158,0.027,0.117
"P59","Muy mala",0.505,0.628,0.404,0.111,0.192,0.139,0.152,0.49,0.56,0.299
"P59","No sabe",0.02,0.035,0.015,0.161,0.048,0.002,0.032,0.097,0.013,0.149
"P60","Muy buena",0.005,0.002,0.016,0.109,0.164,0.206,0.508,0.025,0.022,0.084
"P60","Buena",0.026,0.009,0.071,0.436,0.386,0.404,0.34,0.039,0.033,0.14
"P60","Ni buena ni mala",0.14,0.057,0.221,0.293,0.369,0.322,0.125,0.078,0.281,0.226
"P60","Mala",0.186,0.174,0.155,0.054,0.036,0.044,0.009,0.173,0.204,0.206
"P60","Muy mala",0.638,0.746,0.53,0.077,0.045,0.024,0.018,0.673,0.46,0.292
"P60","No sabe",0.005,0.012,0.007,0.031,0,0,0,0.012,0,0.052
"P61","Muy buena",0.33,0.244,0.158,0.041,0.05,0.012,0.051,0.079,0.022,0.087
"P61","Buena",0.237,0.339,0.249,0.064,0.056,0.052,0.031,0.151,0.074,0.071
"P61","Ni buena ni mala",0.231,0.218,0.335,0.072,0.139,0.067,0.043,0.234,0.022,0.166
"P61","Mala",0.101,0.09,0.08,0.107,0.181,0.077,0.198,0.162,0.056,0.18
"P61","Muy mala",0.088,0.109,0.17,0.716,0.574,0.777,0.649,0.374,0.816,0.458
"P61","No sabe",0.013,0,0.008,0,0,0.015,0.028,0,0.01,0.038
"P62","Muy buena",0.114,0.08,0.528,0.013,0.057,0.006,0.063,0.059,0,0.037
"P62","Buena",0.261,0.238,0.261,0.066,0.12,0.038,0.142,0.171,0.114,0.094
"P62","Ni buena ni mala",0.503,0.367,0.132,0.344,0.356,0.325,0.316,0.358,0.155,0.327
"P62","Mala",0.097,0.152,0.022,0.218,0.21,0.24,0.301,0.12,0.152,0.158
"P62","Muy mala",0.009,0.145,0.057,0.304,0.221,0.34,0.142,0.235,0.494,0.249
"P62","No sabe",0.016,0.018,0,0.055,0.036,0.051,0.036,0.057,0.085,0.135
"P63","Siempre",0.319,0.359,0.284,0.274,0.359,0.286,0.354,0.312,0.086,0.259
"P63","Casi siempre",0.479,0.385,0.563,0.444,0.404,0.415,0.355,0.341,0.493,0.384
"P63","Casi nunca",0.147,0.196,0.109,0.148,0.166,0.215,0.236,0.163,0.283,0.251
"P63","Nunca, pero esta es una excepción",0.055,0.06,0.044,0.134,0.071,0.084,0.055,0.184,0.138,0.106
"P64","Si",0.674,0.633,0.597,0.534,0.671,0.622,0.711,0.599,0.511,0.451
"P64","No",0.326,0.367,0.403,0.466,0.329,0.378,0.289,0.401,0.489,0.549
