"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P55","No sabe",0.007,0.013,0.003,0.105
"P56","Positiva",0.104,0.124,0.339,0.134
"P56","Neutra",0.124,0.152,0.259,0.252
"P56","Negativa",0.764,0.72,0.401,0.353
"P56","No sabe",0.008,0.004,0.001,0.261
"P57","Positiva",0.642,0.594,0.192,0.333
"P57","Neutra",0.134,0.16,0.096,0.214
"P57","Negativa",0.219,0.244,0.711,0.173
"P57","No sabe",0.005,0.002,0.001,0.28
"P59","Positiva",0.142,0.034,0.446,0.145
"P59","Neutra",0.127,0.274,0.123,0.184
"P59","Negativa",0.669,0.611,0.414,0.213
"P59","No sabe",0.062,0.081,0.017,0.458
"P60","Positiva",0.07,0.076,0.452,0.233
"P60","Neutra",0.079,0.137,0.231,0.258
"P60","Negativa",0.845,0.762,0.315,0.362
"P60","No sabe",0.006,0.025,0.002,0.147
"P61","Positiva",0.389,0.463,0.189,0.217
"P61","Neutra",0.242,0.244,0.095,0.261
"P61","Negativa",0.369,0.278,0.712,0.352
"P61","No sabe",0,0.015,0.004,0.17
"P62","Positiva",0.336,0.313,0.164,0.094
"P62","Neutra",0.346,0.412,0.313,0.437
"P62","Negativa",0.283,0.226,0.492,0.139
"P62","No sabe",0.035,0.049,0.031,0.33
"P63","Siempre",0.32,0.298,0.323,0.474
"P63","Casi siempre",0.396,0.438,0.386,0.37
"P63","Casi nunca",0.169,0.206,0.202,0.033
"P63","Nunca, pero esta es una excepción",0.115,0.058,0.089,0.123
"P64","Si",0.608,0.593,0.632,0.629
"P64","No",0.392,0.407,0.368,0.371
