"var","categoria","Daniel Scioli presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P35","Sergio Massa presidente – Axel Kicillof gobernador por el Frente de Todos",0.81,0.049,0.147,0.301,0.211,0.029,0.107,0.184
"P35","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.065,0.809,0.563,0.374,0.332,0.038,0.044,0.084
"P35","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.016,0.093,0.104,0.075,0.291,0.909,0.353,0.208
"P35","A los candidatos del Frente de Izquierda",0.035,0.003,0.014,0.051,0.004,0.003,0.444,0.039
"P35","No sabe",0.074,0.046,0.172,0.199,0.162,0.021,0.052,0.485
"P36","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.852,0.029,0.107,0.281,0.125,0.009,0.185,0.226
"P36","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.045,0.578,0.762,0.37,0.273,0.018,0.044,0.08
"P36","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.024,0.242,0.055,0.082,0.432,0.954,0.361,0.216
"P36","A los candidatos del Frente de Izquierda",0.012,0.003,0.007,0.045,0.009,0.002,0.37,0.026
"P36","No sabe",0.067,0.148,0.069,0.222,0.161,0.017,0.04,0.452
"P37","Wado de Pedro presidente – Axel Kicillof gobernador por el Frente de Todos",0.853,0.022,0.114,0.286,0.071,0.007,0.233,0.228
"P37","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.037,0.832,0.571,0.401,0.345,0.044,0.052,0.072
"P37","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.028,0.107,0.103,0.079,0.412,0.929,0.348,0.24
"P37","A los candidatos del Frente de Izquierda",0.01,0.001,0.013,0.078,0.009,0.003,0.333,0.018
"P37","No sabe",0.072,0.038,0.199,0.156,0.163,0.017,0.034,0.442
"P38","Muy buena",0.606,0.072,0.082,0.197,0.024,0.007,0.058,0.165
"P38","Buena",0.257,0.049,0.073,0.14,0.015,0.02,0.16,0.127
"P38","Ni buena ni mala",0.076,0.025,0.077,0.125,0.005,0.157,0.228,0.191
"P38","Mala",0.015,0.098,0.174,0.147,0.255,0.087,0.266,0.133
"P38","Muy mala",0.045,0.745,0.583,0.387,0.691,0.719,0.269,0.359
"P38","No sabe",0.001,0.011,0.011,0.004,0.01,0.01,0.019,0.025
"P39","Muy buena",0.72,0.026,0.068,0.23,0,0.015,0.106,0.185
"P39","Buena",0.174,0.013,0.048,0.086,0.004,0.01,0.117,0.119
"P39","Ni buena ni mala",0.042,0.031,0.099,0.103,0.026,0.071,0.206,0.173
"P39","Mala",0.014,0.097,0.13,0.132,0.249,0.083,0.103,0.12
"P39","Muy mala",0.047,0.821,0.649,0.441,0.705,0.802,0.446,0.384
"P39","No sabe",0.003,0.012,0.006,0.008,0.016,0.019,0.022,0.019
"P40","Muy buena",0.307,0.015,0.047,0.066,0.066,0.015,0.027,0.069
"P40","Buena",0.285,0.024,0.044,0.127,0.003,0.014,0.074,0.08
"P40","Ni buena ni mala",0.231,0.133,0.241,0.215,0.107,0.166,0.252,0.244
"P40","Mala",0.041,0.168,0.156,0.139,0.107,0.116,0.18,0.097
"P40","Muy mala",0.032,0.493,0.271,0.258,0.579,0.462,0.314,0.305
"P40","No sabe",0.104,0.167,0.241,0.195,0.138,0.227,0.153,0.205
"P41","Muy buena",0.034,0.212,0.349,0.074,0.157,0.036,0.045,0.031
"P41","Buena",0.068,0.311,0.299,0.18,0.178,0.12,0.117,0.082
"P41","Ni buena ni mala",0.188,0.256,0.19,0.314,0.367,0.331,0.118,0.257
"P41","Mala",0.29,0.071,0.052,0.133,0.095,0.2,0.235,0.228
"P41","Muy mala",0.365,0.108,0.069,0.218,0.165,0.241,0.402,0.274
"P41","No sabe",0.055,0.042,0.041,0.081,0.038,0.072,0.083,0.128
"P42","Muy buena",0.012,0.312,0.231,0.073,0.063,0.044,0.009,0.04
"P42","Buena",0.039,0.344,0.261,0.179,0.35,0.139,0.089,0.104
"P42","Ni buena ni mala",0.134,0.228,0.256,0.269,0.26,0.336,0.16,0.255
"P42","Mala",0.249,0.031,0.081,0.151,0.122,0.179,0.219,0.135
"P42","Muy mala",0.514,0.05,0.103,0.241,0.182,0.204,0.48,0.307
"P42","No sabe",0.052,0.035,0.068,0.087,0.023,0.098,0.043,0.159
"P43","Muy buena",0.015,0.214,0.095,0.1,0.027,0.039,0.005,0.02
"P43","Buena",0.027,0.313,0.143,0.11,0.343,0.094,0.061,0.032
"P43","Ni buena ni mala",0.187,0.284,0.379,0.322,0.325,0.348,0.207,0.293
"P43","Mala",0.2,0.026,0.071,0.095,0.019,0.105,0.184,0.087
"P43","Muy mala",0.409,0.042,0.095,0.219,0.117,0.178,0.392,0.291
"P43","No sabe",0.162,0.121,0.217,0.154,0.169,0.236,0.151,0.277
"P44","Muy buena",0.01,0.091,0.046,0.035,0.04,0.102,0.04,0.027
"P44","Buena",0.015,0.242,0.112,0.065,0.108,0.152,0.058,0.05
"P44","Ni buena ni mala",0.115,0.422,0.433,0.352,0.428,0.344,0.231,0.24
"P44","Mala",0.21,0.087,0.134,0.157,0.122,0.095,0.113,0.102
