"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P24","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.107,0.204,0.187,0.153
"P24","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.458,0.364,0.239,0.167
"P24","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.11,0.091,0.122,0.132
"P24","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.057,0.065,0.031,0.031
"P24","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.041,0.042,0.03,0.091
"P24","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.019,0.015,0.022
"P24","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.084,0.085,0.172,0.132
"P24","A los candidatos del Frente de Izquierda",0.006,0.014,0.02,0.02
"P24","No sabe",0.026,0.036,0.078,0.164
"P25","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos",0.094,0.072,0.088,0.095
"P25","Wado de Pedro presidente - Axel Kicillof gobernador por el Frente de Todos",0.082,0.1,0.235,0.181
"P25","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.498,0.406,0.188,0.175
"P25","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.082,0.103,0.095,0.109
"P25","María Eugenia Vidal presidenta - Cristian Ritondo gobernador por Juntos por el Cambio",0.032,0.041,0.031,0.032
"P25","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio",0.065,0.076,0.044,0.036
"P25","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.027,0.019,0.025
"P25","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza",0.105,0.103,0.195,0.156
"P25","A los candidatos del Frente de Izquierda",0.014,0.03,0.023,0.026
"P25","No sabe",0.022,0.042,0.082,0.165
"P26","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos",0.197,0.183,0.273,0.204
"P26","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio",0.456,0.373,0.186,0.193
"P26","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio",0.083,0.077,0.101,0.112
