"var","categoria","Sergio Massa presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P55","Ni buena ni mala",0.064,0.282,0.385,0.287,0.236,0.074,0.005,0.157
"P55","Mala",0.115,0.109,0.151,0.182,0.067,0.027,0.062,0.114
"P55","Muy mala",0.74,0.113,0.208,0.295,0.275,0.044,0.881,0.472
"P55","No sabe",0.017,0.026,0.056,0.006,0.005,0.008,0,0.072
"P56","Muy buena",0.017,0.268,0.313,0.159,0.125,0.165,0.013,0.056
"P56","Buena",0.035,0.394,0.326,0.226,0.301,0.154,0.029,0.091
"P56","Ni buena ni mala",0.036,0.22,0.173,0.213,0.196,0.226,0.003,0.141
"P56","Mala",0.165,0.058,0.076,0.097,0.078,0.204,0.09,0.146
"P56","Muy mala",0.737,0.058,0.107,0.299,0.3,0.237,0.865,0.511
"P56","No sabe",0.01,0.002,0.005,0.006,0,0.014,0,0.055
"P57","Muy buena",0.178,0.064,0.047,0.064,0.026,0.033,0.041,0.037
"P57","Buena",0.427,0.061,0.111,0.052,0.052,0.05,0.095,0.245
"P57","Ni buena ni mala",0.197,0.112,0.2,0.168,0.111,0.13,0.219,0.268
"P57","Mala",0.059,0.155,0.171,0.217,0.093,0.153,0.213,0.125
"P57","Muy mala",0.136,0.602,0.463,0.499,0.718,0.612,0.432,0.299
"P57","No sabe",0.003,0.006,0.008,0,0,0.022,0,0.026
"P58","Muy buena",0.04,0.056,0.131,0.41,0.047,0.072,0.015,0.05
"P58","Buena",0.143,0.168,0.259,0.229,0.193,0.116,0.146,0.077
"P58","Ni buena ni mala",0.374,0.379,0.354,0.201,0.353,0.257,0.289,0.358
"P58","Mala",0.206,0.154,0.113,0.059,0.164,0.162,0.19,0.185
"P58","Muy mala",0.184,0.216,0.099,0.092,0.232,0.308,0.31,0.216
"P58","No sabe",0.053,0.027,0.044,0.009,0.011,0.085,0.05,0.114
"P59","Siempre",0.303,0.308,0.333,0.364,0.315,0.263,0.293,0.292
"P59","Casi siempre",0.421,0.388,0.414,0.34,0.413,0.361,0.38,0.349
"P59","Casi nunca",0.197,0.219,0.176,0.239,0.24,0.246,0.202,0.275
"P59","Nunca, pero esta es una excepción",0.079,0.085,0.077,0.057,0.032,0.13,0.125,0.084
"P60","Si",0.613,0.559,0.587,0.55,0.54,0.614,0.566,0.523
"P60","No",0.387,0.441,0.413,0.45,0.46,0.386,0.434,0.477
