"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","A Ricardo López Murphy como Jefe de Gobierno","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario","A los candidatos de izquierda","No sabe"
"P53","Mala",0.287,0.229,0.293,0.145,0.028,0.169,0.235,0.208,0.196
"P53","Muy mala",0.327,0.298,0.247,0.246,0.089,0.239,0.375,0.375,0.35
"P53","No sabe",0.05,0.07,0.065,0.023,0.007,0.027,0.047,0.037,0.028
"P54","Muy buena",0.322,0.403,0.263,0.183,0.083,0.205,0.055,0.028,0.104
"P54","Buena",0.358,0.275,0.277,0.174,0.028,0.199,0.145,0.074,0.069
"P54","Ni buena ni mala",0.152,0.142,0.222,0.136,0.032,0.121,0.277,0.154,0.104
"P54","Mala",0.101,0.097,0.158,0.143,0.101,0.141,0.195,0.135,0.093
"P54","Muy mala",0.066,0.083,0.08,0.346,0.751,0.314,0.323,0.595,0.63
"P54","No sabe",0.001,0,0,0.018,0.005,0.02,0.005,0.014,0
"P55","Muy buena",0.24,0.331,0.143,0.146,0.017,0.154,0.07,0.021,0.042
"P55","Buena",0.366,0.256,0.321,0.199,0.018,0.196,0.11,0.119,0.028
"P55","Ni buena ni mala",0.286,0.224,0.308,0.192,0.054,0.104,0.323,0.156,0.163
"P55","Mala",0.051,0.047,0.101,0.089,0.127,0.153,0.194,0.145,0.139
"P55","Muy mala",0.021,0.086,0.081,0.353,0.771,0.34,0.165,0.45,0.577
"P55","No sabe",0.036,0.056,0.046,0.021,0.013,0.053,0.138,0.109,0.051
"P56","Muy buena",0.188,0.352,0.516,0.096,0.015,0.079,0.059,0.055,0.047
"P56","Buena",0.295,0.313,0.221,0.181,0.039,0.159,0.093,0.125,0.132
"P56","Ni buena ni mala",0.269,0.204,0.127,0.198,0.13,0.263,0.291,0.185,0.231
"P56","Mala",0.17,0.047,0.077,0.22,0.329,0.267,0.198,0.379,0.172
"P56","Muy mala",0.073,0.059,0.042,0.284,0.481,0.213,0.323,0.242,0.418
"P56","No sabe",0.005,0.025,0.017,0.021,0.006,0.019,0.036,0.014,0
"P57","Muy buena",0.029,0.039,0.096,0.13,0.175,0.206,0.028,0.106,0.079
"P57","Buena",0.045,0.082,0.092,0.189,0.37,0.191,0.017,0.105,0.149
"P57","Ni buena ni mala",0.208,0.261,0.229,0.137,0.249,0.144,0.225,0.206,0.279
"P57","Mala",0.302,0.25,0.3,0.187,0.062,0.19,0.203,0.262,0.208
"P57","Muy mala",0.38,0.321,0.237,0.316,0.135,0.241,0.418,0.298,0.248
"P57","No sabe",0.036,0.047,0.046,0.041,0.009,0.028,0.109,0.023,0.037
"P58","Muy buena",0.474,0.223,0.369,0.454,0.026,0.293,0.206,0.108,0.087
"P58","Buena",0.237,0.265,0.269,0.074,0.044,0.215,0.3,0.057,0.047
"P58","Ni buena ni mala",0.205,0.314,0.191,0.034,0.073,0.136,0.284,0.18,0.196
"P58","Mala",0.036,0.088,0.081,0.064,0.116,0.069,0.062,0.13,0.112
"P58","Muy mala",0.032,0.088,0.08,0.35,0.735,0.287,0.116,0.511,0.545
"P58","No sabe",0.016,0.022,0.01,0.024,0.006,0,0.032,0.014,0.013
"P59","Muy buena",0.572,0.58,0.518,0.346,0.036,0.317,0.141,0.095,0.117
"P59","Buena",0.238,0.165,0.219,0.192,0.144,0.236,0.133,0.049,0.262
"P59","Ni buena ni mala",0.169,0.156,0.177,0.157,0.282,0.203,0.396,0.177,0.097
"P59","Mala",0.011,0.007,0.052,0.095,0.186,0.096,0.131,0.227,0.273
"P59","Muy mala",0.006,0.035,0.006,0.189,0.325,0.129,0.116,0.431,0.235
"P59","No sabe",0.004,0.057,0.028,0.021,0.027,0.019,0.083,0.021,0.016
"P60","Muy buena",0.059,0.05,0.07,0.201,0.357,0.115,0.013,0.06,0.167
"P60","Buena",0.031,0.039,0.034,0.146,0.344,0.156,0.039,0.134,0.106
"P60","Ni buena ni mala",0.132,0.255,0.13,0.088,0.136,0.176,0.175,0.399,0.197
"P60","Mala",0.235,0.23,0.281,0.16,0.02,0.193,0.203,0.137,0.127
"P60","Muy mala",0.495,0.385,0.398,0.372,0.092,0.306,0.414,0.178,0.298
"P60","No sabe",0.048,0.041,0.087,0.033,0.051,0.054,0.156,0.092,0.105
"P61","Muy buena",0.011,0.016,0.015,0.079,0.202,0.095,0.016,0.035,0.074
"P61","Buena",0.01,0.022,0.019,0.05,0.148,0.085,0.01,0.046,0.036
"P61","Ni buena ni mala",0.124,0.243,0.234,0.22,0.298,0.231,0.243,0.296,0.287
"P61","Mala",0.189,0.114,0.169,0.101,0.034,0.109,0.124,0.156,0.105
"P61","Muy mala",0.325,0.366,0.269,0.199,0.055,0.272,0.378,0.114,0.295
"P61","No sabe",0.341,0.239,0.294,0.351,0.263,0.208,0.229,0.353,0.203
"P62","Muy buena",0.009,0.023,0.003,0.108,0.132,0.093,0.01,0.028,0
"P62","Buena",0.007,0.015,0.025,0.197,0.489,0.168,0.011,0.017,0.132
"P62","Ni buena ni mala",0.012,0.077,0.061,0.106,0.267,0.223,0.085,0.204,0.08
"P62","Mala",0.098,0.131,0.208,0.071,0.06,0.103,0.101,0.449,0.285
"P62","Muy mala",0.856,0.72,0.67,0.483,0.037,0.413,0.788,0.273,0.458
"P62","No sabe",0.018,0.034,0.033,0.035,0.015,0,0.005,0.029,0.045
"P63","Muy buena",0.011,0.026,0,0.051,0.148,0.093,0,0.024,0
"P63","Buena",0.004,0.01,0.031,0.197,0.448,0.168,0.01,0.027,0.07
"P63","Ni buena ni mala",0.005,0.083,0.043,0.141,0.275,0.184,0.031,0.261,0.068
"P63","Mala",0.095,0.134,0.169,0.104,0.079,0.113,0.162,0.344,0.343
"P63","Muy mala",0.884,0.747,0.752,0.507,0.039,0.442,0.783,0.33,0.503
"P63","No sabe",0.001,0,0.005,0,0.011,0,0.014,0.014,0.016
"P64","Muy buena",0,0.025,0.042,0.345,0.751,0.295,0.016,0.168,0.296
"P64","Buena",0,0.015,0.024,0.066,0.138,0.113,0.016,0.193,0.123
"P64","Ni buena ni mala",0.006,0.042,0.016,0.022,0.059,0.079,0.019,0.074,0.009
"P64","Mala",0.059,0.056,0.133,0.045,0.016,0.054,0.074,0.288,0.094
"P64","Muy mala",0.934,0.862,0.78,0.522,0.036,0.454,0.857,0.248,0.465
"P64","No sabe",0.001,0,0.005,0,0,0.005,0.018,0.029,0.013
"P65","Muy buena",0.481,0.352,0.257,0.267,0.086,0.344,0.072,0.035,0.089
"P65","Buena",0.262,0.166,0.268,0.172,0.036,0.197,0.198,0.116,0.095
"P65","Ni buena ni mala",0.109,0.17,0.175,0.123,0.019,0.062,0.229,0.095,0.037
"P65","Mala",0.047,0.121,0.146,0.073,0.069,0.023,0.188,0.204,0.136
"P65","Muy mala",0.1,0.191,0.154,0.365,0.788,0.374,0.308,0.536,0.643
"P65","No sabe",0.001,0,0,0,0.002,0,0.005,0.014,0
"P66","Muy buena",0.219,0.425,0.229,0.163,0.016,0.106,0.029,0.024,0.038
"P66","Buena",0.367,0.343,0.332,0.185,0.018,0.239,0.116,0.067,0.179
"P66","Ni buena ni mala",0.225,0.093,0.251,0.143,0.055,0.15,0.188,0.079,0.09
"P66","Mala",0.102,0.07,0.099,0.124,0.179,0.127,0.289,0.21,0.185
"P66","Muy mala",0.087,0.069,0.089,0.383,0.732,0.369,0.372,0.606,0.508
"P66","No sabe",0,0,0,0.002,0,0.009,0.006,0.014,0
"P67","Muy buena",0.013,0.059,0.036,0.093,0.113,0.138,0.011,0.08,0.087
"P67","Buena",0.038,0.065,0.07,0.214,0.438,0.221,0.048,0.141,0.078
"P67","Ni buena ni mala",0.056,0.135,0.137,0.12,0.21,0.136,0.062,0.145,0.181
"P67","Mala",0.162,0.211,0.279,0.13,0.071,0.086,0.262,0.341,0.18
"P67","Muy mala",0.726,0.524,0.478,0.441,0.16,0.402,0.584,0.279,0.461
"P67","No sabe",0.005,0.006,0,0.002,0.008,0.017,0.033,0.014,0.013
"P68","Muy buena",0.741,0.392,0.403,0.344,0.04,0.397,0.225,0.13,0.083
"P68","Buena",0.129,0.218,0.262,0.169,0.063,0.091,0.337,0.133,0.112
"P68","Ni buena ni mala",0.025,0.189,0.143,0.057,0.043,0.02,0.171,0.067,0.036
"P68","Mala",0.01,0.063,0.059,0.049,0.08,0.04,0.08,0.171,0.14
"P68","Muy mala",0.093,0.123,0.133,0.381,0.77,0.449,0.151,0.485,0.615
"P68","No sabe",0.002,0.015,0,0,0.004,0.003,0.036,0.014,0.014
"P69","Muy buena",0.139,0.153,0.085,0.144,0.008,0.084,0.687,0.215,0.019
"P69","Buena",0.184,0.123,0.157,0.12,0.013,0.088,0.193,0.087,0.032
"P69","Ni buena ni mala",0.372,0.298,0.326,0.163,0.033,0.247,0.074,0.019,0.151
"P69","Mala",0.176,0.192,0.173,0.134,0.063,0.149,0.007,0.081,0.116
"P69","Muy mala",0.113,0.21,0.217,0.417,0.875,0.426,0.039,0.598,0.668
"P69","No sabe",0.016,0.024,0.042,0.022,0.008,0.006,0,0,0.014
"P70","Muy buena",0.037,0.133,0.141,0.081,0.029,0.026,0.122,0.043,0.036
"P70","Buena",0.135,0.157,0.243,0.126,0.102,0.119,0.074,0.058,0.123
"P70","Ni buena ni mala",0.414,0.414,0.315,0.269,0.356,0.454,0.308,0.308,0.261
"P70","Mala",0.226,0.109,0.152,0.216,0.191,0.161,0.176,0.125,0.086
"P70","Muy mala",0.17,0.115,0.13,0.286,0.292,0.211,0.24,0.29,0.46
"P70","No sabe",0.018,0.072,0.019,0.022,0.03,0.029,0.08,0.176,0.034
"P71","Siempre",0.369,0.33,0.3,0.254,0.312,0.295,0.263,0.233,0.518
"P71","Casi siempre",0.415,0.414,0.429,0.459,0.401,0.494,0.339,0.551,0.305
"P71","Casi nunca",0.151,0.188,0.195,0.185,0.209,0.12,0.268,0.134,0.039
"P71","Nunca, pero esta es una excepción",0.065,0.068,0.076,0.102,0.078,0.091,0.13,0.082,0.138
"P72","Si",0.598,0.58,0.517,0.58,0.546,0.65,0.595,0.624,0.631
"P72","No",0.402,0.42,0.483,0.42,0.454,0.35,0.405,0.376,0.369
